,question,answer,response,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0,"Debby had c0 pieces of candy and her sister had c1 pieces of candy. Together, they had c0 + c1 pieces of candy. After eating c2 pieces, they have c0 + c1 - c2 pieces of candy left. The answer is c0 + c1 - c2.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",,[]
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0,"The pet store originally had c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",,[]
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0,"Luke started with c0 games. He bought c1 more at a garage sale, so he had c0 + c1 games. If c2 of the games didn't work, then he had c0 + c1 - c2 good games. The answer is c0 + c1 - c2.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",,[]
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"The cafeteria ordered c0 + c1 apples in total. If c2 students wanted fruit, then they only needed c2 apples. The extra apples would be the difference between what they ordered and what they needed, which is (c0 + c1) - c2. The answer is (c0 + c1) - c2.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",,[]
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0,"We don't have enough information to solve this problem as we don't know the values of c0, c1, and c2.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",,[]
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0,It is not possible to determine the number of bad carrots without knowing the total number of carrots picked (c0 + c1).,"{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",,[]
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"Roger started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. Then he spent c2 dollars on a new game, so he has (c0 + c1) - c2 dollars left. The answer is (c0 + c1) - c2.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",,[]
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0,"Megan took c0 pictures at the zoo and c1 pictures at the museum, so she had c0 + c1 pictures in total. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. The answer is c0 + c1 - c2.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",,[]
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0,"Rachel had c0 + c1 pictures in total. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. The answer is c0 + c1 - c2.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",,[]
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0,"Ned had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. The answer is c0 + c1 - c2.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",,[]
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66.0,"Oliver had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. The answer is c0 + c1 - c2.","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",,[]
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9.0,"Wendy made c0 cupcakes and c1 cookies, so she made a total of c0 + c1 pastries. After the sale, she had c2 pastries left, which means she sold c0 + c1 - c2 pastries. The answer is c0 + c1 - c2.","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",,[]
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22.0,"Debby had c0 + c1 pictures in total. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. The answer is c0 + c1 - c2.","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",,[]
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2.0,"We don't have enough information to solve this problem as we don't know the values of c0, c1, and c2.","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",,[]
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15.0,Faye had c0 + c1 problems for homework. She finished c2 problems at school. So she still has c0 + c1 - c2 problems left to do for homework. The answer is c0 + c1 - c2.,"{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",,[]
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2.0,"Amy had c0 + c1 files on her flash drive. After deleting c2 files, she had c0 + c1 - c2 files left. The answer is c0 + c1 - c2.","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",,[]
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14.0,"Ned started with c0 games from his friend. Then he bought c1 more at the garage sale. So he had c0 + c1 games in total. If c2 of the games didn't work, then he had c0 + c1 - c2 good games. The answer is c0 + c1 - c2.","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",,[]
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86.0,"Chloe scored c0 points in the first round and c1 points in the second round. So her total score before losing points in the last round is c0 + c1. After losing c2 points in the last round, her final score is (c0 + c1) - c2. The answer is (c0 + c1) - c2.","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",,[]
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50.0,"Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. In total, he had c0 + c1 tickets. After spending c2 tickets on a hat, he has c0 + c1 - c2 tickets left. The answer is c0 + c1 - c2.","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",,[]
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25.0,The problem does not provide enough information to solve for the number of bad carrots.,"{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",,[]
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4.0,"Katie made c0 cupcakes and c1 cookies, so she made a total of c0 + c1 pastries. After the sale, she had c2 pastries left, which means she sold c0 + c1 - c2 pastries. The answer is c0 + c1 - c2.","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",,[]
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68.0,"Zoe had c0 + c1 pictures in total. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. The answer is c0 + c1 - c2.","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",,[]
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6.0,"John started with c0 games. He bought c1 more at a garage sale, so he had c0 + c1 games. If c2 of the games didn't work, then he had c0 + c1 - c2 good games. The answer is c0 + c1 - c2.","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",,[]
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"Henry started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. Then he spent c2 dollars on a new game, so he has (c0 + c1) - c2 dollars left. The answer is (c0 + c1) - c2.","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",,[]
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55.0,"The total number of pictures Gwen took on vacation is c0 + c1. After deleting c2 pictures, she has c0 + c1 - c2 pictures left. The answer is c0 + c1 - c2.","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",,[]
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34.0,"Sam had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. The answer is c0 + c1 - c2.","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",,[]
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12.0,"The pet store originally had c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",,[]
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16.0,"We are not given the total number of carrots picked, so we cannot determine the number of bad carrots. The information provided is insufficient to answer the question.","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",,[]
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,"The cafeteria ordered c0 + c1 apples in total. If c2 students wanted fruit, then they only needed c2 apples. The extra apples would be the difference between what they ordered and what they needed, which is (c0 + c1) - c2. The answer is (c0 + c1) - c2.","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",,[]
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17.0,"The total number of students who tried out is c0 + c1. If only c2 got called back, then c0 + c1 - c2 did not make the cut. The answer is c0 + c1 - c2.","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",,[]
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18.0,"The pet store originally had c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. The answer is c0 + c1 - c2.","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",,[]
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41.0,"Paige made c0 cupcakes and c1 cookies, so she made a total of c0 + c1 pastries. After the sale, she had c2 pastries left, which means she sold c0 + c1 - c2 pastries. The answer is c0 + c1 - c2.","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",,[]
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7.0,"We don't have enough information to give a specific answer, as we don't know the values of c0, c1, and c2. The total number of points Carol had at the end of the game would be the sum of her scores in the first two rounds, minus the points she lost in the last round. So the answer would be c0 + c1 - c2.","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",,[]
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36.0,"Gwen had c0 + c1 pictures in total. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. The answer is c0 + c1 - c2.","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",,[]
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63.0,"Janet had c0 pieces of candy and her sister had c1 pieces of candy. Together, they had c0 + c1 pieces of candy. After eating c2 pieces, they have c0 + c1 - c2 pieces of candy left. The answer is c0 + c1 - c2.","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",,[]
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13.0,"We are not given the total number of carrots picked, so we cannot determine the number of bad carrots. The answer cannot be determined with the given information.","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",,[]
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56.0,"The total number of students who tried out is c0 + c1. If only c2 got called back, then c0 + c1 - c2 did not make the cut. The answer is c0 + c1 - c2.","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",,[]
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15.0,"Roger started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. Then he spent c2 dollars on a new game, so he has (c0 + c1) - c2 dollars left. The answer is (c0 + c1) - c2.","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",,[]
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5.0,"Dave had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. The answer is c0 + c1 - c2.","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",,[]
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24.0,"Edward started with c0 games. He bought c1 more at a garage sale, so he had c0 + c1 games. If c2 of the games didn't work, then he had c0 + c1 - c2 good games. The answer is c0 + c1 - c2.","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",,[]
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0,We don't have enough information to solve this problem. We need to know either the total number of books Sam bought or the number of used books he bought in order to determine how many new books he bought.,"{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",,[]
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0,"Amy had c0 + c1 files on her flash drive. After deleting c2 files, she had c0 + c1 - c2 files left. The answer is c0 + c1 - c2.","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",,[]
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0,"Oliver started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. Then he spent c2 dollars on a new game, so he has c0 + c1 - c2 dollars left. The answer is c0 + c1 - c2.","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",,[]
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0,"We don't have enough information to give a specific answer, as we don't know the values of c0, c1, and c2. The total number of points Emily had at the end of the game would be the sum of her scores in the first two rounds, minus the points she lost in the last round. So the answer would be c0 + c1 - c2.","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",,[]
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0,Paige had c0 + c1 problems for homework. She finished c2 problems at school. So she still has c0 + c1 - c2 problems left to do for homework. The answer is c0 + c1 - c2.,"{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",,[]
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0,"The cafeteria ordered c0 + c1 apples in total. If c2 students wanted fruit, then they only needed c2 apples. The extra apples would be the difference between what they ordered and what they needed, which is (c0 + c1) - c2. The answer is (c0 + c1) - c2.","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",,[]
