,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,".
A: mapping:{x:pieces left in total} 
Originally, Debby had 32 pieces of candy. Her sister had 42. So in total they had 32 + 42. After eating 35, they
had 32 + 42 - 35. 
Eq1: x=32 + 42 - 35 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32 + 42 - 35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,39.0,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"
A: mapping:{x: cats left}
The pet store had 13 siamese cats and 5 house cats. They sold 10 cats in total. So they have 13 + 5 - 10 left. 
Eq1: 13 + 5 - 10 = x 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(13 + 5 - 10, x)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,8.0,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"
A: mapping:{x: games that worked}
Luke started with 2 games. He bought 2 more. So he had 2 + 2 games. But 2 of them didn't work. So he had 2 + 2 - 2 games that worked. 
Eq1: 2+2-2=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2+2-2,x)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,".
A: mapping:{x: extra apples the cafeteria end up with} 
The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, the cafeteria end up with 42 + 7 - 9 apples.
Eq1: x=42 + 7 - 9 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,42 + 7 - 9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,40.0,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"
A: mapping:{x: extra flowers Lana picked}
Lana picked 36 tulips and 37 roses. She used 70 of them. So she had 70 - 36 - 37 extra flowers. 
Eq1: 70-36-37=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(70-36-37,x)
print(solve(Eq1,x))
We got -1 from sympy, so the answer is -1.",,1.0,1
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"
A: mapping:{x: bad carrots they have}
Carol picked 29 carrots. Her mother picked 16. So in total they had 29 + 16. If 38 were good, then they had
29 + 16 - 38 bad carrots. 
Eq1: 29 + 16 - 38=x 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(29 + 16 - 38,x)
print(solve(Eq1,x))
We got 7 from sympy, so the answer is 7.",,7.0,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"
A: mapping:{x: money Roger has now}
Roger had 16 dollars. He got 28 more dollars for his birthday, but spent 25 on a new game. So he has 
16 + 28 - 25 = 19 dollars now. 
Eq1: 16 + 28 - 25 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(16 + 28 - 25, x)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"
A: mapping:{x: pictures from her vacation she still have}
Megan took 15 pictures at the zoo and 18 at the museum. So she took 15 + 18 pictures. After deleting 31 pictures, she had 15 + 18 - 31 pictures. 
Eq1: 15 + 18 - 31 = x 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(15 + 18 - 31, x)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"
A: mapping:{x: pictures she still has to color}
Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. So she has 23 + 32 - 44 pictures left to color. 
Eq1: x=23 + 32 - 44 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,23 + 32 - 44)
print(solve(Eq1,x))
We got 11 from sympy, so the answer is 11.",,11.0,1
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"
A: mapping:{x: shirts Ned did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. So in total he had to wash 9 + 21 shirts. 
If he only washed 29, then he did not wash 9 + 21 - 29 shirts. 
Eq1: 9 + 21 - 29 = x 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(9 + 21 - 29, x)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,1.0,1
