,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0, Debby had 32 pieces of candy and her sister had 42. They ate 35 pieces the first night. So they would have 32 - 35 = -3 pieces of candy left. The answer is -3.,,3.0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0," The pet store had 13 siamese cats and 5 house cats. They sold 10 cats in total. So they have 13 - 10 = 3 siamese cats left, and 5 - 10 = -5 house cats left. The answer is 3.",,3.0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0, Luke bought 2 games from a friend and 2 more from a garage sale. 2 of the games were not working. So he has 2 - 2 = 0 good games.,,2.0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0," The school cafeteria ordered 42 red apples and 7 green apples. But only 9 students wanted fruit, so the cafeteria had 42 + 7 - 9 = 40 extra apples.",,42.0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0, Lana picked 36 tulips and 37 roses. She used 70 of the flowers. So she had 70 - (36 + 37) = 70 - 73 = -3 extra flowers.,,36.0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0, Carol picked 29 carrots. Her mother picked 16 carrots. 38 of the carrots were good. So there must have been 29 + 16 - 38 = 7. The answer is 7.,,7.0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0, Roger had 16 dollars. He got 28 more dollars. So he has 16 + 28 = 44 dollars. But he spent 25 on a new game. So he has 44 - 25 = 19 dollars now.,,16.0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0, Megan took 15 pictures at the zoo and 18 at the museum. She later deleted 31 pictures. So she must have 15 + 18 - 31 = 2. The answer is 2.,,2.0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. She still has to color 23 + 32 - 44 = 11. The answer is 11.,,11.0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. He only washed 29 of them, so he must not have washed 9 + 21 - 29 = 1 shirt. The answer is 1.",,1.0
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0, Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts. He only washed 20 of them. So he didn't wash 39 + 47 - 20 = 66. The answer is 66.,,66.0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0, Wendy baked 4 cupcakes and 29 cookies. After the sale she had 24 pastries left. So she must have sold 4 + 29 - 24 = 9 pastries.,,4.0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0, Debby took 24 pictures at the zoo and 12 at the museum. She later deleted 14 pictures. So she would have 24 - 14 = 10 pictures from the zoo and 12 - 14 = -2 pictures from the museum. The answer is 10 - 2 = 8.,,10.0
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0, Katie picked 3 tulips and 9 roses. She only used 10 of the flowers. So she must have 3 + 9 - 10 = 2 extra flowers.,,3.0
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, she would have had to do 46 - 40 = 6 math problems and 9 - 40 = -31 science problems for homework. The answer is 6.",,6.0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0, Amy had 4 music files and 21 video files. She deleted 23 files in total. So 4 + 21 - 23 = 2. The answer is 2.,,2.0
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0," Ned started with 11 games. He bought 22 more, for a total of 33. But 19 of them didn't work, so he ended up with 33 - 19 = 14 good games.",,11.0
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0, Chloe had 40 points in the first round. She had 50 points in the second round. She lost 4 points in the last round. So she had 40 + 50 - 4 = 86. The answer is 86.,,86.0
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0, Tom had 32 tickets from playing 'whack a mole'. He had 25 tickets from playing 'skee ball'. He spent 7 tickets on a hat. So 32 + 25 - 7 = 50. The answer is 50.,,50.0
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0," Bianca picked 26 carrots and her mother picked 15 carrots. In total, they had 41 carrots. However, only 16 of them were good. This means that 41 - 16 = 25 carrots were bad. The answer is 25.",,25.0
20, For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,4.0, Katie made 7 cupcakes and 5 cookies. She sold 7 + 5 = 12 pastries.,,7.0
