,question,answer,response,mapping,response_answer
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51.0,"Let's think about it step by step:

def Problem(c0, c1):
    #Each pack of dvds costs c0 dollars
    cost_before_discount = c0

    #There is a discount of c1 dollars on each pack
    discount = c1

    #The cost of each pack after discount can be calculated by substracting the discount from the original cost
    cost_after_discount = cost_before_discount - discount

    return cost_after_discount","{'c0': 76.0, 'c1': 25.0}",51.0
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1.0,"def Problem(c0, c1):
    #Dan had c0 dollars left after buying a candy bar
    money_left = c0

    #Dan had c1 dollars at the start
    money_start = c1

    #The cost of the candy bar can be calculated by subtracting the money Dan has left from the money he had at the start
    candy_cost = money_start - money_left

    return candy_cost","{'c0': 3.0, 'c1': 4.0}",1.0
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17.0,"def Problem(c0, c1, c2, c3):
    #Paco had c0 salty cookies
    salty_cookies = c0

    #Paco had c1 sweet cookies
    sweet_cookies = c1

    #Paco ate c2 sweet cookies
    ate_sweet = c2

    #Paco ate c3 salty cookies
    ate_salty = c3

    #The number of salty cookies Paco has left can be calculated by subtracting the number of salty cookies he ate from the original number of salty cookies he had
    salty_left = salty_cookies - ate_salty

    return salty_left","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",17.0
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22.0,"def Problem(c0, c1):
    #c0 children were originally on the bus
    children_before = c0

    #c1 children were left on the bus after some got off at the bus stop
    children_after = c1

    #The number of children who got off the bus can be calculated by subtracting the number of children left on the bus from the original number of children on the bus
    children_off = children_before - children_after

    return children_off","{'c0': 43.0, 'c1': 21.0}",22.0
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"def Problem(c0, c1, c2):
    #c0 children were originally on the bus
    original = c0

    #c1 children got on the bus at the stop
    got_on = c1

    #some children got off the bus
    got_off = original + got_on - c2

    #the number of children who got on the bus more than those who got off can be calculated by subtracting the number of children who got off from the number of children who got on
    more_on = got_on - got_off

    return more_on","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",2.0
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"def Problem(c0, c1, c2):
    #Olivia had c0 dollars originally
    money_before = c0

    #Olivia collected c1 more dollars from an atm
    collected = c1

    #After visiting a supermarket, Olivia had c2 dollars left
    money_left = c2

    #The total amount of money Olivia spent at the supermarket can be calculated by subtracting the money she has left from the total amount of money she had before visiting the supermarket
    spent = money_before - money_left

    #The difference between the amount of money Olivia collected from the atm and the amount of money she spent at the supermarket can be calculated by subtracting the amount of money spent from the amount of money collected
    difference = collected - spent

    return difference","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",95.0
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"Let's think about it step by step:

def Problem(c0, c1):
    #Jerry added c0 more action figures to the shelf
    added = c0

    #There are a total of c1 action figures on the shelf now
    total_now = c1

    #The number of action figures Jerry had initially on the shelf can be calculated by subtracting the number of added action figures from the total number of action figures now
    initial = total_now - added

    return initial","{'c0': 7.0, 'c1': 10.0}",3.0
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"def Problem(c0, c1, c2):
    #Paco originally had c0 cookies
    cookies_before = c0

    #Paco gave c1 cookies to his friend
    gave = c1

    #Paco ate c2 cookies
    ate = c2

    #The number of cookies Paco has now can be calculated by subtracting the number of cookies he gave to his friend and the number of cookies he ate from the original number of cookies he had
    cookies_now = cookies_before - gave - ate

    #The number of cookies Paco ate more than those he gave to his friend can be calculated by subtracting the number of cookies he gave to his friend from the number of cookies he ate
    more_ate = ate - gave

    return more_ate","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9.0
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4.0,"def Problem(c0, c1, c2, c3):
    #Mary needs c1 cups of flour in total
    flour_total = c1

    #Mary already put in c3 cups of flour
    flour_before = c3

    #The number of cups of flour Mary still needs to add can be calculated by subtracting the amount of flour she already put in from the total amount of flour needed
    flour_needed = flour_total - flour_before

    return flour_needed","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4.0
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21.0,"def Problem(c0, c1):
    #The waiter had some customers at the start
    customers_start = c0 + c1

    #After c0 customers left, he still had c1 customers
    customers_left = c0
    customers_now = c1

    #The number of customers the waiter had at the start can be calculated by adding the number of customers who left to the number of customers he still had
    customers_start = customers_left + customers_now

    return customers_start","{'c0': 9.0, 'c1': 12.0}",21.0
10,c0 birds were sitting on the fence. c1 more storks and c2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"def Problem(c0, c1, c2):
    #c0 birds were originally sitting on the fence
    birds_original = c0

    #c1 more storks came to join them
    storks = c1

    #c2 more birds came to join them
    birds = c2

    #The total number of birds and storks sitting on the fence can be calculated by adding the original number of birds by the number of new birds and storks that came to join them
    total = birds_original + storks + birds

    #The number of storks sitting on the fence can be calculated by substracting the number of birds from the total number of birds and storks
    storks_now = storks + (total - birds_original - storks - birds) - birds

    #The number of birds sitting on the fence can be calculated by substracting the number of storks from the total number of birds and storks
    birds_now = total - storks_now

    #The difference between the number of storks and birds sitting on the fence can be calculated by substracting the number of birds from the number of storks
    difference = storks_now - birds_now

    return difference","{'c0': 3.0, 'c1': 6.0, 'c2': 2.0}",-3.0
11,They decided to hold the party in their backyard. If they have c0 sets of tables and each set has c1 chairsHow many chairs do they have in the backyard?,143.0,"def Problem(c0, c1):
    #there are c0 sets of tables
    sets_of_tables = c0

    #each set of tables has c1 chairs
    chairs_per_set = c1

    #The total number of chairs in the backyard can be calculated by multiplying the number of sets of tables by the number of chairs per set
    total_chairs = sets_of_tables * chairs_per_set

    return total_chairs","{'c0': 11.0, 'c1': 13.0}",143.0
12,In a school there are c0 more girls than boys. If there are c1 girlsHow many pupils are there in that school?,926.0,"def Problem(c0, c1):
    #There are c0 more girls than boys
    girls_more = c0

    #There are c1 girls in the school
    girls = c1

    #The number of boys in the school can be calculated by substracting the number of girls from the total number of pupils and then dividing by 2
    boys = (girls + girls_more) / 2

    #The total number of pupils in the school can be calculated by adding the number of girls and boys
    total_pupils = girls + boys

    return total_pupils","{'c0': 458.0, 'c1': 692.0}",1267.0
13,After resting they decided to go for a swim. The depth of the water is c0 times Dean's height. Dean is c1 feet taller than Ron. If Ron stands at c2 feetHow deep was the water?,255.0,"def Problem(c0, c1, c2):
    #Dean's height can be calculated by adding Ron's height (c2) to Dean's height difference with Ron (c1)
    dean_height = c2 + c1

    #The depth of the water can be calculated by multiplying Dean's height by the depth ratio (c0)
    water_depth = dean_height * c0

    return water_depth","{'c0': 15.0, 'c1': 4.0, 'c2': 13.0}",255.0
14,c0 birds were sitting on the fence. c1 more birds and c2 more storks came to join them.How many birds are sitting on the fence?,10.0,"def Problem(c0, c1, c2):
    #c0 birds were originally sitting on the fence
    birds_before = c0

    #c1 more birds came to join them
    more_birds = c1

    #c2 more storks came to join them
    more_storks = c2

    #The total number of birds sitting on the fence now can be calculated by adding the original number of birds with the number of additional birds and storks that joined them
    birds_now = birds_before + more_birds + more_storks

    return birds_now","{'c0': 6.0, 'c1': 4.0, 'c2': 8.0}",18.0
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed c0 pounds. On the way back Marco ' dad lost c1 pounds of strawberries. Marco's strawberries now weighed c2 pounds.How much did his dad's strawberries weigh now?,16.0,"Let's think about it step by step:

def Problem(c0, c1, c2):
    #The total weight of strawberries they collected was c0 pounds
    total_weight = c0

    #Marco's strawberries now weigh c2 pounds
    marco_weight = c2

    #The weight of strawberries his dad lost can be calculated by subtracting Marco's strawberries weight from the total weight of strawberries they collected, and then subtracting the weight his dad has left from that result
    dad_weight = total_weight - marco_weight - c1

    return dad_weight","{'c0': 36.0, 'c1': 8.0, 'c2': 12.0}",16.0
16,In a school there are c0 girls and the rest are boys. If there are c1 more girls than boysHow many boys are there in that school?,469.0,"Let's think about it step by step:

def Problem(c0, c1):
    #there are originally c0 girls in the school
    girls = c0

    #there are c1 more girls than boys
    more_girls = c1

    #The number of boys in the school can be calculated by subtracting the number of girls from the total number of students and then dividing by 2 (since the number of boys and girls are equal)
    boys = (c0 + more_girls) / 2

    return boys","{'c0': 697.0, 'c1': 228.0}",462.5
17,In a school there are c0 girls and c1 boys. c2 more girls and c3 more boys joined the school.How many girls are there in the school now?,1414.0,"def Problem(c0, c1, c2, c3):
    #there are originally c0 girls and c1 boys in the school
    girls_before = c0
    boys_before = c1

    #c2 more girls and c3 more boys joined the school
    girls_joined = c2
    boys_joined = c3

    #The number of girls in the school now can be calculated by adding the original number of girls by the number of girls who joined the school
    girls_now = girls_before + girls_joined

    return girls_now","{'c0': 732.0, 'c1': 761.0, 'c2': 682.0, 'c3': 8.0}",1414.0
18,Danny collects bottle caps and wrappers. He found c0 bottle caps and c1 wrappers at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many wrappers did danny have at first?,27.0,"Let's think about it step by step:

def Problem(c0, c1, c2, c3):
    #Danny found c0 bottle caps and c1 wrappers at the park
    found_caps = c0
    found_wrappers = c1

    #Danny now has c2 bottle caps and c3 wrappers in his collection
    current_caps = c2
    current_wrappers = c3

    #The number of wrappers Danny had at first can be calculated by subtracting the number of found wrappers from the current number of wrappers, and then adding the difference to the sum of the original number of bottle caps and found wrappers.
    initial_wrappers = current_wrappers - found_wrappers + found_caps

    return initial_wrappers","{'c0': 22.0, 'c1': 30.0, 'c2': 17.0, 'c3': 57.0}",49.0
19,Paul got a box of c0 erasers and c1 crayons for his birthday. At the end of the school year he only had c2 crayons left while not having lost a single eraser.How many more crayons than erasers did he have left?,66.0,"Let's think about it step by step:

def Problem(c0, c1, c2):
    #Paul got c0 erasers and c1 crayons for his birthday
    erasers = c0
    crayons = c1

    #At the end of the school year, Paul had c2 crayons left
    crayons_left = c2

    #Paul did not lose any erasers, so he still has c0 erasers left
    erasers_left = erasers

    #The number of crayons more than erasers that Paul has left can be calculated by subtracting the number of erasers left from the number of crayons left
    more_crayons = crayons_left - erasers_left

    return more_crayons","{'c0': 457.0, 'c1': 617.0, 'c2': 523.0}",66.0
20,Baker made c0 cakes. He sold c1 of them and bought c2 new cakes.How many cakes does baker still have?,186.0,"def Problem(c0, c1, c2):
    #Baker made c0 cakes originally
    cakes_before = c0

    #Baker sold c1 cakes
    sold = c1

    #Baker bought c2 new cakes
    bought = c2

    #The number of cakes Baker still has can be calculated by subtracting the number of cakes he sold from the original number of cakes he made and then adding the number of new cakes he bought
    cakes_now = cakes_before - sold + bought

    return cakes_now","{'c0': 121.0, 'c1': 105.0, 'c2': 170.0}",186.0
21,An industrial machine worked for c0 minutes. It can make c1 shirts a minute.How many shirts did machine make?,20.0,"def Problem(c0, c1):
    #The machine worked for c0 minutes
    minutes_worked = c0

    #The machine can make c1 shirts in a minute
    shirts_per_minute = c1

    #The total number of shirts the machine made can be calculated by multiplying the number of minutes it worked by the number of shirts it can make in a minute
    total_shirts = minutes_worked * shirts_per_minute

    return total_shirts","{'c0': 5.0, 'c1': 4.0}",20.0
22,The bananas in Philip's collection are organized into groups of size c0. If there are a total of c1 bananas in Philip's banana collectionHow many groups are there?,10.0,"def Problem(c0, c1):
    #The bananas are organized into groups of size c0
    group_size = c0

    #There are a total of c1 bananas in the collection
    total_bananas = c1

    #The number of groups can be calculated by dividing the total number of bananas by the group size
    num_groups = total_bananas // group_size

    return num_groups","{'c0': 18.0, 'c1': 180.0}",10.0
23,There were some birds sitting on the fence. c0 more birds came to join them. If there are a total of c1 birds on the fence nowHow many birds had been sitting on the fence at the start?,1.0,"Let's think about it step by step:

def Problem(c0, c1):
    #there were originally x birds sitting on the fence
    x = c1 - c0

    return x

#Explanation: We know that c0 more birds came to join the birds that were already sitting on the fence, so we can subtract c0 from the total number of birds on the fence now (c1) to get the original number of birds sitting on the fence (x).","{'c0': 4.0, 'c1': 5.0}",1.0
24,Jerry had c0 action figures on a shelf in his room. Later he added c1 more action figures to the shelf and removed some of the old ones. If there are c2 action figures on his shelf nowHow many action figures did he remove from the shelf?,1.0,"Let's think about it step by step:

def Problem(c0, c1, c2):
    #Jerry originally had c0 action figures on the shelf
    original_figures = c0

    #Jerry added c1 more action figures to the shelf
    added_figures = c1

    #There are now c2 action figures on the shelf
    current_figures = c2

    #The number of action figures Jerry removed can be calculated by subtracting the original number of figures and the added figures from the current number of figures
    removed_figures = current_figures - (original_figures + added_figures)

    return removed_figures","{'c0': 3.0, 'c1': 4.0, 'c2': 6.0}",-1.0
25,Danny collects bottle caps and wrappers. He found c0 wrappers and c1 bottle caps at the park. Now he has c2 bottle caps and c3 wrappers in his collection.How many more wrappers than bottle caps did danny find at the park?,60.0,"def Problem(c0, c1, c2, c3):
    #Danny found c0 wrappers and c1 bottle caps at the park
    wrappers_found = c0
    bottle_caps_found = c1

    #Danny now has c2 bottle caps and c3 wrappers in his collection
    wrappers_now = c3
    bottle_caps_now = c2

    #The number of wrappers Danny found at the park can be calculated by subtracting the number of wrappers he has now from the number of wrappers he found originally
    wrappers_found_at_park = wrappers_found - wrappers_now

    #The number of bottle caps Danny found at the park can be calculated by subtracting the number of bottle caps he has now from the number of bottle caps he found originally
    bottle_caps_found_at_park = bottle_caps_found - bottle_caps_now

    #The difference between the number of wrappers and bottle caps Danny found at the park can be calculated by subtracting the number of bottle caps found at the park from the number of wrappers found at the park
    difference = wrappers_found_at_park - bottle_caps_found_at_park

    return difference","{'c0': 65.0, 'c1': 5.0, 'c2': 31.0, 'c3': 9.0}",82.0
26,Because of the decision Sofia asked the students to suggest specific types of food from a total of c0 choices. If c1 students suggested adding mashed potatoes c2 suggested adding bacon to the menu and the rest did not participateHow many students participated in the suggestion of new food items?,488.0,"def Problem(c0, c1, c2):
    #The total number of food choices was c0
    total_choices = c0

    #c1 students suggested adding mashed potatoes
    mashed_potatoes = c1

    #c2 students suggested adding bacon
    bacon = c2

    #The number of students who participated in suggesting new food items can be calculated by adding the number of students who suggested mashed potatoes and the number of students who suggested bacon
    participated = mashed_potatoes + bacon

    return participated","{'c0': 66.0, 'c1': 450.0, 'c2': 38.0}",488.0
