,question,answer,response,mapping
0,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?Answer Choices: A)7, B)8, C)10, D)11, E)12",D,".

A: mapping:{x:days it will take Mr.Blue to complete the contract}
Eq1: 3/6 + 3/8 + x/12 = 1
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3/6 + 3/8 + x/12, 1)
print(solve(Eq1,x))
We got 1/4 from sympy, so the answer is 7.",
1,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?Answer Choices: A)2% Profit, B)3% Profit, C)2% Loss, D)3% Loss, E)4% Loss",B,".

A: mapping:{x:percentage of profit and loss}
Eq1: (27.50-25.75)/25.75*100=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((27.50-25.75)/25.75*100, x)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is c.",
2,"Printer A and Printer B can each print 1⁄2 page per second. How long will it take both printers working together to print 100 pages?Answer Choices: A)25 seconds, B)50 seconds, C)100 seconds, D)200 seconds, E)400 seconds",C,"

A: mapping:{x:time it takes both printers working together to print 100 pages}
Eq1: x=1/2+1/2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,1/2+1/2)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is c.",
3,"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:Answer Choices: A)15 kmph, B)6 kmph, C)12 kmph, D)14 kmph, E)6 kmph",E,"
A: mapping:{x:the man's rate along the current}
Eq1: x=4+2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4+2)
print(solve(Eq1,x))
We got 6 from Sympy, so the answer is e.",
4,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?Answer Choices: A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D,".

A: mapping:{x: monthly sales}
The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. 
Eq1: 500 + 0.05x = 1500
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(500 + 0.05*x, 1500)
print(solve(Eq1,x))
We got 30000 from sympy, so the answer is c.",
5,"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?Answer Choices: A)1 hour and 31 minutes, B)2 hour and 31 minutes, C)3 hour and 31 minutes, D)4 hour and 31 minutes, E)5 hour and 31 minutes",A,".

A: mapping:{x:time in minutes when they will be at the same starting point again}
Eq1: 2/26*x = 5/35*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/26*x, 5/35*x)
print(solve(Eq1,x))
We got 155 from sympy, so the answer is D.",
6,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?Answer Choices: A)11, B)10, C)9, D)8, E)7",A,"

A: mapping:{x:number of balls in the box}
There are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected. 
Eq1: x*(x-1)/2 - 44 = 45
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*(x-1)/2 - 44, 45)
print(solve(Eq1,x))
We got 11 from sympy, so the answer is a.",
7,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?Answer Choices: A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B,"

A: mapping:{x:probability that neither of these two events will occur}
Eq1: 0.56*0.74=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.56*0.74, x)
print(solve(Eq1,x))
We got 0.4144 from sympy, so the answer is D.",
8,"900 + 5 × 12 = ?Answer Choices: A)820, B)202, C)420, D)209, E)960",E,"
A: mapping:{x:900 + 5*12}
Eq1: 900 + 5*12 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(900 + 5*12, x)
print(solve(Eq1,x))
We got 940 from sympy, so the answer is e.",
9,"Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?Answer Choices: A)22 hrs, B)18 hrs, C)16 hrs, D)20 hrs, E)13 hrs",E,".

A: mapping:{x:time taken if he had traveled by car in both ways}
Eq1: x=17-4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,17-4)
print(solve(Eq1,x))
We got 13 from sympy, so the answer is e.",
10,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?Answer Choices: A)18, B)30, C)6, D)15, E)12",A,".

A: mapping:{x:the length of the ribbon now}
The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. 
Eq1: x=30*(3/5)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,30*(3/5))
print(solve(Eq1,x))
We got 18 from Sympy, so the answer is a.",
11,"If one third of 3/4 of a number is 21. Then, find the number?Answer Choices: A)84, B)66, C)28, D)19, E)11",A,"
A: mapping:{x:number}
Eq1: (1/3)*(3/4)*x=21
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((1/3)*(3/4)*x,21)
print(solve(Eq1,x))
We got 84 from sympy, so the answer is a.",
12,"A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?Answer Choices: A)21%, B)20%, C)25%, D)33%, E)18%",C,".

A: mapping:{x:percentage increase to original price}
Eq1: (1.2*x)/x - 1 = 0
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((1.2*x)/x - 1, 0)
print(solve(Eq1,x))
We got 5/4 from sympy, so the answer is c.",
13,"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :Answer Choices: A)18, B)20, C)25, D)26, E)27",C,"
A: mapping:{x:number of members in the club}
Eq1: n/2 * (2*7 + (n-1)*3) = 250
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(n/2 * (2*7 + (n-1)*3), 250)
print(solve(Eq1,x))
We got 27 from sympy, so the answer is e.",
