,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",[39.0],"mapping:{x: pieces of candy they have left}
Debby had 32 pieces of candy and her sister had 42. After combining, they had 32 + 42 pieces of candy. After eating 35 pieces, they had 32 + 42 - 35 pieces of candy left.
Eq1: x = 32 + 42 - 35
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x, 32 + 42 - 35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,[39.0]
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,[8.0],"mapping:{x: cats left in the pet store}
The pet store had 13 siamese cats and 5 house cats, so they had 13 + 5 cats in total. After selling 10 cats, they have x cats left.
Eq1: 13 + 5 - 10 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(13 + 5 - 10, x)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,[8.0]
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",[2.0],"mapping:{x: good games Luke ended up with}
Luke bought 2 games from a friend and 2 more at a garage sale, so he had 2+2=4 games. If 2 of the games didn't work, he had 4-2=2 good games left.
Eq1: x=2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,[2.0]
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",[40.0],"mapping:{x: extra apples the cafeteria ended up with}
The cafeteria ordered 42 red apples and 7 green apples, for a total of 42+7=49 apples. But only 9 students wanted fruit, so they only needed 9 apples. The cafeteria ended up with 49-9=40 extra apples.
Eq1: x=49-9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,49-9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,[40.0]
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",[3.0],"mapping:{x: extra flowers Lana picked}
Lana picked 36 tulips and 37 roses, so she picked a total of 36 + 37 = 73 flowers. If she only used 70 of them, then she had 73 - 70 = 3 extra flowers.
Eq1: x=73-70
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,73-70)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,[3.0]
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",[7.0],"mapping:{x: bad carrots they have}
Carol picked 29 carrots and her mother picked 16. So they picked a total of 29 + 16 = 45 carrots. If only 38 of the carrots were good, then they had 45 - 38 bad carrots.
Eq1: x=45-38
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,45-38)
print(solve(Eq1,x))
We got 7 from sympy, so the answer is 7.",,[7.0]
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,[19.0],"mapping:{x: money Roger has now}
Roger started with 16 dollars. He got 28 more dollars for his birthday, but then spent 25 on a new game. So he has 16 + 28 - 25 dollars left.
Eq1: x=16+28-25
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,16+28-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,[19.0]
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",[2.0],"mapping:{x: pictures Megan still have from her vacation}
Megan took 15 pictures at the zoo and 18 at the museum. So she had 15 + 18 pictures in total. After deleting 31 pictures, she had 15 + 18 - 31 pictures left.
Eq1: x=15+18-31
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15+18-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,[2.0]
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,[11.0],"mapping:{x: pictures Rachel still has to color}
Rachel bought two coloring books. One had 23 pictures and the other had 32. So in total, she had 23 + 32 pictures. After coloring 44 pictures, she still has to color 23 + 32 - 44 pictures.
Eq1: x=23+32-44
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,23+32-44)
print(solve(Eq1,x))
We got 11 from sympy, so the answer is 11.",,[11.0]
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",[1.0],"mapping:{x: shirts Ned did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts, so he had to wash a total of 9 + 21 = 30 shirts. If he only washed 29 of them by the time school started, then he did not wash 30 - 29 shirts.
Eq1: x=30-29
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,30-29)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,[1.0]
