,question,answer,response,tokens,logprobs,mapping,response_answer,correct
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39," Debby and her sister had 32 + 42 = 74 pieces of candy. If they ate 35 pieces, they would have 74 - 35 = 39 pieces of candy left.","[' Deb', 'by', ' and', ' her', ' sister', ' had', ' 32', ' +', ' 42', ' =', ' 74', ' pieces', ' of', ' candy', '.', ' If', ' they', ' ate', ' 35', ' pieces', ',', ' they', ' would', ' have', ' 74', ' -', ' 35', ' =', ' 39', ' pieces', ' of', ' candy', ' left', '.']","[-0.57142174, -0.00027291912999999996, -0.6534668, -6.6829845e-05, -2.6936819999999996e-06, -0.09557575, -0.60706955, -0.13345021, -2.0815281000000002e-05, -0.0005843072, -0.00014909416, -0.011976835, -0.019212432, -1.9503042e-05, -0.5110443, -0.93494993, -0.00049634156, -0.014939875000000002, -4.680184e-05, -0.5789877999999999, -0.22298418, -0.34169444, -0.37982315, -0.0074986327000000005, -0.028791733000000003, -0.0026696979000000003, -6.2699432e-06, -0.019235093, -0.00039878566, -0.017431656, -0.47933096000000003, -1.022884e-06, -0.061786022, -0.0030661917]",,39,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8, There were originally 13 siamese cats and 5 house cats. 13 + 5 = 18. They sold 10 cats. So they have 18 - 10 = 8 cats left. The answer is 8.,"[' There', ' were', ' originally', ' 13', ' si', 'ames', 'e', ' cats', ' and', ' 5', ' house', ' cats', '.', ' 13', ' +', ' 5', ' =', ' 18', '.', ' They', ' sold', ' 10', ' cats', '.', ' So', ' they', ' have', ' 18', ' -', ' 10', ' =', ' 8', ' cats', ' left', '.', ' The', ' answer', ' is', ' 8', '.']","[-1.1152811, -0.10431361, -0.51134866, -0.0037512416, -0.57585067, 0.0, -4.0040345e-06, -0.00029044657, -0.0082121845, -1.2622394999999999e-06, -0.00041518485999999995, -0.00026743363999999996, -0.29825407, -0.61243504, -0.0010921472, -7.3446926999999995e-06, -0.044747576000000004, -2.9519388e-05, -0.1462616, -0.90306187, -0.0027371726, -6.2699432e-06, -0.6448543, -0.92985797, -0.34250334, -0.17878217, -0.018969478, -0.008379023000000001, -0.00047624782999999995, -2.1649737e-05, -0.037960894, -2.3435998e-05, -0.08509426, -0.085851595, -0.0025034463, -0.5683469, -5.240840000000001e-05, -2.7013197000000003e-05, -1.0444119e-05, -0.0053090868000000005]",,8,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2," Luke started with 0 games. He bought 2 games from a friend and 2 more at a garage sale. So he had 2 + 2 = 4 games. But 2 of them didn't work, so he had 4 - 2 = 2 good games. The answer is 2.","[' Luke', ' started', ' with', ' 0', ' games', '.', ' He', ' bought', ' 2', ' games', ' from', ' a', ' friend', ' and', ' 2', ' more', ' at', ' a', ' garage', ' sale', '.', ' So', ' he', ' had', ' 2', ' +', ' 2', ' =', ' 4', ' games', '.', ' But', ' 2', ' of', ' them', ' didn', ""'t"", ' work', ',', ' so', ' he', ' had', ' 4', ' -', ' 2', ' =', ' 2', ' good', ' games', '.', ' The', ' answer', ' is', ' 2', '.']","[-1.0446978, -0.5589732, -0.017217275, -0.38325414, -0.0018814761, -0.034974866, -0.39639005, -0.09941475, -0.0005379106, -0.19308521, -0.40378356, -0.011476521, -6.4566746e-05, -0.7101856, -0.06740005, -0.40013385, -0.5311909300000001, -0.036538012, -0.00092186476, -0.00033975672, -0.06543369, -0.37945199999999996, -0.272328, -0.6815087, -0.18547724000000002, -0.00063774554, -1.5006569e-06, -0.0007031761, -0.00038006423999999996, -0.081677146, -0.032026567, -0.32335043, -0.042571668, -0.021336759, -0.25164312, -0.3787022, -1.3823811999999999e-06, -9.055464e-07, -0.5242041, -0.010075031, -0.09416592, -0.4906139, -0.004949318, -6.659330400000001e-05, -2.3078366e-05, -0.0015800118000000001, -7.613187e-05, -0.21911778, -4.6086590000000006e-05, -0.16434069, -0.36817878, -2.5105857000000002e-05, -4.4818075000000005e-06, -1.4736571000000001e-05, -0.001441219]",,2,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40," The school cafeteria ordered 42 red apples and 7 green apples. But if only 9 students wanted fruit, then the cafeteria would have 42 + 7 - 9 = 40 apples left. The answer is 40.","[' The', ' school', ' cafeteria', ' ordered', ' 42', ' red', ' apples', ' and', ' 7', ' green', ' apples', '.', ' But', ' if', ' only', ' 9', ' students', ' wanted', ' fruit', ',', ' then', ' the', ' cafeteria', ' would', ' have', ' 42', ' +', ' 7', ' -', ' 9', ' =', ' 40', ' apples', ' left', '.', ' The', ' answer', ' is', ' 40', '.']","[-0.7126148, -0.14917442, -0.12655894, -0.09129751, -0.077588186, -0.014318898, -0.00067496306, -0.006758093000000001, -0.00019297046999999998, -5.169127e-05, -2.3435998e-05, -0.31454486, -0.6017659, -0.21906716, -0.009549131, -1.3781962500000002e-05, -0.0051444327, -0.0015056266000000001, -0.06447429, -0.0023976257000000003, -0.26994416, -0.53355503, -0.31050506, -0.09888111000000001, -0.054649156000000004, -0.79854137, -0.00010796247, -6.909574000000001e-05, -0.00018712735999999998, -9.130952e-06, -0.06405243000000001, -8.0899285e-05, -0.25564286, -0.19292213, -0.35358694, -0.050391443, -0.00010319318, -4.573365e-05, -0.00011320952999999999, -0.037169427000000005]",,40,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3," Lana picked 36 tulips and 37 roses. In total, she picked 36 + 37 = 73 flowers. However, she only used 70 of them. So she had 73 - 70 = 3 extra flowers. The answer is 3.","[' Lana', ' picked', ' 36', ' tul', 'ips', ' and', ' 37', ' roses', '.', ' In', ' total', ',', ' she', ' picked', ' 36', ' +', ' 37', ' =', ' 73', ' flowers', '.', ' However', ',', ' she', ' only', ' used', ' 70', ' of', ' them', '.', ' So', ' she', ' had', ' 73', ' -', ' 70', ' =', ' 3', ' extra', ' flowers', '.', ' The', ' answer', ' is', ' 3', '.']","[-0.23951842, -0.21781479, -0.15094118, -0.0016961914, -3.076318e-07, -0.06578476, -2.7251614000000003e-05, -8.2927705e-05, -0.3898628, -0.5210959, -0.00027649726999999996, -0.3055079, -0.02257584, -0.023583792000000003, -0.13402884, -0.00042269873999999997, -1.9143545e-05, -0.0011232363, -3.237946e-05, -0.2176207, -0.0031283747, -1.2695165, -0.0004482216, -0.05638805, -0.019563995, -0.026424455000000003, -0.000421624, -0.37978226, -0.3456684, -0.035698, -0.18219197, -0.046044618, -0.35144356, -0.1773938, -0.00010402764999999999, -0.00013729343, -0.015839105000000003, -4.1200903e-05, -0.0024643065, -0.0011474048000000001, -0.0036104130000000003, -0.06599517, -5.216904e-05, -1.0561456000000002e-05, -0.0002491891, -0.0006830176]",,3,1
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7, Carol picked 29 carrots and her mother picked 16. So in total they had 29 + 16 = 45 carrots. But only 38 of them were good. So 45 - 38 = 7 bad carrots. The answer is 7.,"[' Carol', ' picked', ' 29', ' carrots', ' and', ' her', ' mother', ' picked', ' 16', '.', ' So', ' in', ' total', ' they', ' had', ' 29', ' +', ' 16', ' =', ' 45', ' carrots', '.', ' But', ' only', ' 38', ' of', ' them', ' were', ' good', '.', ' So', ' 45', ' -', ' 38', ' =', ' 7', ' bad', ' carrots', '.', ' The', ' answer', ' is', ' 7', '.']","[-0.085900955, -0.49181968000000004, -4.6684505e-05, -0.13084196, -0.6232665, -0.0001463533, -0.20402421, -0.0007069935699999999, -6.5092986e-06, -0.37484497, -0.809785, -0.9081444, -3.0826937e-05, -0.14312248, -0.032516383, -0.004537045500000001, -0.0006017840000000001, -5.2288255e-05, -0.005414616000000001, -3.883893e-06, -0.09666075, -0.00021109487999999998, -0.7747164, -0.028149836, -7.75605e-05, -0.2551795, -0.091410816, -3.9292627e-05, -0.00016447583999999998, -0.27285165, -0.3197024, -0.34516525000000003, -1.7475562000000002e-05, -4.6325007e-05, -0.07212582000000001, -0.00025145593, -0.8730374, -1.1278585e-05, -0.0034638029, -0.12034249999999999, -5.669991e-05, -1.3661821000000001e-05, -8.936497e-05, -0.0018144773]",,7,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19, Roger had 16 dollars. He got 28 more dollars. So he had 16 + 28 = 44 dollars. But he spent 25 dollars on a new game. So he has 44 - 25 = 19 dollars now. The answer is 19.,"[' Roger', ' had', ' 16', ' dollars', '.', ' He', ' got', ' 28', ' more', ' dollars', '.', ' So', ' he', ' had', ' 16', ' +', ' 28', ' =', ' 44', ' dollars', '.', ' But', ' he', ' spent', ' 25', ' dollars', ' on', ' a', ' new', ' game', '.', ' So', ' he', ' has', ' 44', ' -', ' 25', ' =', ' 19', ' dollars', ' now', '.', ' The', ' answer', ' is', ' 19', '.']","[-0.18889515, -0.32582223, -0.026194064000000003, -0.0007912196499999999, -0.17811897000000002, -0.8835223, -0.0024095164, -0.011460844000000001, -0.03563642, -0.3363682, -1.1677747, -0.21910754000000002, -0.15544863, -0.5858334, -0.05415875, -0.0015051487, -0.00015040732999999998, -0.016304342, -3.333313e-05, -0.12299009400000001, -0.013112819000000001, -0.29577813000000003, -0.19293311, -0.019321866, -0.0005331404, -0.48157385, -0.17960198, -0.021391803, -0.17784257, -1.1514188000000001e-05, -0.026004523, -0.024041532, -0.29535723, -0.024175737000000003, -4.361666e-06, -0.0005909293499999999, -6.0993300000000004e-05, -0.009077034000000001, -8.7337496e-05, -0.040425055, -0.8360582, -3.5717305000000005e-05, -0.5450195, -3.1185496000000004e-05, -9.012677e-06, -7.613187e-05, -0.011505643000000001]",,19,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2, Megan took 15 pictures at the zoo and 18 at the museum. She deleted 31 of them. So she has 15 + 18 - 31 = 2 pictures left.,"[' Megan', ' took', ' 15', ' pictures', ' at', ' the', ' zoo', ' and', ' 18', ' at', ' the', ' museum', '.', ' She', ' deleted', ' 31', ' of', ' them', '.', ' So', ' she', ' has', ' 15', ' +', ' 18', ' -', ' 31', ' =', ' 2', ' pictures', ' left', '.']","[-0.1671278, -0.6098325, -0.053062490000000004, -0.0053647566, -0.0027696274, -2.0815281000000002e-05, -0.0003022548, -0.048211835, -5.79217e-06, -0.1383703, -3.6482896999999998e-06, -2.4750101e-05, -0.5999206, -1.3531741, -0.81275666, -5.5983720000000005e-05, -0.74467623, -0.44389239999999996, -0.16866882, -0.051735338000000006, -0.015794598, -0.5895117999999999, -0.007131356, -0.0011271749, -1.1430257999999999e-06, -2.6180607000000004e-05, -3.8338017000000004e-05, -0.41384163, -0.0006639883499999999, -0.7687649, -0.21539074, -0.05404355]",,2,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11," Rachel bought two coloring books. One had 23 pictures and the other had 32. In total, she had 23 + 32 = 55 pictures to color. After one week, she had already colored 44 of them. So she had 55 - 44 = 11 pictures left to color. The answer is 11.","[' Rachel', ' bought', ' two', ' coloring', ' books', '.', ' One', ' had', ' 23', ' pictures', ' and', ' the', ' other', ' had', ' 32', '.', ' In', ' total', ',', ' she', ' had', ' 23', ' +', ' 32', ' =', ' 55', ' pictures', ' to', ' color', '.', ' After', ' one', ' week', ',', ' she', ' had', ' already', ' colored', ' 44', ' of', ' them', '.', ' So', ' she', ' had', ' 55', ' -', ' 44', ' =', ' 11', ' pictures', ' left', ' to', ' color', '.', ' The', ' answer', ' is', ' 11', '.']","[-0.5349708, -0.6192263, -0.33882523000000003, -0.0060675684, -0.00020847135, -0.07151204, -0.34624988, -0.07956156, -4.9586424e-06, -0.00014098797999999998, -0.06495844, -0.0030061072, -0.00045167864, -0.0012406164, -2.3360508e-06, -0.14780498, -0.9350149600000001, -2.0696069000000002e-05, -0.52358973, -0.050211426, -0.7425149, -0.0029259406, -0.0002773308, -8.653179e-06, -0.0023020937, -0.00010987074999999999, -0.001322679, -0.47408167, -0.00035108434, -0.00038375972999999997, -0.10981589600000001, -0.15245117, -7.698572e-06, -0.5011118999999999, -0.005793796, -0.11042742400000001, -0.4905115, -0.0040356494, -0.000104267005, -0.43004942, -0.15508753, -0.0105435625, -0.08535687600000001, -0.008783797000000001, -0.5008592, -0.6083687, -0.0001419407, -1.8841804e-07, -0.011023402, -3.8935006e-05, -0.008204431, -0.18583612, -0.02444329, -1.1514188000000001e-05, -8.650302000000001e-05, -0.4213767, -3.7148744000000006e-05, -5.79217e-06, -2.045765e-05, -8.423619000000001e-05]",,11,1
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. In total, that is 9 + 21 = 30. If he only washed 29, then that means he did not wash 1. The answer is 1.","[' Ned', ' had', ' to', ' wash', ' 9', ' short', ' sleeve', ' shirts', ' and', ' 21', ' long', ' sleeve', ' shirts', '.', ' In', ' total', ',', ' that', ' is', ' 9', ' +', ' 21', ' =', ' 30', '.', ' If', ' he', ' only', ' washed', ' 29', ',', ' then', ' that', ' means', ' he', ' did', ' not', ' wash', ' 1', '.', ' The', ' answer', ' is', ' 1', '.']","[-0.09472209000000001, -0.6377079, -0.10279173, -0.00093898765, -0.16245314, -0.08601001, -0.010537901, -0.016877629, -0.03701305, -2.0696069000000002e-05, -0.00011106283999999999, -8.88872e-05, -5.359767200000001e-05, -0.51504207, -0.6480869, -0.0021405614, -0.020790968, -0.24326799999999998, -0.03221552, -0.1428673, -8.471396000000001e-05, -5.436415399999999e-06, -0.0005348074499999999, -0.0012657441, -0.60176766, -0.7260963300000001, -0.14393923, -0.25940989999999997, -0.028921299, -1.9621319e-05, -0.73445666, -0.36280715, -0.63831645, -0.017314667000000002, -0.06380641000000001, -0.13034199999999999, -2.0815281000000002e-05, -0.00085194845, -0.11384439, -0.2883043, -0.028174542, -2.7133337e-05, -1.3661821000000001e-05, -0.00043343126999999997, -0.0024244540000000004]",,1,1
