,question,answer,response,mapping
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",[39.0],"def remaining_candy(c0, c1, c2):
    #combine the number of candies Debby and her sister have
    total_candy = c0 + c1

    #subtract the number of candies they ate the first night
    remaining = total_candy - c2

    return remaining","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[8.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    remaining_cats = total_cats - c2

    return remaining_cats","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",[2.0],"def good_games(c0, c1, c2):
    #total number of games Luke had after buying from friend and garage sale
    total_games = c0 + c1

    #number of good games after subtracting the ones that didn't work
    good_games = total_games - c2

    return good_games","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}"
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",[40.0],"def extra_fruit(c0, c1, c2):
    #calculate the total number of apples ordered
    total_apples = c0 + c1

    #calculate the number of apples needed for c2 students
    apples_needed = c2 * 2

    #calculate the extra apples
    extra_apples = total_apples - apples_needed

    return extra_apples","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}"
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",[3.0],"def extra_flowers(c0, c1, c2):
    #calculate the total number of flowers picked
    total_flowers = c0 + c1

    #calculate the number of flowers used in the bouquets
    used_flowers = c2

    #calculate the number of extra flowers
    extra = total_flowers - used_flowers

    return extra","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[7.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[19.0],"def calculate_money(c0, c1, c2):
    # add the money he got for his birthday
    total_money = c0 + c1
    # subtract the money he spent on the new game
    total_money -= c2
    return total_money","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",[2.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,[11.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures
    total_pictures = c0 + c1

    #number of pictures colored
    colored_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - colored_pictures

    return remaining","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[1.0],"def shirts_not_washed(c0, c1, c2):
    #calculate the total number of shirts Ned had to wash
    total_shirts = c0 + c1

    #calculate the number of shirts he did wash
    washed_shirts = c2

    #calculate the number of shirts he did not wash
    not_washed = total_shirts - washed_shirts

    return not_washed","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}"
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[66.0],"def unwashed_shirts(c0, c1, c2):
    #calculate the total number of shirts
    total_shirts = c0 + c1

    #calculate the number of shirts washed
    washed_shirts = c2

    #calculate the number of shirts not washed
    unwashed_shirts = total_shirts - washed_shirts

    return unwashed_shirts","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}"
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,[9.0],"def bake_sale(c0, c1, c2):
    # Wendy baked c0 cupcakes and c1 cookies
    pastries_before = c0 + c1

    # After the sale, she had c2 pastries left
    pastries_after = c2

    # The number of pastries she sold can be calculated by subtracting the number of pastries left from the number of pastries before the sale
    sold = pastries_before - pastries_after

    return sold","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}"
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",[22.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}"
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",[2.0],"def extra_flowers(c0, c1, c2):
    #calculate the total number of flowers picked
    total_flowers = c0 + c1

    #calculate the number of flowers used in bouquets
    flowers_used = c2

    #calculate the number of extra flowers
    extra = total_flowers - flowers_used

    return extra","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}"
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",[15.0],"def homework_problems(c0, c1, c2):
    #total number of problems is the sum of math and science problems
    total_problems = c0 + c1

    #number of problems Faye finished at school
    finished_at_school = c2

    #number of problems left to do for homework is the difference between total problems and problems finished at school
    homework_problems = total_problems - finished_at_school

    return homework_problems","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}"
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",[2.0],"def remaining_files(c0, c1, c2):
    #calculate the total number of files before deletion
    total_files = c0 + c1

    #subtract the number of deleted files from the total to get the remaining files
    remaining = total_files - c2

    return remaining","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}"
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",[14.0],"def good_games(c0, c1, c2):
    #total number of games Ned has
    total_games = c0 + c1

    #number of good games
    good_games = total_games - c2

    return good_games","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}"
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,[86.0],"def total_points(c0, c1, c2):
    # Chloe's total points is the sum of her points in the first two rounds minus the points she lost in the last round
    total = c0 + c1 - c2
    return total","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}"
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",[50.0],"def remaining_tickets(c0, c1, c2):
    # Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'
    total_tickets = c0 + c1

    # Tom spent c2 of his tickets on a hat
    spent_tickets = c2

    # The number of tickets Tom has left can be calculated by subtracting the spent tickets from the total tickets
    remaining_tickets = total_tickets - spent_tickets

    return remaining_tickets","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}"
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[25.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}"
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,[4.0],"def bake_sale(c0, c1, c2):
    #total number of pastries made
    total_pastries = c0 + c1

    #number of pastries sold
    pastries_sold = total_pastries - c2

    return pastries_sold","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}"
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,[68.0],"def pictures_left(c0, c1, c2):
    #total number of pictures
    total_pictures = c0 + c1

    #number of pictures colored
    colored_pictures = c2

    #number of pictures left to color
    left_to_color = total_pictures - colored_pictures

    return left_to_color","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}"
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",[6.0],"def good_games(c0, c1, c2):
    #total number of games John had
    total_games = c0 + c1

    #number of good games John ended up with
    good_games = total_games - c2

    return good_games","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}"
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[19.0],"def calculate_money(c0, c1, c2):
    # Henry starts with c0 dollars
    total_money = c0

    # He gets c1 more dollars for his birthday
    total_money += c1

    # He spends c2 dollars on a new game
    total_money -= c2

    return total_money","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}"
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",[55.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}"
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[34.0],"def unwashed_shirts(c0, c1, c2):
    #calculate the total number of shirts that Sam had to wash
    total_shirts = c0 + c1

    #calculate the number of shirts that Sam washed
    washed_shirts = c2

    #calculate the number of shirts that Sam did not wash
    unwashed_shirts = total_shirts - washed_shirts

    return unwashed_shirts","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}"
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[12.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    cats_left = total_cats - c2

    return cats_left","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}"
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[16.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}"
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",[73.0],"def extra_fruit(c0, c1, c2):
    #calculate the total number of apples ordered
    total_apples = c0 + c1

    #calculate the number of apples needed for c2 students
    apples_needed = c2 * 2

    #calculate the extra apples
    extra_apples = total_apples - apples_needed

    return extra_apples","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}"
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",[17.0],"def basketball_cut(c0, c1, c2):
    #total number of students who tried out
    total = c0 + c1

    #number of students who made the cut
    cut = c2

    #number of students who didn't make the cut
    not_cut = total - cut

    return not_cut","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}"
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[18.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    cats_left = total_cats - c2

    return cats_left","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}"
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,[41.0],"def pastry_sold(c0, c1, c2):
    #total pastries made is the sum of cupcakes and cookies
    total_pastries = c0 + c1

    #number of pastries sold can be calculated by subtracting the number of pastries taken back home from the total pastries made
    pastries_sold = total_pastries - c2

    return pastries_sold","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}"
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,[7.0],"def total_points(c0, c1, c2):
    # calculate the total points by adding the scores from the first two rounds and subtracting the points lost in the last round
    total = c0 + c1 - c2
    return total","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}"
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,[36.0],"def pictures_left(c0, c1, c2):
    #total number of pictures
    total_pictures = c0 + c1

    #number of pictures colored
    colored_pictures = c2

    #number of pictures left to color
    left_to_color = total_pictures - colored_pictures

    return left_to_color","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}"
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",[63.0],"def remaining_candy(c0, c1, c2):
    #combine the number of candies Janet and her sister have
    total_candy = c0 + c1

    #subtract the number of candies they ate the first night
    remaining = total_candy - c2

    return remaining","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}"
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[13.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}"
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",[56.0],"def basketball_cut(c0, c1, c2):
    #total number of students who tried out
    total = c0 + c1

    #number of students who made the cut
    cut = c2

    #number of students who didn't make the cut
    not_cut = total - cut

    return not_cut","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}"
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[15.0],"def calculate_money(c0, c1, c2):
    # add the money he got for his birthday
    total_money = c0 + c1
    # subtract the money he spent on the new game
    total_money -= c2
    return total_money","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}"
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[5.0],"def unwashed_shirts(c0, c1, c2):
    #total number of shirts Dave had to wash
    total_shirts = c0 + c1

    #number of shirts Dave washed
    washed_shirts = c2

    #number of shirts Dave did not wash
    unwashed_shirts = total_shirts - washed_shirts

    return unwashed_shirts","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}"
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",[24.0],"def good_games(c0, c1, c2):
    #total number of games Edward had
    total_games = c0 + c1

    #number of good games
    good_games = total_games - c2

    return good_games","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}"
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",[15.0],"def new_books(c0, c1, c2):
    #calculate the total number of books Sam bought
    total_books = c0 + c1

    #calculate the number of new books by subtracting the number of used books from the total number of books
    new_books = total_books - c2

    return new_books","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}"
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",[14.0],"def remaining_files(c0, c1, c2):
    #calculate the total number of files before deletion
    total_files = c0 + c1

    #subtract the number of deleted files from the total to get the remaining files
    remaining = total_files - c2

    return remaining","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}"
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[1.0],"def calculate_money(c0, c1, c2):
    # Oliver starts with c0 dollars
    total_money = c0

    # He gets c1 more dollars for his birthday
    total_money += c1

    # He spends c2 dollars on a new game
    total_money -= c2

    return total_money","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}"
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,[1.0],"def total_points(c0, c1, c2):
    #calculate the total points by adding the points from the first two rounds and subtracting the points lost in the last round
    total = c0 + c1 - c2
    return total","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}"
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",[11.0],"def homework_problems(c0, c1, c2):
    #total number of problems is the sum of math and science problems
    total_problems = c0 + c1
    #number of problems Paige finished at school
    finished_at_school = c2
    #number of problems left to do for homework
    homework_problems = total_problems - finished_at_school
    return homework_problems","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}"
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",[35.0],"def extra_fruit(c0, c1, c2):
    #calculate the total number of apples ordered
    total_apples = c0 + c1

    #calculate the number of apples needed for c2 students
    apples_needed = c2 * 2

    #calculate the extra apples
    extra_apples = total_apples - apples_needed

    return extra_apples","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}"
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[16.0],"def unwashed_shirts(c0, c1, c2):
    #total number of shirts Dave had to wash
    total_shirts = c0 + c1

    #number of shirts Dave washed
    washed_shirts = c2

    #number of shirts Dave did not wash
    unwashed_shirts = total_shirts - washed_shirts

    return unwashed_shirts","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}"
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",[4.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}"
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[7.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}"
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[54.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    cats_left = total_cats - c2

    return cats_left","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}"
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",[15.0],"def new_books(c0, c1, c2):
    #calculate the total number of books Sam bought
    total_books = c0 + c1

    #calculate the number of new books by subtracting the number of used books from the total number of books
    new_books = total_books - c2

    return new_books","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}"
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",[14.0],"def remaining_files(c0, c1, c2):
    #calculate the total number of files before deletion
    total_files = c0 + c1

    #subtract the number of deleted files from the total to get the remaining files
    remaining = total_files - c2

    return remaining","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}"
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[1.0],"def calculate_money(c0, c1, c2):
    # Oliver starts with c0 dollars
    total_money = c0

    # He gets c1 more dollars for his birthday
    total_money += c1

    # He spends c2 dollars on a new game
    total_money -= c2

    return total_money","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}"
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,[1.0],"def total_points(c0, c1, c2):
    #calculate the total points by adding the scores from the first two rounds and subtracting the points lost in the last round
    total = c0 + c1 - c2
    return total","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}"
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",[11.0],"def homework_problems(c0, c1, c2):
    #total number of problems is the sum of math and science problems
    total_problems = c0 + c1
    #number of problems Paige finished at school
    finished_at_school = c2
    #number of problems left to do for homework
    homework_problems = total_problems - finished_at_school
    return homework_problems","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}"
55," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",[35.0],"def extra_fruit(c0, c1, c2):
    #calculate the total number of apples ordered
    total_apples = c0 + c1

    #calculate the number of apples needed for c2 students
    apples_needed = c2 * 2

    #calculate the extra apples
    extra_apples = total_apples - apples_needed

    return extra_apples","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}"
56," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",[16.0],"def unwashed_shirts(c0, c1, c2):
    #total number of shirts Dave had to wash
    total_shirts = c0 + c1

    #number of shirts Dave washed
    washed_shirts = c2

    #number of shirts Dave did not wash
    unwashed_shirts = total_shirts - washed_shirts

    return unwashed_shirts","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}"
57," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",[4.0],"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}"
58," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[7.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}"
59, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[54.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    cats_left = total_cats - c2

    return cats_left","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}"
60," Janet picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Janet pick? ",[4.0],"def extra_flowers(c0, c1, c2):
    #calculate the total number of flowers picked
    total_flowers = c0 + c1

    #calculate the number of flowers used in bouquets
    flowers_used = c2

    #calculate the number of extra flowers
    extra = total_flowers - flowers_used

    return extra","{'c0': 4.0, 'c1': 11.0, 'c2': 11.0}"
61," Vanessa had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",[33.0],"def remaining_files(c0, c1, c2):
    #calculate the total number of files before deletion
    total_files = c0 + c1

    #subtract the number of deleted files from the total to get the remaining files
    remaining = total_files - c2

    return remaining","{'c0': 13.0, 'c1': 30.0, 'c2': 10.0}"
62, Debby bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,[23.0],"def pictures_left(c0, c1, c2):
    #total number of pictures
    total_pictures = c0 + c1

    #number of pictures colored
    colored_pictures = c2

    #number of pictures left to color
    left_to_color = total_pictures - colored_pictures

    return left_to_color","{'c0': 16.0, 'c1': 40.0, 'c2': 33.0}"
63," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",[9.0],"def extra_fruit(c0, c1, c2):
    #calculate the total number of apples ordered
    total_apples = c0 + c1

    #calculate the number of apples needed for c2 students
    apples_needed = c2 * 2

    #calculate the extra apples
    extra_apples = total_apples - apples_needed

    return extra_apples","{'c0': 8.0, 'c1': 43.0, 'c2': 42.0}"
64," Edward started his own lawn mowing business. In the spring he made c0 dollars mowing lawns and in the summer he made c1 dollars. If he had to spend c2 dollars buying supplies, how much money did he end up with? ",[24.0],"def lawn_mowing_profit(c0, c1, c2):
    #calculate total profit by adding spring and summer earnings
    total_profit = c0 + c1

    #subtract the cost of supplies
    final_profit = total_profit - c2

    return final_profit","{'c0': 2.0, 'c1': 27.0, 'c2': 5.0}"
65, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,[28.0],"def remaining_cats(c0, c1, c2):
    #total number of cats before sale
    total_cats = c0 + c1

    #number of cats left after sale
    cats_left = total_cats - c2

    return cats_left","{'c0': 36.0, 'c1': 18.0, 'c2': 26.0}"
66," Olivia and her mom were picking carrots from their garden. Olivia picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",[15.0],"def bad_carrots(c0, c1, c2):
    #total number of carrots picked
    total_carrots = c0 + c1

    #number of bad carrots
    bad_carrots = total_carrots - c2

    return bad_carrots","{'c0': 20.0, 'c1': 14.0, 'c2': 19.0}"
67, George had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,[8.0],"def calculate_money(c0, c1, c2):
    # George starts with c0 dollars
    total_money = c0

    # He gets c1 more dollars for his birthday
    total_money += c1

    # He spends c2 dollars on a new game
    total_money -= c2

    return total_money","{'c0': 30.0, 'c1': 16.0, 'c2': 38.0}"
68," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",[47.0],"def basketball_cut(c0, c1, c2):
    #total number of students who tried out
    total = c0 + c1

    #number of students who made the cut
    cut = c2

    #number of students who didn't make the cut
    not_cut = total - cut

    return not_cut","{'c0': 6.0, 'c1': 48.0, 'c2': 7.0}"
69, For the school bake sale Amy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,[51.0],"def bake_sale(c0, c1, c2):
    #total number of pastries made
    total_pastries = c0 + c1

    #number of pastries sold
    pastries_sold = total_pastries - c2

    return pastries_sold","{'c0': 15.0, 'c1': 48.0, 'c2': 12.0}"
70," At the schools book fair Victor bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",[53.0],"def new_books(c0, c1, c2):
    #calculate the total number of books Victor bought
    total_books = c0 + c1

    #calculate the number of new books by subtracting the number of used books from the total number of books
    new_books = total_books - c2

    return new_books","{'c0': 32.0, 'c1': 37.0, 'c2': 16.0}"
