,question,answer,response,mapping,response_answer
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51.0,"def Problem(c0, c1):
    #each pack of dvds costs c0 dollars
    original_price = c0

    #there is a discount of c1 dollars on each pack
    discount = c1

    #the final price after discount can be calculated by subtracting the discount from the original price
    final_price = original_price - discount

    return final_price","{'c0': 76.0, 'c1': 25.0}",51.0
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1.0,"Let's think about it step by step:

def Problem(c0, c1):
    #Dan had c0 left after buying a candy bar
    money_left = c0

    #Dan had c1 at the start
    money_start = c1

    #The cost of the candy bar can be calculated by subtracting the money left from the money Dan had at the start
    candy_cost = money_start - money_left

    return candy_cost","{'c0': 3.0, 'c1': 4.0}",1.0
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17.0,"def Problem(c0, c1, c2, c3):
    #Paco had c0 salty cookies and c1 sweet cookies
    salty_cookies = c0

    #He ate c2 sweet cookies and c3 salty cookies
    eaten_sweet = c2
    eaten_salty = c3

    #The number of salty cookies Paco has left can be calculated by subtracting the number of salty cookies he ate from the original number of salty cookies
    remaining_salty = salty_cookies - eaten_salty

    return remaining_salty","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",17.0
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22.0,"def Problem(c0, c1):
    #there were originally c0 children on the bus
    children_before = c0

    #there are c1 children left on the bus after some got off
    children_after = c1

    #The number of children who got off the bus can be calculated by subtracting the number of children left on the bus from the original number of children
    got_off = children_before - children_after

    return got_off","{'c0': 43.0, 'c1': 21.0}",22.0
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"def Problem(c0, c1, c2):
    #c0 children were originally on the bus
    original = c0

    #c1 children got on the bus while some got off
    net_change = c1 - (c2 - c0)

    #The number of children that got on the bus more than those that got off can be calculated by subtracting the net change from the number of children that got on the bus
    more_on = c1 - net_change

    return more_on","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",2.0
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"def Problem(c0, c1, c2):
    #Olivia had c0 dollars in her wallet
    initial_money = c0

    #She collected c1 more dollars from an atm
    atm_money = c1

    #After visiting the supermarket, she had c2 dollars left
    remaining_money = c2

    #The amount of money she spent at the supermarket can be calculated by subtracting the remaining money from the initial money
    spent_money = initial_money - remaining_money

    #The difference between the money she collected from the atm and the money she spent at the supermarket can be calculated by subtracting the spent money from the atm money
    difference = atm_money - spent_money

    return difference","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",95.0
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"Let's think about it step by step:

def initial_figures(c0, c1):
    # Jerry had some action figures on the shelf
    # Let's call the initial number of action figures x
    x = c1 - c0
    
    return x

# We can test the function with some values
print(initial_figures(5, 12)) # Output should be 7
print(initial_figures(10, 25)) # Output should be 15","{'c0': 7.0, 'c1': 10.0}",3.0
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"def Problem(c0, c1, c2):
    #Paco had c0 cookies
    cookies_before = c0

    #He gave c1 cookies to his friend
    cookies_given = c1

    #He ate c2 cookies
    cookies_eaten = c2

    #The difference between the number of cookies he ate and the number of cookies he gave to his friend can be calculated by subtracting the number of cookies given from the number of cookies eaten
    difference = cookies_eaten - cookies_given

    return difference","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9.0
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4.0,"def Problem(c0, c1, c2, c3):
    #the recipe calls for c1 cups of flour
    flour_needed = c1

    #Mary already put in c3 cups of flour
    flour_used = c3

    #The number of cups of flour Mary still needs to add can be calculated by subtracting the amount of flour used from the amount of flour needed
    flour_remaining = flour_needed - flour_used

    return flour_remaining","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4.0
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21.0,"def Problem(c0, c1):
    #after c0 customers left, the waiter had c1 customers
    customers_left = c0
    customers_after = c1

    #the number of customers at the start can be calculated by adding the number of customers who left to the number of customers after
    customers_start = customers_left + customers_after

    return customers_start","{'c0': 9.0, 'c1': 12.0}",21.0
10,c0 birds were sitting on the fence. c1 more storks and c2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"def Problem(c0, c1, c2):
    #there are originally c0 birds on the fence
    birds_before = c0

    #c1 more storks and c2 more birds came to join them
    storks = c1
    birds = c2

    #The total number of birds on the fence after the new arrivals
    birds_after = birds_before + storks + birds

    #The difference between the number of storks and birds on the fence
    difference = storks - birds

    return difference","{'c0': 3.0, 'c1': 6.0, 'c2': 2.0}",4.0
11,They decided to hold the party in their backyard. If they have c0 sets of tables and each set has c1 chairsHow many chairs do they have in the backyard?,143.0,"def Problem(c0, c1):
    #each set of tables has c1 chairs
    chairs_per_set = c1

    #there are c0 sets of tables
    sets_of_tables = c0

    #The total number of chairs can be calculated by multiplying the number of sets of tables by the number of chairs per set
    total_chairs = chairs_per_set * sets_of_tables

    return total_chairs","{'c0': 11.0, 'c1': 13.0}",143.0
