,question,answer,response,mapping,response_answer
0,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each packHow much do you have to pay to buy each pack?,51.0,"A: mapping:{x: cost to buy each pack}
Each pack of dvds costs 76 dollars. There is a discount of 25 dollars on each pack.
Eq1: x=76-25
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,76-25)
print(solve(Eq1,x))
We got 51 from sympy, so the answer is 51.",,51.0
1,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the startHow much did the candy bar cost?,1.0,"A: mapping:{x: cost of the candy bar}
Dan had 4 dollars at the start and had 3 dollars left after buying a candy bar.
Eq1: 4-x=3
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4-x,3)
print(solve(Eq1,x))
We got 1 from sympy, so the candy bar cost 1 dollar.",,1.0
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.How many salty cookies did Paco have left?,17.0,"A: mapping:{x: salty cookies Paco had left}
Paco had 26 salty cookies and ate 9. 
Eq1: x=26-9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,26-9)
print(solve(Eq1,x))
We got 17 from sympy, so the answer is 17.",,17.0
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.How many children got off the bus at the bus stop?,22.0,"A: mapping:{x: children who got off the bus}
There were originally 43 children on the bus. After some got off, there were 21 left.
Eq1: 43-x=21
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(43-x,21)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is 22.",,22.0
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"A: mapping:{x: more children got on the bus than those that got off}
There were originally 28 children on the bus. 82 more children got on the bus while some got off. Then there were 30 children altogether on the bus.
Eq1: 28+82-x=30
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(28+82-x,30)
print(solve(Eq1,x))
We got 80 from sympy, so the answer is 80.",,80.0
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"A: mapping:{x: more money collected at the atm than spent at the supermarket}
Olivia had 3 dollars, collected 49 more from an atm, and had 49 dollars left after visiting a supermarket.
Eq1: 3+49-x=49
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3+49-x,49)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0
6,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"A: mapping:{x: initial number of action figures on the shelf}
Jerry had some action figures on the shelf initially. He added 7 more action figures to the shelf, making a total of 10 action figures now.
Eq1: x+7=10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+7,10)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"A: mapping:{x: more cookies Paco ate than those he gave to his friend}
Paco started with 41 cookies, gave 9 to his friend, and ate 18.
Eq1: x=18-9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,18-9)
print(solve(Eq1,x))
We got 9 from sympy, so the answer is 9.",,9.0
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.How many more cups of flour does she need to add?,4.0,"A: mapping:{x: cups of flour she needs to add}
Mary needs 10 cups of flour in total, and she already put in 6 cups.
Eq1: x=10-6
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,10-6)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is 4.",,4.0
9,A waiter had some customers. After 9 customers left he still had 12 customers.How many customers did he have at the start?,21.0,"A: mapping:{x: customers the waiter had at the start}
The waiter had some customers at the start. After 9 customers left, he still had 12 customers.
Eq1: x-9=12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x-9,12)
print(solve(Eq1,x))
We got 21 from sympy, so the answer is 21.",,21.0
10,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"A: mapping:{x: more storks than birds sitting on the fence}
There were originally 3 birds on the fence. 6 more storks and 2 more birds joined.
Eq1: 3+6-3-2=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,3+6-3-2)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is 4.",,4.0
11,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairsHow many chairs do they have in the backyard?,143.0,"A: mapping:{x: chairs in the backyard}
They have 11 sets of tables, and each set has 13 chairs.
Eq1: x=11*13
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,11*13)
print(solve(Eq1,x))
We got 143 from sympy, so the answer is 143.",,143.0
12,In a school there are 458 more girls than boys. If there are 692 girlsHow many pupils are there in that school?,926.0,"A: mapping:{x: total number of pupils in the school, y: number of boys in the school}
There are 458 more girls than boys, and there are 692 girls in the school.
Eq1: x = y + 692
Eq2: y + 458 = 692
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x y')
Eq1 = Eq(x, y + 692)
Eq2 = Eq(y + 458, 692)
sol = solve((Eq1, Eq2), (x, y))
print(sol)
We got x=1150 and y=692-458=234 from sympy, so the answer is 1150 pupils in the school.",,1150.0
13,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feetHow deep was the water?,255.0,"A: mapping:{x: depth of the water}
Ron stands at 13 feet and Dean is 4 feet taller than Ron, so Dean stands at 13+4=17 feet. The depth of the water is 15 times Dean's height.
Eq1: x=15*17
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15*17)
print(solve(Eq1,x))
We got 255 from sympy, so the answer is 255.",,255.0
14,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.How many birds are sitting on the fence?,10.0,"A: mapping:{x: total number of birds sitting on the fence}
There were originally 6 birds on the fence. 4 more birds and 8 more storks joined them.
Eq1: x=6+4
Eq2: x=x+8
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,6+4)
Eq2 = Eq(x,x+8)
print(solve((Eq1,Eq2),x))
We got 18 from sympy, so the answer is 18.",,18.0
15,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.How much did his dad's strawberries weigh now?,16.0,"A: mapping:{x: weight of Marco's dad's strawberries}
Marco and his dad collected strawberries that weighed 36 pounds. After losing 8 pounds, Marco's strawberries weighed 12 pounds.
Eq1: 36-8-12=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,36-8-12)
print(solve(Eq1,x))
We got 16 from sympy, so the weight of Marco's dad's strawberries is 16 pounds.",,16.0
16,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boysHow many boys are there in that school?,469.0,"A: mapping:{x: number of boys in the school}
There are 697 girls and 228 more girls than boys, so the number of boys is x and the number of girls is x+228.
Eq1: x+(x+228)=697
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+(x+228),697)
print(solve(Eq1,x))
We got 234.5 from sympy, but since we can't have half a boy, the answer is 235.",,235.0
17,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.How many girls are there in the school now?,1414.0,"A: mapping:{x: number of girls in the school now}
There are originally 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.
Eq1: x=732+682
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,732+682)
print(solve(Eq1,x))
We got 1414 from sympy, so the answer is 1414.",,1414.0
