,question,answer,median_answer,response_answer,response_answer_arith,response_answer_var,mapping_arith,response,response_arith,response_var
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15,15,15,15,-25,"{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}","Faye had 46 math problems and 9 science problems for a total of 46 + 9 = 55 problems. She finished 40 of them at school, so she had 55 - 40 = 15 problems left to do for homework. The answer is 15.","Solve the problem step by step:

1. Add the number of math problems and the number of science problems to calculate the total number of problems. Let x be the total number of problems,
x = c0 + c1

2. Subtract the number of problems Faye finished at school from the total number of problems to calculate the answer.
answer = x - c2","Faye had c0 math problems and c1 science problems for homework. After finishing c2 problems at school, she still has c0-c2 math problems and c1-c2 science problems left to do. 
homework_problems = (c0-c2) + (c1-c2)

The answer is homework_problems."
40," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ",15,15,15,15,-15,"{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}","Sam bought a total of 13 + 17 = 30 books. After using 15 of them, he had 30 - 15 = 15 books left. These 15 books must be the new books he bought. The answer is 15.","Solve the problem step by step:

1. Add the number of adventure books and the number of mystery books to calculate the total number of books. Let x be the total number of books,
x = c0 + c1

2. Subtract the number of used books from the total number of books to calculate the number of new books. 
answer = x - c2","Sam bought c0 adventure books and c1 mystery books, so he bought a total of c0 + c1 books. If c2 of the books were used, then he has c0 + c1 - c2 books left. These are the books that he did not buy new. Therefore, the number of new books he bought is c0 + c1 - c2 minus the number of books he originally had, which is c0 + c1. 

new_books = (c0 + c1 - c2) - (c0 + c1)
new_books = c0 - c0 + c1 - c1 - c2
new_books = -c2

The answer is -c2, which means that Sam did not buy any new books."
70," At the schools book fair Victor bought 32 adventure books and 37 mystery books. If 16 of the books were used, how many new books did he buy? ",53,53,,53,53,"{'c0': 32.0, 'c1': 37.0, 'c2': 16.0}","Victor bought 32 adventure books and 37 mystery books, so he bought a total of 32 + 37 = 69 books. If 16 of the books were used, then he has 69 - 16 = 53 books left. Therefore, he bought 53 - (32 + 37) = 53 - 69 = -16 new books. This doesn't make sense, so there may be an error in the problem.","Solve the problem step by step:

1. Add the number of adventure books and the number of mystery books to calculate the total number of books bought. Let x be the total number of books,
x = c0 + c1

2. Subtract the number of used books from the total number of books to calculate the number of new books. 
answer = x - c2","Victor bought c0 adventure books and c1 mystery books, so he bought a total of c0 + c1 books. If c2 of the books were used, then he must have bought c0 + c1 - c2 new books. 
new_books = c0 + c1 - c2

The answer is new_books."
102," Kaleb had 34 books. If he sold 17 of them and used the money he earned to buy 7 new books, how many books would Kaleb have? ",24,24,24,16,24,"{'c0': 34.0, 'c1': 17.0, 'c2': 7.0}","Kaleb started with 34 books. After selling 17, he had 34 - 17 = 17 books left. He used the money to buy 7 new books, so he now has 17 + 7 = 24 books. The answer is 24.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Kaleb has left. Let x be the number of books Kaleb has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Kaleb can buy. Let y be the number of new books Kaleb can buy,
y = (money earned from selling books) / c2

3. Add the number of books Kaleb has left and the number of new books he can buy to calculate the answer.
answer = x + y","Kaleb started with c0 books. After selling c1, he had c0 - c1 books left. 
books_left = c0 - c1

With the money earned from selling the books, he bought c2 new books. 
new_books = c2

So Kaleb now has books_left + new_books books. 
total_books = books_left + new_books

The answer is total_books."
134," Adam had 33 books. If he sold 11 of them and used the money he earned to buy 23 new books, how many books would Adam have? ",45,45,45,0,45,"{'c0': 33.0, 'c1': 11.0, 'c2': 23.0}","Adam started with 33 books. After selling 11, he had 33 - 11 = 22 books left. He used the money to buy 23 new books, so he now has 22 + 23 = 45 books. The answer is 45.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let x be the number of books Adam has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Adam can buy. Let y be the number of new books Adam can buy,
y = total money earned / c2

3. Add the number of books Adam has left and the number of new books he bought to calculate the answer.
answer = x + y","Adam started with c0 books. After selling c1, he had c0 - c1 books left. 

He used the money he earned from selling the books to buy c2 new books. 

So in total, Adam has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2

The answer is total_books."
143," Edward had 43 books. If he sold 19 of them and used the money he earned to buy 14 new books, how many books would Edward have? ",38,38,38,0,38,"{'c0': 43.0, 'c1': 19.0, 'c2': 14.0}","Edward started with 43 books. After selling 19, he had 43 - 19 = 24 books left. He used the money to buy 14 new books, so he now has 24 + 14 = 38 books. The answer is 38.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Edward has left. Let x be the number of books Edward has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Edward can buy. Let y be the number of new books Edward can buy,
y = total money earned / c2

3. Add the number of books Edward has left and the number of new books he bought to calculate the answer.
answer = x + y","Edward started with c0 books. After selling c1, he had c0 - c1 books left. 
books_left = c0 - c1

With the money he earned, he bought c2 new books. So he now has books_left + c2 books. 
total_books = books_left + c2

The answer is total_books."
165," Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39,39,39,0,39,"{'c0': 5.0, 'c1': 4.0, 'c2': 38.0}","Tom started with 5 books. He sold 4 of them, so he had 5 - 4 = 1 book left. He used the money he earned from selling the books to buy 38 new books, so he now has 1 + 38 = 39 books. The answer is 39.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Tom has left. Let x be the number of books Tom has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Tom can buy. Let y be the number of new books Tom can buy,
y = total money earned / c2

3. Add the number of books Tom has left and the number of new books he bought to calculate the answer.
answer = x + y","Tom started with c0 books. After selling c1, he had c0 - c1 books left. 

With the money he earned, he bought c2 new books. 

So in total, Tom has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2

The answer is total_books."
169, In fourth grade there were 8 students at the start of the year. During the year 5 students left and 8 new students came to school. How many students were in fourth grade at the end? ,11,11,5,11,11,"{'c0': 8.0, 'c1': 5.0, 'c2': 8.0}","There were originally 8 students. 5 left and 8 new students came, so the total change in students is 5 - 8 = -3. This means there are 3 fewer students than before. So the total number of students at the end of the year is 8 - 3 = 5. The answer is 5.","Solve the problem step by step:

1. Subtract the number of students who left from the original number of students to calculate the number of students who remained. Let x be the number of students who remained,
x = c0 - c1

2. Add the number of new students who came to the school to the number of students who remained to calculate the answer.
answer = x + c2","At the start of the year, there were c0 students. After c1 left, there were c0 - c1 students remaining. 
students_remaining = c0 - c1

After c2 new students came, there were students_remaining + c2 students in fourth grade at the end of the year. 
students_end = students_remaining + c2

The answer is students_end."
174," Adam had 48 books. If he sold 19 of them and used the money he earned to buy 38 new books, how many books would Adam have? ",67,67,67,0,67,"{'c0': 48.0, 'c1': 19.0, 'c2': 38.0}","Adam started with 48 books. After selling 19, he had 48 - 19 = 29 books. He used the money to buy 38 new books, so he now has 29 + 38 = 67 books. The answer is 67.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let x be the number of books Adam has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Adam can buy. Let y be the number of new books Adam can buy,
y = total money earned / c2

3. Add the number of books Adam has left and the number of new books he bought to calculate the answer.
answer = x + y","Adam started with c0 books. After selling c1, he had c0 - c1 books left. 

He used the money he earned from selling the books to buy c2 new books. 

So in total, Adam has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2

The answer is total_books."
195," Roger had 25 books. If he sold 21 of them and used the money he earned to buy 30 new books, how many books would Roger have? ",34,34,34,0,34,"{'c0': 25.0, 'c1': 21.0, 'c2': 30.0}","Roger started with 25 books. He sold 21 of them, so he had 25 - 21 = 4 books left. He used the money he earned to buy 30 new books, so he now has 4 + 30 = 34 books. The answer is 34.","Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Roger has left. Let x be the number of books he has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books he can buy. Let y be the number of new books he can buy,
y = total money earned / c2

3. Add the number of books he has left and the number of new books he can buy to calculate the answer.
answer = x + y","Roger started with c0 books. After selling c1, he had c0 - c1 books left. 

He used the money he earned from selling the books to buy c2 new books. 

So in total, he now has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2

The answer is total_books."
