,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0,"def candy_left(c0, c1, c2):
    # Debby had c0 pieces of candy
    debby_candy = c0
    
    # Debby's sister had c1 pieces of candy
    sister_candy = c1
    
    # They ate c2 pieces of candy the first night
    eaten_candy = c2
    
    # The total number of candy they had before eating any can be calculated by adding Debby's and her sister's candy
    total_candy_before = debby_candy + sister_candy
    
    # The total number of candy they have left can be calculated by subtracting the number of candy they ate from the total number of candy they had before
    candy_left = total_candy_before - eaten_candy
    
    return candy_left","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39.0
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0,"def cats_left(c0, c1, c2):
    # The pet store originally had c0 siamese cats and c1 house cats
    total_cats = c0 + c1

    # During the sale, they sold c2 cats
    sold_cats = c2

    # The number of cats left can be calculated by subtracting the number of sold cats from the total number of cats
    cats_left = total_cats - sold_cats

    return cats_left","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0,"def good_games(c0, c1, c2):
    # Luke originally had c0 games
    original_games = c0
    
    # Luke bought c1 more games
    garage_sale_games = c1
    
    # Luke had c2 games that didn't work
    broken_games = c2
    
    # The total number of games Luke has now can be calculated by adding the original number of games to the number of games he bought at the garage sale
    total_games = original_games + garage_sale_games
    
    # The number of good games Luke has now can be calculated by subtracting the number of broken games from the total number of games he has
    good_games = total_games - broken_games
    
    return good_games","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2.0
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"def Problem(c0, c1, c2):
    #The cafeteria ordered c0 red apples and c1 green apples
    red_apples = c0
    green_apples = c1

    #If only c2 students wanted fruit, the total number of apples needed is c2
    total_apples = c2

    #The total number of apples the cafeteria has is the sum of red and green apples
    total_cafeteria_apples = red_apples + green_apples

    #The number of extra apples the cafeteria has can be calculated by subtracting the total number of apples needed by the total number of apples the cafeteria has
    extra_apples = total_cafeteria_apples - total_apples

    return extra_apples","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40.0
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0,"def Problem(c0, c1, c2):
    #Lana picked c0 tulips and c1 roses
    tulips = c0
    roses = c1

    #Lana only used c2 of the flowers
    used = c2

    #The number of extra flowers Lana picked can be calculated by subtracting the number of flowers she used from the total number of flowers she picked
    extra = tulips + roses - used

    return extra","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3.0
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0,"def Problem(c0, c1, c2):
    #Carol picked c0 carrots
    carol = c0

    #Carol's mother picked c1 carrots
    mother = c1

    #The total number of carrots they picked can be calculated by adding the number of carrots Carol picked by the number of carrots her mother picked
    total_picked = carol + mother

    #The number of bad carrots they have can be calculated by substracting the number of good carrots from the total number of carrots they picked
    bad_carrots = total_picked - c2

    return bad_carrots","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"def Problem(c0, c1, c2):
    #Roger had c0 dollars originally
    money_before = c0

    #Roger got c1 more dollars for his birthday
    birthday_money = c1

    #Roger spent c2 dollars on a new game
    game_cost = c2

    #The total money Roger has right now can be calculated by adding the money he got for his birthday and substracting the cost of the new game he bought
    money_now = money_before + birthday_money - game_cost

    return money_now","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0,"def remaining_pictures(c0, c1, c2):
    # Megan took c0 pictures at the zoo and c1 at the museum
    total_pictures = c0 + c1

    # Megan deleted c2 pictures
    deleted_pictures = c2

    # The number of pictures Megan still has can be calculated by subtracting the number of deleted pictures from the total number of pictures she took
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0,"def remaining_pictures(c0, c1, c2):
    # Rachel bought two coloring books, one with c0 pictures and the other with c1 pictures
    total_pictures = c0 + c1
    
    # After one week, she colored c2 pictures
    colored_pictures = c2
    
    # The number of pictures she still has to color can be calculated by subtracting the number of colored pictures from the total number of pictures
    remaining = total_pictures - colored_pictures
    
    return remaining","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0,"def Problem(c0, c1, c2):
    #Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts
    short_sleeve = c0
    long_sleeve = c1

    #Ned only washed c2 of them by the time school started
    washed = c2

    #The number of shirts Ned did not wash can be calculated by subtracting the number of shirts he washed from the total number of shirts he had to wash
    not_washed = (short_sleeve + long_sleeve) - washed

    return not_washed","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66.0,"def Problem(c0, c1, c2):
    #Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts
    short_sleeve = c0
    long_sleeve = c1

    #Oliver washed c2 shirts before school
    washed = c2

    #The number of shirts Oliver did not wash can be calculated by subtracting the number of shirts he washed from the total number of shirts he had to wash
    not_washed = (short_sleeve + long_sleeve) - washed

    return not_washed","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66.0
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9.0,"def Problem(c0, c1, c2):
    #Wendy baked c0 cupcakes and c1 cookies
    cupcakes = c0
    cookies = c1

    #After the sale, she had c2 pastries left
    pastries_left = c2

    #The total number of pastries Wendy sold can be calculated by subtracting the number of pastries she had left from the total number of pastries she baked
    pastries_sold = cupcakes + cookies - pastries_left

    return pastries_sold","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9.0
