,question,answer,response,mapping,response_answer,equations,correct
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39,"Debby had c0 pieces of candy and her sister had c1 pieces. Together, they had c0 + c1 pieces of candy. If they ate c2 pieces, they would have c0 + c1 - c2 pieces left. 
remaining_candy = c0 + c1 - c2
The answer is remaining_candy.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39,"['remaining_candy =  c0 + c1 - c2', 'answer = remaining_candy']",1
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8,"The pet store originally had c0 siamese cats and c1 house cats, for a total of c0 + c1 cats. After the sale, they sold c2 cats, so they have c0 + c1 - c2 cats left. 
remaining_cats = c0 + c1 - c2
The answer is remaining_cats.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8,"['remaining_cats =  c0 + c1 - c2', 'answer = remaining_cats']",1
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2,"Luke started with c0 games and bought c1 more, so he had c0 + c1 games in total. If c2 of them didn't work, he would have c0 + c1 - c2 good games left. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40,"The cafeteria ordered c0 red apples and c1 green apples, for a total of c0 + c1 apples. But only c2 students wanted fruit, so the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3,"Lana picked c0 tulips and c1 roses, so the total number of flowers she picked is c0 + c1. If she only used c2 of them, then she must have picked c0 + c1 - c2 extra flowers that were not used. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"If there were c2 good carrots, then the total number of carrots they picked was c0 + c1. Therefore, the number of bad carrots they had was the total number of carrots minus the number of good carrots: 
bad_carrots = (c0 + c1) - c2
The answer is bad_carrots.","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",1
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Roger had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2,"Megan took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. If she deleted c2 pictures, she would have c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11,"Rachel had c0 pictures in one coloring book and c1 pictures in the other, so she had a total of c0 + c1 pictures. After coloring c2 pictures, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1,"Ned had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
not_washed = c0 + c1 - c2
The answer is not_washed.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1,"['not_washed =  c0 + c1 - c2', 'answer = not_washed']",1
