,question,answer,response,mapping,response_answer,equations,
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51,"Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each pack, then the new price is c0 - c1 dollars. 
new_price = c0 - c1
The answer is new_price.","{'c0': 76.0, 'c1': 25.0}",51,"['new_price =  c0 - c1', 'answer = new_price']",1
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1,"Dan started with c1 dollars. After buying the candy bar, he had c0 dollars left. So the candy bar cost c1 - c0 dollars. 
candy_bar_cost = c1 - c0
The answer is candy_bar_cost.","{'c0': 3.0, 'c1': 4.0}",1,"['candy_bar_cost =  c1 - c0', 'answer = candy_bar_cost']",1
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17,"Paco started with c0 salty cookies and ate c3 of them. So he had c0 - c3 salty cookies left. 
salty_cookies_left = c0 - c3
He also started with c1 sweet cookies and ate c2 of them. So he had c1 - c2 sweet cookies left. 
sweet_cookies_left = c1 - c2
The question asks for the number of salty cookies left, so the answer is salty_cookies_left.","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",3,"['salty_cookies_left =  c0 - c3', 'sweet_cookies_left =  c1 - c2']",0
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22,"There were originally c0 children on the bus. After some got off, there were c1 left. So c0 - c1 children got off the bus at the stop. 
children_off = c0 - c1
The answer is children_off.","{'c0': 43.0, 'c1': 21.0}",22,"['children_off =  c0 - c1', 'answer = children_off']",1
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2,"There were c0 children originally on the bus. c1 more children got on, so there were c0 + c1 children on the bus. Let's say x children got off the bus. Then there were c0 + c1 - x children left on the bus, which is equal to c2. So we can solve for x:
c0 + c1 - x = c2
x = c0 + c1 - c2
This is the number of children who got off the bus. To find the number of children who got on the bus, we can subtract this from the number who got on:
children_on = c1
children_off = c0 + c1 - c2
children_more_on = children_on - children_off
The answer is children_more_on.","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",2,"['x =  c2', 'x =  c0 + c1 - c2', 'children_on =  c1', 'children_off =  c0 + c1 - c2', 'children_more_on =  children_on - children_off', 'answer = children_more_on']",1
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46,"Olivia started with c0 dollars. She collected c1 more dollars from an atm, so she had c0 + c1 dollars. After visiting the supermarket, she had c2 dollars left, so she spent c0 + c1 - c2 dollars. 
money_spent = c0 + c1 - c2
She collected c1 dollars from the atm and spent c0 + c1 - c2 dollars, so she collected c1 - (c0 + c1 - c2) dollars more than she spent at the supermarket. 
money_collected = c1 - (c0 + c1 - c2)
The answer is money_collected.","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",46,"['money_spent =  c0 + c1 - c2', 'money_collected =  c1 - (c0 + c1 - c2)', 'answer = money_collected']",1
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3,"Jerry had some action figures on the shelf initially. Then he added c0 more, making a total of c1 action figures. So the initial number of action figures on the shelf was c1 - c0.
initial_action_figures = c1 - c0
The answer is initial_action_figures.","{'c0': 7.0, 'c1': 10.0}",3,"['initial_action_figures =  c1 - c0', 'answer = initial_action_figures']",1
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9,"Paco started with c0 cookies. He gave c1 cookies to his friend and ate c2 cookies. So he gave away c1 cookies and ate c2 cookies. 
cookies_given_away = c1
cookies_eaten = c2
The difference between the cookies he ate and the cookies he gave away is cookies_eaten - cookies_given_away. 
difference = cookies_eaten - cookies_given_away
The answer is difference.","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9,"['cookies_given_away =  c1', 'cookies_eaten =  c2', 'difference =  cookies_eaten - cookies_given_away', 'answer = difference']",1
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4,"The recipe calls for c1 cups of flour, but Mary has already put in c3 cups. So she needs to add c1 - c3 more cups of flour. 
flour_needed = c1 - c3
The answer is flour_needed.","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4,"['flour_needed =  c1 - c3', 'answer = flour_needed']",1
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21,"The waiter had some customers at the start. After c0 customers left, he had c1 customers remaining. So he must have had c0 + c1 customers at the start. 
initial_customers = c0 + c1
The answer is initial_customers.","{'c0': 9.0, 'c1': 12.0}",21,"['initial_customers =  c0 + c1', 'answer = initial_customers']",1
