,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"1. Start with the total number of pieces of candy they had: 

32 + 42 = 74 

2. Subtract the number of pieces they ate the first night: 

74 - 35 = 39 

Answer: They have 39 pieces of candy left.",,74.0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"1. Start with the total number of cats: 13 siamese cats + 5 house cats = 18 cats
2. During the sale, they sold 10 cats, so subtract 10 from the total: 18 - 10 = 8 cats
3. Therefore, they have 8 cats left.",,8.0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"Luke started with 0 games. 

He bought 2 games from a friend, so he now has 2 games. 

He bought 2 more games at a garage sale, so he now has 4 games. 

However, 2 of the games didn't work, so he had to subtract those from his total. 

4 games - 2 non-working games = 2 good games 

Therefore, Luke ended up with 2 good games.",,4.0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"First, we need to find the total number of apples ordered: 

42 (red) + 7 (green) = 49 apples 

Next, we need to figure out how many apples were actually used: 

9 students x 1 apple per student = 9 apples 

Now we can subtract the number of apples used from the total number ordered to find the extras: 

49 apples - 9 apples = 40 extra apples 

So the cafeteria ended up with 40 extra apples.",,42.0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"First, we add the number of tulips and roses that Lana picked: 

36 + 37 = 73 

So Lana picked a total of 73 flowers. 

Next, we subtract the number of flowers she used in the bouquets from the total number she picked: 

73 - 70 = 3 

Therefore, Lana picked 3 extra flowers.",,73.0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"First, we add the number of carrots Carol and her mom picked: 

29 + 16 = 45 

This means they picked a total of 45 carrots. 

Next, we subtract the number of good carrots from the total number of carrots: 

45 - 38 = 7 

Therefore, they had 7 bad carrots.",,45.0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 44 dollars.
3. He spent 25 dollars on a new game, so he now has 44 - 25 = 19 dollars.
4. Therefore, Roger now has 19 dollars.",,19.0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 2 pictures.
3. Therefore, Megan still had 2 pictures from her vacation after deleting 31 of them.",,2.0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"1. Rachel bought two coloring books: one with 23 pictures and one with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pictures Rachel still has to color = Total number of pictures - Pictures colored = 55 - 44 = 11
6. Therefore, Rachel still has 11 pictures to color.",,11.0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"Step 1: Add the number of short sleeve shirts and long sleeve shirts that Ned had to wash: 

9 + 21 = 30 

Step 2: Subtract the number of shirts that Ned washed from the total number of shirts he had to wash: 

30 - 29 = 1 

Therefore, Ned did not wash 1 shirt.",,1.0
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"Oliver had to wash a total of 39 + 47 = 86 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 86 - 20 = 66 shirts.
So, Oliver did not wash 66 shirts.",,66.0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"1. Wendy made 4 cupcakes and 29 cookies, so she made a total of 4 + 29 = 33 pastries.
2. After the sale, she had 24 pastries left, so she sold 33 - 24 = 9 pastries.
3. Therefore, Wendy sold 9 pastries at the school bake sale.",,9.0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,"Debby took a total of 24 + 12 = 36 pictures on her vacation.
After deleting 14 pictures, she had 36 - 14 = 22 pictures left. 
Therefore, Debby still had 22 pictures from her vacation.",,22.0
