,question,answer,response,tokens,logprobs,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0," Debby and her sister had a total of 32 + 42 = 74 pieces of candy. If they ate 35 pieces, they would have 74 - 35 = 39 pieces of candy left.","[' Deb', 'by', ' and', ' her', ' sister', ' had', ' a', ' total', ' of', ' 32', ' +', ' 42', ' =', ' 74', ' pieces', ' of', ' candy', '.', ' If', ' they', ' ate', ' 35', ' pieces', ',', ' they', ' would', ' have', ' 74', ' -', ' 35', ' =', ' 39', ' pieces', ' of', ' candy', ' left', '.']","[-0.72350156, -0.0002351206, -0.6602669999999999, -0.00025765571999999997, -2.462996e-05, -0.044853363, -0.31506428000000003, -0.30467057000000003, -0.00029950923999999996, -0.14765635, -0.3836694, -0.00011213571999999999, -0.00082647346, -0.00012667918, -0.0009527098, -0.001316832, -3.690939e-05, -0.025914053000000003, -0.35755539999999997, -9.997455000000001e-05, -0.0033711590000000003, -3.595572e-05, -0.22756557, -0.39430743, -0.272534, -0.10697048, -0.043780204, -0.032936346000000005, -0.00060142635, -8.176345e-06, -0.00026648093, -0.00064239843, -0.0042186156, -0.4964224, -1.8841804e-07, -0.025223814, -0.0014011078]",,39.0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0, The pet store had 13 siamese cats and 5 house cats. 13 + 5 = 18. They sold 10 cats. 18 - 10 = 8. The answer is 8.,"[' The', ' pet', ' store', ' had', ' 13', ' si', 'ames', 'e', ' cats', ' and', ' 5', ' house', ' cats', '.', ' 13', ' +', ' 5', ' =', ' 18', '.', ' They', ' sold', ' 10', ' cats', '.', ' 18', ' -', ' 10', ' =', ' 8', '.', ' The', ' answer', ' is', ' 8', '.']","[-1.0358243, -0.14457205, -0.0004970568, -0.5902738, -0.08604067600000001, -0.22287004, 0.0, -7.698572e-06, -0.003670593, -0.0047254944, -0.00020727927, -0.0004608624, -0.0014400261, -0.39298000000000005, -1.0085598, -0.054183222, -0.00018700723, -0.07362706000000001, -0.0006345250299999999, -0.24243197, -0.7353252, -0.0035676416, -0.00023380930000000002, -0.59235996, -0.7519986, -0.6968972999999999, -0.00224976, -0.00016614475999999999, -0.0011574305, -0.00029223656999999997, -0.05705483, -0.6230202300000001, -0.0030174665, -1.2708151000000002e-05, -0.00011595039499999999, -0.014796253]",,8.0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0, Luke started with 0 games. He bought 2 games from a friend and 2 more at a garage sale. So he had 2 + 2 = 4 games. But 2 of them didn't work. So he had 4 - 2 = 2 good games.,"[' Luke', ' started', ' with', ' 0', ' games', '.', ' He', ' bought', ' 2', ' games', ' from', ' a', ' friend', ' and', ' 2', ' more', ' at', ' a', ' garage', ' sale', '.', ' So', ' he', ' had', ' 2', ' +', ' 2', ' =', ' 4', ' games', '.', ' But', ' 2', ' of', ' them', ' didn', ""'t"", ' work', '.', ' So', ' he', ' had', ' 4', ' -', ' 2', ' =', ' 2', ' good', ' games', '.']","[-0.9503075999999999, -0.72251314, -0.053706, -0.3146278, -0.0015363101, -0.018455636, -0.40690795, -0.19136861, -0.00037004700000000003, -0.18668936, -0.38478008, -0.0158973, -0.00010808167999999999, -0.5258138, -0.2134923, -0.3900847, -0.5957030999999999, -0.05548028, -0.0005648639599999999, -0.00052055495, -0.033650234, -0.43031922, -0.14020000000000002, -0.5785607700000001, -0.14008646, -0.014396234, -5.79217e-06, -0.0003348673, -0.0013232768, -0.09474627000000001, -0.021189233000000002, -0.3485719, -0.02852424, -0.013207578000000001, -0.32384637, -0.4194767, -1.2622394999999999e-06, -6.661909399999999e-07, -0.597571, -0.005767357000000001, -0.051580817, -0.6030055999999999, -0.0029494904, -0.00038614578, -0.00011034851999999999, -0.0012232504, -0.00027017641999999996, -0.25457219999999997, -5.801027500000001e-05, -0.12508546]",,2.0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0," The school cafeteria ordered 42 red apples and 7 green apples. But if only 9 students wanted fruit, then the cafeteria would have 42 + 7 - 9 = 40 apples left. The answer is 40.","[' The', ' school', ' cafeteria', ' ordered', ' 42', ' red', ' apples', ' and', ' 7', ' green', ' apples', '.', ' But', ' if', ' only', ' 9', ' students', ' wanted', ' fruit', ',', ' then', ' the', ' cafeteria', ' would', ' have', ' 42', ' +', ' 7', ' -', ' 9', ' =', ' 40', ' apples', ' left', '.', ' The', ' answer', ' is', ' 40', '.']","[-0.9605967, -0.11271684600000001, -0.09366839, -0.11057499999999999, -0.15897185, -0.026476659000000003, -0.0002704148, -0.005219746, -0.0006740084000000001, -0.000118811404, -0.00010176362, -0.42041636, -0.9654027, -0.673163, -0.0132272085, -7.064452e-05, -0.0053832745, -0.0016475928, -0.124831386, -0.006855553, -0.28127589999999997, -0.24814649, -0.3101845, -0.08406445400000001, -0.051549993, -0.7061525, -0.0034416723000000003, -0.00022230238999999997, -0.00022576130999999998, -4.3941770000000005e-05, -0.050501157000000005, -0.001289676, -0.44335824, -0.40695889999999996, -0.08099048, -0.056389187, -7.219704e-05, -4.0246297000000006e-05, -0.00015410187, -0.028835347]",,40.0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0," Lana picked 36 tulips and 37 roses. In total, she picked 36 + 37 = 73 flowers. If she only used 70 of them, then she has 73 - 70 = 3 extra flowers. The answer is 3.","[' Lana', ' picked', ' 36', ' tul', 'ips', ' and', ' 37', ' roses', '.', ' In', ' total', ',', ' she', ' picked', ' 36', ' +', ' 37', ' =', ' 73', ' flowers', '.', ' If', ' she', ' only', ' used', ' 70', ' of', ' them', ',', ' then', ' she', ' has', ' 73', ' -', ' 70', ' =', ' 3', ' extra', ' flowers', '.', ' The', ' answer', ' is', ' 3', '.']","[-0.33088088, -0.40529139999999997, -0.34936693, -0.0016625172000000001, -1.1430257999999999e-06, -0.044578295000000004, -7.708367e-05, -8.984087000000001e-05, -0.5672016, -0.7150596, -0.00047123731999999997, -0.20348644, -0.0580566, -0.04849548, -0.24615338, -0.0029599548, -2.1768952000000003e-05, -0.0024097560000000003, -8.519080000000002e-05, -0.26939148, -0.006092756, -1.2017844, -0.042641703, -0.14533526, -0.0023811974, -3.1901687000000004e-05, -0.47768652, -0.37715393, -0.0031600045000000003, -0.76899034, -0.044465188, -0.6269443, -0.24734151000000001, -0.00053957955, -0.0009897592, -0.006147388, -0.000113566224, -0.008281834, -0.0058618425000000005, -0.0030969842, -0.5510027, -5.6223078e-05, -3.4089344e-06, -0.0009055181, -0.0016342769000000001]",,3.0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0, Carol and her mom picked 29 + 16 = 45 carrots. But only 38 of them were good. So 45 - 38 = 7 carrots were bad. The answer is 7.,"[' Carol', ' and', ' her', ' mom', ' picked', ' 29', ' +', ' 16', ' =', ' 45', ' carrots', '.', ' But', ' only', ' 38', ' of', ' them', ' were', ' good', '.', ' So', ' 45', ' -', ' 38', ' =', ' 7', ' carrots', ' were', ' bad', '.', ' The', ' answer', ' is', ' 7', '.']","[-0.20480211, -0.6954243999999999, -7.899194e-05, -0.0938748, -0.44685199999999997, -0.350169, -0.60211414, -0.00028627427, -0.0049907696, -1.0323977e-05, -0.0013416011, -0.32895654, -1.2396384, -0.018156234, -0.0009871329, -0.2427018, -0.08366018, -2.4152187000000003e-05, -0.0003751739, -0.14808038, -0.26614973000000003, -0.3003704, -4.6445148e-05, -3.9292627e-05, -0.032783035, -0.0006435914499999999, -0.7992245, -0.0024447055, -0.00044607394, -0.0029094412, -0.119813554, -6.039538500000001e-05, -3.4089344e-06, -6.3134365e-05, -0.0028766214]",,7.0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0, Roger had 16 dollars. He got 28 more dollars. So he has 16 + 28 = 44 dollars. But he spent 25 dollars on a new game. So he has 44 - 25 = 19 dollars. The answer is 19.,"[' Roger', ' had', ' 16', ' dollars', '.', ' He', ' got', ' 28', ' more', ' dollars', '.', ' So', ' he', ' has', ' 16', ' +', ' 28', ' =', ' 44', ' dollars', '.', ' But', ' he', ' spent', ' 25', ' dollars', ' on', ' a', ' new', ' game', '.', ' So', ' he', ' has', ' 44', ' -', ' 25', ' =', ' 19', ' dollars', '.', ' The', ' answer', ' is', ' 19', '.']","[-0.18127398, -0.20245484, -0.00707715, -0.0006135903, -0.17216924, -0.46983945, -0.006651163000000001, -0.026653128, -0.022380589000000003, -0.26279536, -1.0559384, -0.29305857, -0.115405, -0.63622844, -0.013645311, -0.012400876, -0.0005457812, -0.035706528, -0.0001283481, -0.043559413000000005, -0.07064639, -0.30887392, -0.09680815, -0.06812929, -0.0001941635, -0.49280053, -0.18052715, -0.044170048, -0.16153628, -2.1768952000000003e-05, -0.01933536, -0.007890661, -0.11218351, -0.01502585, -1.8907942e-05, -0.00091566215, -0.00014134373, -0.002317328, -0.0002866319, -0.015637213, -0.6996357400000001, -0.41205594, -2.141132e-05, -8.296486e-06, -0.0001492143, -0.078513846]",,19.0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0," Megan took 15 pictures at the zoo and 18 at the museum, so she took a total of 33 pictures. If she later deleted 31 of the pictures, she would have 2 pictures left.","[' Megan', ' took', ' 15', ' pictures', ' at', ' the', ' zoo', ' and', ' 18', ' at', ' the', ' museum', ',', ' so', ' she', ' took', ' a', ' total', ' of', ' 33', ' pictures', '.', ' If', ' she', ' later', ' deleted', ' 31', ' of', ' the', ' pictures', ',', ' she', ' would', ' have', ' 2', ' pictures', ' left', '.']","[-0.24260479000000001, -0.65835524, -0.13634425, -0.0013869624, -0.0019821030000000003, -4.5016520000000007e-05, -0.00081561797, -0.021616647000000003, -1.4259735500000002e-05, -0.17561823000000001, -2.4272329e-05, -8.042151000000002e-05, -0.6425323, -0.6281293, -0.008314232000000001, -0.6618298, -0.011937927000000001, -1.5687427000000002e-05, -0.00027935922999999997, -0.56755495, -0.00027518314999999997, -0.022411494, -0.4497351, -0.0017811551, -0.192912, -0.0008271887, -1.9263687e-05, -0.6927576999999999, -0.8896341999999999, -0.00023106656999999999, -2.6298881e-05, -0.038654603, -0.00138553, -0.49683663, -0.23863444, -0.005402388, -0.35331696, -0.055053454]",,2.0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. She would have 23 + 32 - 44 = 21 pictures left to color.,"[' Rachel', ' bought', ' two', ' coloring', ' books', '.', ' One', ' had', ' 23', ' pictures', ' and', ' the', ' other', ' had', ' 32', '.', ' After', ' one', ' week', ' she', ' had', ' already', ' colored', ' 44', ' of', ' the', ' pictures', '.', ' She', ' would', ' have', ' 23', ' +', ' 32', ' -', ' 44', ' =', ' 21', ' pictures', ' left', ' to', ' color', '.']","[-0.41408038, -0.48532176, -0.055776507, -0.0028548643, -0.00045322927, -0.11478406000000001, -0.23140118, -0.026198836000000003, -9.251094e-06, -5.6818186e-05, -0.014578804, -0.0008799249, -0.00011523514999999999, -0.00046002702, -5.5556293e-06, -0.06501327500000001, -1.2668749, -0.011696312, -6.873624e-05, -0.043220595, -0.0069085457, -0.05358217, -0.0045775236, -1.163433e-05, -0.025213672000000003, -0.0011185806, -3.6550830000000005e-05, -0.0040296046, -0.7471037500000001, -0.41081798, -0.02890032, -0.68852633, -0.01741213, -0.0026264891, -0.58705527, -3.8338017000000004e-05, -0.017636321, -0.10149162, -0.05308713, -0.020478819000000002, -0.18576255, -8.2927705e-05, -5.6818186e-05]",,21.0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. In total, that is 9 + 21 = 30 shirts. If he only washed 29 of them, then that means he did not wash 1 shirt. The answer is 1.","[' Ned', ' had', ' to', ' wash', ' 9', ' short', ' sleeve', ' shirts', ' and', ' 21', ' long', ' sleeve', ' shirts', '.', ' In', ' total', ',', ' that', ' is', ' 9', ' +', ' 21', ' =', ' 30', ' shirts', '.', ' If', ' he', ' only', ' washed', ' 29', ' of', ' them', ',', ' then', ' that', ' means', ' he', ' did', ' not', ' wash', ' 1', ' shirt', '.', ' The', ' answer', ' is', ' 1', '.']","[-0.13200767, -0.5337128999999999, -0.095979035, -0.0014111345, -0.1996078, -0.042240895, -0.006439195500000001, -0.015415891000000001, -0.02305813, -6.897560000000001e-05, -0.00034214277, -0.00021848676, -0.00014206085, -0.69811213, -0.5600727999999999, -0.0013213666, -0.035398766000000005, -0.4370576, -0.057068333000000006, -0.13300499999999998, -0.0020220587, -7.4639065e-06, -0.006342859, -0.0012837060000000001, -0.6079864500000001, -0.16269788000000002, -0.8030562, -0.27134369999999997, -0.37691167000000003, -0.020788167, -1.8073477000000003e-05, -0.58651453, -0.0020734875, -0.050054003, -0.48585683, -0.6730770500000001, -0.0135279745, -0.14003676, -0.15740278, -3.249586e-05, -0.0005185284499999999, -0.26590592, -0.32879463000000003, -0.00041745167, -0.12361709, -1.0920954000000002e-05, -3.5120327000000004e-05, -0.00016316361, -0.044944502000000004]",,1.0
