,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",[39.0],"A: mapping:{x: pieces of candy they have left}
Debby had 32 pieces of candy and her sister had 42. They ate 35 pieces the first night.
Eq1: x=32+42-35
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32+42-35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,[39.0]
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,[8.0],"A: mapping:{x: cats they have left}
The pet store had 13 siamese cats and 5 house cats, and sold 10 cats.
Eq1: x=13+5-10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,13+5-10)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,[8.0]
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",[2.0],"A: mapping:{x: good games Luke ended up with}
Luke bought 2 games from a friend and 2 more at a garage sale, so he had 4 games. 2 of them didn't work, so he was left with x good games.
Eq1: x=4-2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4-2)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,[2.0]
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",[40.0],"A: mapping:{x: extra apples the cafeteria ended up with}
The cafeteria ordered 42 red apples and 7 green apples, but only 9 students wanted fruit.
Eq1: x=(42+7)-9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(42+7)-9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,[40.0]
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",[3.0],"A: mapping:{x: extra flowers Lana picked}
Lana picked 36 tulips and 37 roses, but only used 70 flowers in total.
Eq1: 36+37-x=70
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(36+37-x,70)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,[3.0]
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",[7.0],"A: mapping:{x: bad carrots they have}
Carol picked 29 carrots and her mother picked 16. Only 38 of the carrots were good, so the rest must be bad.
Eq1: 29+16+ x = total number of carrots
total number of carrots - 38 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(29+16+x, 29+16+38)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1 bad carrot.",,[38.0]
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,[19.0],"A: mapping:{x: money Roger has now}
Roger had 16 dollars. He got 28 more dollars for his birthday but spent 25 on a new game.
Eq1: x=16+28-25
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,16+28-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,[19.0]
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",[2.0],"A: mapping:{x: pictures from her vacation she still have}
Megan took 15 pictures at the zoo and 18 at the museum. She deleted 31 pictures.
Eq1: x=15+18-31
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15+18-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,[2.0]
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,[11.0],"A: mapping:{x: pictures Rachel still has to color}
Rachel bought two coloring books, one with 23 pictures and the other with 32 pictures. She colored 44 pictures in total.
Eq1: x=23+32-44
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,23+32-44)
print(solve(Eq1,x))
We got 11 from sympy, so the answer is 11.",,[11.0]
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",[1.0],"A: mapping:{x: number of shirts Ned did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts, for a total of 30 shirts. He only washed 29 of them.
Eq1: x=30-29
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,30-29)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,[1.0]
