,question,answer,response,mapping,response_answer
0,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each packHow much do you have to pay to buy each pack?,[51.0],"A: mapping:{x: cost to buy each pack}
Each pack of dvds costs 76 dollars. There is a discount of 25 dollars on each pack. So the cost to buy each pack
is 76 - 25. 
Eq1: x=76-25  
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,76-25)
print(solve(Eq1,x))
We got 51 from sympy, so the answer is 51.",,[51.0]
1,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the startHow much did the candy bar cost?,[1.0],"A: mapping:{x: cost of the candy bar}
Dan had $4 at the start and $3 left after buying a candy bar. So the candy bar cost $4 - $3 = $1.
Eq1: 4 - x = 3
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4 - x, 3)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is $1.",,[1.0]
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.How many salty cookies did Paco have left?,[17.0],"A: mapping:{x: salty cookies Paco had left}
Paco started with 26 salty cookies. After eating 9, he had 26 - 9. 
Eq1: x=26-9  
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,26-9)
print(solve(Eq1,x))
We got 17 from sympy, so the answer is 17.",,[17.0]
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.How many children got off the bus at the bus stop?,[22.0],"A: mapping:{x: children got off the bus at the bus stop}
There were originally 43 children on the bus. After some got off, there were 21 left.
Eq1: 43-x=21
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(43-x,21)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is 22.",,[22.0]
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.How many more children got on the bus than those that got off?,[2.0],"A: mapping:{x: more children got on the bus than those that got off}
There were originally 28 children on the bus. Then 82 got on and some got off. So the total number of children
on the bus is 28 + 82 - (number that got off). This equals 30. 
Eq1: 28 + 82 - (number that got off) = 30
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(28 + 82 - x, 30)
print(solve(Eq1,x))
We got 80 from sympy, so the answer is 80.",,[80.0]
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,[46.0],"A: mapping:{x: more money collected at the atm than spent at the supermarket}
Olivia started with 3 dollars. She collected 49 more dollars from an atm. After visiting a supermarket, she had 49 dollars left. So she spent 3 + 49 - 49 dollars at the supermarket. The difference between what she collected at the atm and what she spent at the supermarket is the unknown x.
Eq1: x = 49 - (3 + 49 - 49)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x, 49 - (3 + 49 - 49))
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,[46.0]
6,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf nowHow many action figures did he have initially on the shelf?,[3.0],"Q: mapping:{x:initial number of action figures on the shelf}
Jerry had some action figures on the shelf. Then he added 7 more. So the total number of action figures on the shelf is the initial number plus 7. We know that the total number of action figures on the shelf now is 10. 
Eq1: x+7=10 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+7,10)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,[3.0]
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.How many more cookies did he eat than those he gave to his friend?,[9.0],"A: mapping:{x: more cookies Paco ate than those he gave to his friend}
Paco started with 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. So he ate 18 - 9 more cookies
than he gave to his friend.
Eq1: x=18-9  
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,18-9)
print(solve(Eq1,x))
We got 9 from sympy, so the answer is 9.",,[9.0]
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.How many more cups of flour does she need to add?,[4.0],"A: mapping:{x: more cups of flour Mary needs to add}
The recipe calls for 10 cups of flour. Mary already put in 6 cups, so she needs to add 10 - 6 cups more.
Eq1: x=10-6  
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,10-6)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is 4.",,[4.0]
9,A waiter had some customers. After 9 customers left he still had 12 customers.How many customers did he have at the start?,[21.0],"Q: A waiter had some customers. After 9 customers left he still had 12 customers. How many customers did he have at the start?
A: mapping:{x: customers the waiter had at the start}
The waiter had some customers at the start. After 9 customers left, he still had 12 customers. So he had x - 9 customers at the time when 9 customers left. 
Eq1: x-9=12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x-9,12)
print(solve(Eq1,x))
We got 21 from sympy, so the answer is 21.",,[21.0]
