,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"A: mapping:{x:pieces of candy they have left}
Debby had 32 pieces of candy and her sister had 42 pieces of candy. They ate 35 pieces of candy the first night.
Eq1: x = (32 + 42) - 35
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(32+42)-35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,39.0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"A: mapping:{x: number of cats left}
The pet store had 13 siamese cats and 5 house cats, so they had a total of 13+5=18 cats.
During the sale, they sold 10 cats, so they were left with:
Eq1: x = 18 - 10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,18-10)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8. Therefore, the pet store has 8 cats left.",,8.0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"A: mapping:{x: number of good games Luke ended up with}
Luke bought 2 games from a friend and 2 more at a garage sale, so he had 2+2=4 games.
If 2 of the games didn't work, he was left with 4-2=2 good games.
Eq1: x=2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"A: mapping:{x:extra apples}
Eq1: 42 red apples + 7 green apples - 9 students = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,42+7-9)
print(solve(Eq1,x))
We got 40 from sympy, so the cafeteria ended up with 40 extra apples.",,40.0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"A: mapping:{x:extra flowers Lana picked}
Lana picked 36 tulips and 37 roses, which is a total of 36+37=73 flowers.
She used 70 of the flowers, so the number of extra flowers she picked is:
Eq1: 73-70=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,73-70)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"A: mapping:{x: number of bad carrots}
Carol picked 29 carrots and her mother picked 16, so they picked a total of 29+16=45 carrots.
If only 38 of the carrots were good, then the number of bad carrots is 45-38.
Eq1: x=45-38
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,45-38)
print(solve(Eq1,x))
We got 7 from sympy, so the answer is 7.",,7.0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"A: mapping:{x:money Roger has now}
Roger had 16 dollars. He got 28 more dollars, so he had 16+28. He spent 25 dollars on a new game.
Eq1: x = (16+28) - 25
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(16+28)-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"A: mapping:{x:number of pictures Megan still has}
Megan took 15 pictures at the zoo and 18 at the museum, so she had 15+18=33 pictures.
If she deleted 31 pictures, then she still has:
Eq1: x=33-31
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,33-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"A: mapping:{x:number of pictures Rachel still has to color}
Rachel bought two coloring books, one with 23 pictures and the other with 32 pictures. She colored 44 pictures in total.
Eq1: x = 23 + 32 - 44
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,23+32-44)
print(solve(Eq1,x))
We got 11 from sympy, so the answer is 11.",,11.0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"A: mapping:{x:number of shirts not washed}
Ned had to wash 9 + 21 = 30 shirts in total.
He washed 29 shirts before school started.
Eq1: 30 - 29 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(30-29,x)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1. Ned did not wash 1 shirt.",,1.0
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"A: mapping:{x:number of shirts not washed}
Oliver had to wash 39 + 47 = 86 shirts in total.
He washed 20 shirts before school started.
Eq1: 86 - 20 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(86-20,x)
print(solve(Eq1,x))
We got 66 from sympy, so the answer is 66.",,66.0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"A: mapping:{x:number of pastries sold}
Wendy baked 4 cupcakes and 29 cookies. Let's represent the number of pastries sold as x.
Eq1: 4 + 29 - x = 24
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4+29-x,24)
print(solve(Eq1,x))
We got 9 from sympy, so Wendy sold 9 pastries.",,9.0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,"A: mapping:{x:total pictures after deleting}
Debby took 24 pictures at the zoo and 12 at the museum, so she had 24+12=36 pictures.
She deleted 14 pictures, so she had 36-14=x pictures left.
Eq1: x=36-14
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,36-14)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is 22.",,22.0
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0,"A: mapping:{x:extra flowers Katie picked}
Katie picked 3 tulips and 9 roses, which is a total of 3+9=12 flowers.
She only used 10 of the flowers, so she had 12-10=2 extra flowers.
Eq1: 12-10=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(12-10,x)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0,"A: mapping:{x:total homework problems}
Faye had 46 math problems and 9 science problems for homework, so the total homework problems is 46 + 9
Eq1: x = 46 + 9 - 40
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,46+9-40)
print(solve(Eq1,x))
We got 15 from sympy, so Faye had 15 problems to do for homework.",,15.0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0,"A: mapping:{x: number of files left on flash drive}
Amy had 4 music files and 21 video files on her flash drive. She deleted 23 files.
Eq1: x = 4 + 21 - 23
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x, 4 + 21 - 23)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0,"A: mapping:{x: number of good games Ned ended up with}
Ned bought 11 games from a friend and 22 more at a garage sale, so he had 11 + 22 = 33 games.
If 19 of the games didn't work, then he had 33 - 19 = 14 good games.
Eq1: x = 14
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,14)
print(solve(Eq1,x))
We got 14 from sympy, which confirms that Ned ended up with 14 good games.",,14.0
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0,"A: mapping:{x:total points at the end of the game}
Chloe scored 40 points in the first round and 50 points in the second round. She lost 4 points in the last round.
Eq1: x = 40 + 50 - 4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,40+50-4)
print(solve(Eq1,x))
We got 86 from sympy, so the answer is 86.",,86.0
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0,"A: mapping:{x: tickets Tom has left}
Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball', so he has 32 + 25 = 57 tickets.
He spent 7 tickets on a hat, so he has 57 - 7 = 50 tickets left.
Eq1: x = 57 - 7
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,57-7)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is 50.",,50.0
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0,"A: mapping:{x: number of bad carrots}
Bianca picked 26 carrots and her mother picked 15, so they picked a total of 26+15=41 carrots.
If only 16 of the carrots were good, then the remaining 41-16=25 carrots must be bad.
Eq1: 25=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,25)
print(solve(Eq1,x))
We got 25 from sympy, so the answer is 25 bad carrots.",,25.0
20, For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,4.0,"A: mapping:{x:number of pastries sold}
Katie baked 7 cupcakes and 5 cookies. She had 8 pastries left after the sale.
Eq1: 7 + 5 + x = x + 8
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(7 + 5 + x, x + 8)
print(solve(Eq1,x))
We got 4 from sympy, so Katie sold 4 pastries.",,4.0
21, Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,68.0,"A: mapping:{x:number of pictures Zoe still has to color}
Zoe bought two coloring books with 44 pictures each. She colored 20 pictures in one week.
Eq1: 2*44-20=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2*44-20)
print(solve(Eq1,x))
We got 68 from sympy, so the answer is 68.",,68.0
22," John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ",6.0,"A: mapping:{x: number of good games John ended up with}
John bought 21 games from a friend and 8 more at a garage sale, so he had 21+8=29 games.
23 of the games didn't work, so the number of good games he ended up with is:
Eq1: x = 29 - 23
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,29-23)
print(solve(Eq1,x))
We got 6 from sympy, so the answer is 6.",,6.0
23, Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,19.0,"A: mapping:{x:money Henry has now}
Henry had 11 dollars. He got 18 more dollars, so he had 11+18. He spent 10 dollars on a new game.
Eq1: x = (11+18)-10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,(11+18)-10)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0
24," While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ",55.0,"A: mapping:{x:total pictures after deleting}
Gwen took 41 pictures at the zoo and 29 at the museum, so she had a total of 41+29=70 pictures.
She deleted 15 pictures, so the total number of pictures she still had is:
Eq1: x = 70 - 15
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,70-15)
print(solve(Eq1,x))
We got 55 from sympy, so the answer is 55.",,55.0
25," Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",34.0,"A: mapping:{x:number of shirts not washed}
Sam had to wash a total of 40 + 23 = 63 shirts.
He washed 29 of them before school started.
Eq1: 63 - 29 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(63-29,x)
print(solve(Eq1,x))
We got 34 from sympy, so the answer is 34.",,34.0
26, A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,12.0,"A: mapping:{x:total number of cats left}
Eq1: x = 12 + 20 - 20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,12+20-20)
print(solve(Eq1,x))
We got 12 from sympy, so the answer is 12.",,12.0
27," Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ",16.0,"A: mapping:{x: number of bad carrots}
Faye picked 23 carrots and her mother picked 5, so they picked a total of 23+5=28 carrots.
If only 12 of the carrots were good, then the remaining 16 must be bad.
Eq1: 28-12=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,28-12)
print(solve(Eq1,x))
We got 16 from sympy, so the answer is 16 bad carrots.",,16.0
28," The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,"A: mapping:{x:extra apples}
Eq1: 43 + 32 - (2*2) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,43+32-(2*2))
print(solve(Eq1,x))
We got 71 from sympy, so the cafeteria ended up with 71 extra apples.",,71.0
29," There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17.0,"A: mapping:{x:number of students who didn't make the cut}
There were 39 girls and 4 boys trying out for the basketball team, so there were 39+4=43 students in total.
Eq1: 43-26=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,43-26)
print(solve(Eq1,x))
We got 17 from sympy, so the answer is 17.",,17.0
30, A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? ,18.0,"A: mapping:{x: number of cats left}
Eq1: 38+25-45=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,38+25-45)
print(solve(Eq1,x))
We got 18 from sympy, so the answer is 18.",,18.0
