,question,answer,median_answer,response_answer,response_answer_old,response_answer_new,mapping_old,response,response_answer_old,response_old,response_new
70," At the schools book fair Victor bought 32 adventure books and 37 mystery books. If 16 of the books were used, how many new books did he buy? ",53.0,53.0,,53.0,53.0,"{'c0': 32.0, 'c1': 37.0, 'c2': 16.0}","Victor bought 32 adventure books and 37 mystery books, so he bought a total of 32 + 37 = 69 books. If 16 of the books were used, then he has 69 - 16 = 53 books left. Therefore, he bought 53 - (32 + 37) = 53 - 69 = -16 new books. This doesn't make sense, so there may be an error in the problem.",53.0,"Solve the problem step by step:

1. Add the number of adventure books and the number of mystery books to calculate the total number of books bought. Let x be the total number of books,
x = c0 + c1

2. Subtract the number of used books from the total number of books to calculate the number of new books. 
answer = x - c2","Solve the problem step by step:

Information from question:

adventure_books = c0
mystery_books = c1
used_books = c2

1. Add the number of adventure books and the number of mystery books to calculate the total number of books. Let total_books be the total number of books,
total_books = adventure_books + mystery_books

2. Subtract the number of used books from the total number of books to calculate the number of new books. Let new_books be the number of new books,
new_books = total_books - used_books

answer = new_books"
102," Kaleb had 34 books. If he sold 17 of them and used the money he earned to buy 7 new books, how many books would Kaleb have? ",24.0,24.0,24.0,,,"{'c0': 34.0, 'c1': 17.0, 'c2': 7.0}","Kaleb started with 34 books. After selling 17, he had 34 - 17 = 17 books left. He used the money to buy 7 new books, so he now has 17 + 7 = 24 books. The answer is 24.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Kaleb has left. Let x be the number of books Kaleb has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Kaleb can buy. Let y be the number of new books Kaleb can buy,
y = (money earned from selling books) / c2

3. Add the number of books Kaleb has left and the number of new books he can buy to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Kaleb has left. Let books_left be the number of books Kaleb has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money Kaleb earned from selling his old books to calculate how much money he has left. Let money_left be the money Kaleb has left,
money_left = money_earned - total_cost

4. Divide the money Kaleb has left by the cost of each book to calculate how many new books he can buy. Let new_books_can_buy be the number of new books Kaleb can buy,
new_books_can_buy = money_left / cost_per_book

5. Add the number of books Kaleb has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books_can_buy

answer = total_books"
134," Adam had 33 books. If he sold 11 of them and used the money he earned to buy 23 new books, how many books would Adam have? ",45.0,45.0,45.0,,,"{'c0': 33.0, 'c1': 11.0, 'c2': 23.0}","Adam started with 33 books. After selling 11, he had 33 - 11 = 22 books left. He used the money to buy 23 new books, so he now has 22 + 23 = 45 books. The answer is 45.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let x be the number of books Adam has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Adam can buy. Let y be the number of new books Adam can buy,
y = total money earned / c2

3. Add the number of books Adam has left and the number of new books he bought to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let books_left be the number of books Adam has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money earned by selling the old books to calculate the amount of money Adam has left. Let money_left be the amount of money Adam has left,
money_left = money_earned - total_cost

4. Divide the amount of money Adam has left by the cost of each book to calculate the number of new books he can buy. Let new_books be the number of new books Adam can buy,
new_books = money_left / cost_per_book

5. Add the number of books Adam has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books

answer = total_books"
143," Edward had 43 books. If he sold 19 of them and used the money he earned to buy 14 new books, how many books would Edward have? ",38.0,38.0,38.0,,,"{'c0': 43.0, 'c1': 19.0, 'c2': 14.0}","Edward started with 43 books. After selling 19, he had 43 - 19 = 24 books left. He used the money to buy 14 new books, so he now has 24 + 14 = 38 books. The answer is 38.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Edward has left. Let x be the number of books Edward has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Edward can buy. Let y be the number of new books Edward can buy,
y = total money earned / c2

3. Add the number of books Edward has left and the number of new books he bought to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Edward has left. Let books_left be the number of books Edward has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money earned by selling the old books to calculate the amount of money Edward has left. Let money_left be the amount of money Edward has left,
money_left = money_earned - total_cost

4. Divide the amount of money Edward has left by the cost of each book to calculate the number of new books he can buy. Let new_books be the number of new books he can buy,
new_books = money_left / cost_per_book

5. Add the number of books Edward has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books

answer = total_books"
165," Tom had 5 books. If he sold 4 of them and used the money he earned to buy 38 new books, how many books would Tom have? ",39.0,39.0,39.0,,,"{'c0': 5.0, 'c1': 4.0, 'c2': 38.0}","Tom started with 5 books. He sold 4 of them, so he had 5 - 4 = 1 book left. He used the money he earned from selling the books to buy 38 new books, so he now has 1 + 38 = 39 books. The answer is 39.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Tom has left. Let x be the number of books Tom has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Tom can buy. Let y be the number of new books Tom can buy,
y = total money earned / c2

3. Add the number of books Tom has left and the number of new books he bought to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Tom has left. Let books_left be the number of books Tom has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money earned by selling the old books to calculate the amount of money Tom has left. Let money_left be the amount of money Tom has left,
money_left = money_earned - total_cost

4. Divide the amount of money Tom has left by the cost of each book to calculate the number of new books he can buy. Let new_books be the number of new books Tom can buy,
new_books = money_left / cost_per_book

5. Add the number of books Tom has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books

answer = total_books"
169, In fourth grade there were 8 students at the start of the year. During the year 5 students left and 8 new students came to school. How many students were in fourth grade at the end? ,11.0,11.0,5.0,11.0,11.0,"{'c0': 8.0, 'c1': 5.0, 'c2': 8.0}","There were originally 8 students. 5 left and 8 new students came, so the total change in students is 5 - 8 = -3. This means there are 3 fewer students than before. So the total number of students at the end of the year is 8 - 3 = 5. The answer is 5.",11.0,"Solve the problem step by step:

1. Subtract the number of students who left from the original number of students to calculate the number of students who remained. Let x be the number of students who remained,
x = c0 - c1

2. Add the number of new students who came to the school to the number of students who remained to calculate the answer.
answer = x + c2","Solve the problem step by step:

Information from question:

original_students = c0
students_left = c1
new_students = c2

1. Subtract the number of students who left from the original number of students to calculate the number of students who remained. Let remaining_students be the number of students who remained,
remaining_students = original_students - students_left

2. Add the number of new students who came to the remaining students to calculate the total number of students at the end.
total_students = remaining_students + new_students

answer = total_students"
174," Adam had 48 books. If he sold 19 of them and used the money he earned to buy 38 new books, how many books would Adam have? ",67.0,67.0,67.0,,,"{'c0': 48.0, 'c1': 19.0, 'c2': 38.0}","Adam started with 48 books. After selling 19, he had 48 - 19 = 29 books. He used the money to buy 38 new books, so he now has 29 + 38 = 67 books. The answer is 67.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let x be the number of books Adam has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books Adam can buy. Let y be the number of new books Adam can buy,
y = total money earned / c2

3. Add the number of books Adam has left and the number of new books he bought to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Adam has left. Let books_left be the number of books Adam has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money earned by selling the old books to calculate the amount of money Adam has left. Let money_left be the amount of money Adam has left,
money_left = money_earned - total_cost

4. Divide the amount of money Adam has left by the cost of each book to calculate the number of new books he can buy. Let new_books be the number of new books Adam can buy,
new_books = money_left / cost_per_book

5. Add the number of books Adam has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books

answer = total_books"
195," Roger had 25 books. If he sold 21 of them and used the money he earned to buy 30 new books, how many books would Roger have? ",34.0,34.0,34.0,,,"{'c0': 25.0, 'c1': 21.0, 'c2': 30.0}","Roger started with 25 books. He sold 21 of them, so he had 25 - 21 = 4 books left. He used the money he earned to buy 30 new books, so he now has 4 + 30 = 34 books. The answer is 34.",,"Solve the problem step by step:

1. Subtract the number of books sold from the original number of books to calculate the number of books Roger has left. Let x be the number of books he has left,
x = c0 - c1

2. Divide the total money earned from selling the books by the price of each new book to calculate the number of new books he can buy. Let y be the number of new books he can buy,
y = total money earned / c2

3. Add the number of books he has left and the number of new books he can buy to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

original_books = c0
books_sold = c1
new_books_bought = c2

1. Subtract the number of books sold from the original number of books to calculate the number of books Roger has left. Let books_left be the number of books Roger has left,
books_left = original_books - books_sold

2. Multiply the number of new books bought by the cost of each book to calculate the total cost of the new books. Let total_cost be the total cost of the new books,
total_cost = new_books_bought * cost_per_book

3. Subtract the total cost of the new books from the money earned by selling the old books to calculate the amount of money Roger has left. Let money_left be the amount of money Roger has left,
money_left = money_earned - total_cost

4. Divide the amount of money Roger has left by the cost of each book to calculate the number of new books he can buy. Let new_books be the number of new books he can buy,
new_books = money_left / cost_per_book

5. Add the number of books Roger has left and the number of new books he can buy to calculate the answer.
total_books = books_left + new_books

answer = total_books"
217," Luke was putting his spare change into piles. He had 5 piles of quarters and 5 piles of dimes. If each pile had 3 coins in it, how many coins did he have total? ",30.0,30.0,30.0,30.0,525.0,"{'c0': 5.0, 'c1': 5.0, 'c2': 3.0}","Luke had 5 piles of quarters with 3 coins in each pile, which is 5 x 3 = 15 quarters. He also had 5 piles of dimes with 3 coins in each pile, which is 5 x 3 = 15 dimes. In total, he had 15 + 15 = 30 coins. The answer is 30.",30.0,"Solve the problem step by step:

1. Multiply the number of quarters in each pile by the number of piles of quarters. Let x be the total number of quarters,
x = c0 * c2

2. Multiply the number of dimes in each pile by the number of piles of dimes. Let y be the total number of dimes,
y = c1 * c2

3. Add the total number of quarters and the total number of dimes to calculate the answer.
answer = x + y","Solve the problem step by step:

Information from question:

quarters_piles = c0
dimes_piles = c1
coins_per_pile = c2

1. Multiply the number of quarters piles by the number of coins per pile to calculate the total number of quarters. Let total_quarters be the total number of quarters,
total_quarters = quarters_piles * coins_per_pile * 25

2. Multiply the number of dimes piles by the number of coins per pile to calculate the total number of dimes. Let total_dimes be the total number of dimes,
total_dimes = dimes_piles * coins_per_pile * 10

3. Add the total number of quarters and the total number of dimes to calculate the total number of coins.
total_coins = total_quarters + total_dimes

answer = total_coins"
251," There were 2 friends playing a video game online when 2 more players joined the game. If each player had 3 lives, how many lives did they have total? ",12.0,12.0,18.0,12.0,12.0,"{'c0': 2.0, 'c1': 2.0, 'c2': 3.0}","There were originally 2 friends playing, so they had 2 x 3 = 6 lives. When 2 more players joined, there were a total of 4 players, so they had 4 x 3 = 12 lives. In total, they had 6 + 12 = 18 lives. The answer is 18.",12.0,"Solve the problem step by step:

1. Add the number of original players and the number of new players to calculate the total number of players. Let x be the total number of players,
x = c0 + c1

2. Multiply the number of lives each player has by the total number of players to calculate the total number of lives.
total lives = x * c2

3. Calculate the answer by substituting the value of x in the above equation.
answer = (c0 + c1) * c2","Solve the problem step by step:

Information from question:

original_players = c0
new_players = c1
lives_per_player = c2

1. Add the number of original players and the number of new players to calculate the total number of players. Let total_players be the total number of players,
total_players = original_players + new_players

2. Multiply the number of lives each player has by the total number of players to calculate the total number of lives. Let total_lives be the total number of lives,
total_lives = total_players * lives_per_player

answer = total_lives"
