,question,answer,response,mapping
0,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?Answer Choices: A)7, B)8, C)10, D)11, E)12",D, It will take Mr.Blue 10 days to complete the contract.,
1,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?Answer Choices: A)2% Profit, B)3% Profit, C)2% Loss, D)3% Loss, E)4% Loss",B," If the book was sold for Rs. 25.75, then the profit would have been 10% of Rs. 25.75, which is Rs. 2.575.
This is a 2% profit. The answer is c.",
2,"Printer A and Printer B can each print 1⁄2 page per second. How long will it take both printers working together to print 100 pages?Answer Choices: A)25 seconds, B)50 seconds, C)100 seconds, D)200 seconds, E)400 seconds",C, It will take both printers working together to print 100 pages in 100 seconds. The answer is c.,
3,"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:Answer Choices: A)15 kmph, B)6 kmph, C)12 kmph, D)14 kmph, E)6 kmph",E," The man's rate along the current would be the sum of his rate in still water and his rate against the current.
So the man's rate along the current would be 4 kmph + 2 kmph = 6 kmph. The answer is E.",
4,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?Answer Choices: A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D," S = 500 + 0.05x 
1500 = 500 + 0.05x 
1000 = 0.05x 
x = 20000 
The answer is D.",
5,"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?Answer Choices: A)1 hour and 31 minutes, B)2 hour and 31 minutes, C)3 hour and 31 minutes, D)4 hour and 31 minutes, E)5 hour and 31 minutes",A, The answer is C)3 hour and 31 minutes.,
6,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?Answer Choices: A)11, B)10, C)9, D)8, E)7",A," If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then there are a total of 9 balls in the box. The answer is C.",
7,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?Answer Choices: A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B, The probability that neither of the two events will occur is 1 - (0.56 + 0.74) = 1 - 1.3 = 0.37. The answer is C.,
8,"900 + 5 × 12 = ?Answer Choices: A)820, B)202, C)420, D)209, E)960",E, The answer is D)209.,
9,"Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?Answer Choices: A)22 hrs, B)18 hrs, C)16 hrs, D)20 hrs, E)13 hrs",E," If he had traveled by car in both ways, he would have taken 17 + 4 = 21 hours. The answer is A.",
10,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?Answer Choices: A)18, B)30, C)6, D)15, E)12",A," The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. The new length would be
30 * (3/5) = 18 cm. The answer is A.",
11,"If one third of 3/4 of a number is 21. Then, find the number?Answer Choices: A)84, B)66, C)28, D)19, E)11",A," If one third of 3/4 of a number is 21, then that number would be 3/4 * 3 * 21 = 189. The answer is A.",
12,"A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?Answer Choices: A)21%, B)20%, C)25%, D)33%, E)18%",C," If the shopkeeper wants to sell the items at the original price, he would have to increase the price by 25%. The answer is c.",
13,"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :Answer Choices: A)18, B)20, C)25, D)26, E)27",C," If the common difference is 3 months, then the next number in the sequence would be 7 + 3 = 10, and the
next would be 10 + 3 = 13, and so on. So the sequence would be 7, 10, 13, 16, 19, 22, 25, 28, 31, 34, 37, 40, 43,
46, 49, 52, 55, 58, 61, 64, 67, 70, 73, 76, 79, 82, 85, 88, 91, 94, 97, 100, 103, 106, 109, 112, 115, 118,
121, 124, 127, 130, 133, 136, 139, 142, 145, 148, 151, 154, 157, 160, 163, 166, 169, 172, 175, 178, 181,
184, 187, 190, 193, 196, 199, 202, 205, 208, 211, 214, 217, 220, 223, 226, 229, 232, 235, 238, 241, 244,
247, 250. There are 50 members in the club. The answer is C.",
14,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsAnswer Choices: A)750, B)700, C)620, D)600, E)None of these",C, The amount that Rahul will pay to clear the debt after 4 years is Rs. (500 * 1.06) + 500 = Rs. 1030. The answer is A.,
15,"A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make?Answer Choices: A)125, B)150, C)225, D)250, E)275",A, 20% profit on $1.25 is $0.25. So the grocery makes $0.25 profit on each bag of ice. So the total profit on 500 bags of ice would be $0.25 * 500 = $125. The answer is A.,
16,"I have a money pouch containing Rs. 700. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.
How many of each are there?Answer Choices: A)453, B)651, C)400, D)487, E)286",C," There are 25 paise coins, 50 paise coins and one rupee coins. There are equal number of 25 paise coins, 50 paise coins and one rupee coins.

Q: There are _____ days in a leap year.
Answer Choices: (a) 366 (b) 365 (c) 360 (d) 364 (e) None of these

A: There are 366 days in a leap year. The answer is a.",
17,"There are ten lime soda bottles on a table in a restaurant. They are to be served among two different groups of customers consisting of 5 members each. How many ways are there to create these 2 groups?Answer Choices: A)90, B)105, C)126, D)252, E)525",D, The answer is D) 252.,
18,"The nefarious bandit Hoopsmot decides to go in with his criminal partner Smolapon to purchase a number of senators. Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000. Their total allows them to influence 30 senators. How many senators of these can be considered Hoopsmot's?Answer Choices: A)18, B)20, C)22, D)24, E)26",D," If Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000, then the ratio of Hoopsmot's contribution to the total is 16,000/20,000 = 4/5. So the number of senators that can be considered Hoopsmot's is 4/5 * 30 = 24. The answer is D.",
19,"The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) isAnswer Choices: A)120 litres, B)1200 litres, C)12000 litres, D)120000 litres, E)None of these",D, The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) is 8 * 6 * 2.5 = 120 m3. The answer is A.,
20,"If 6x - y = 24 and y = 3x, what is the value of x?Answer Choices: A)8, B)9, C)10, D)11, E)12",A," If 6x - y = 24 and y = 3x, then 6x - 3x = 24. This simplifies to 3x = 24. So x = 8. The answer is a.",
21,"The ratio of the volumes of a cube to that of the sphere which will fit inside the cube is?Answer Choices: A)2: π, B)7:2, C)8:2, D)6: π, E)8:3",D, The ratio of the volumes of a cube to that of the sphere which will fit inside the cube is 8:3.,
22,"At its maximum speed, a space shuttle can travel 700m high in 40 seconds. It will also take 5 seconds to pass a point. What then is the length of the space shuttle?Answer Choices: A)50 m, B)75 m, C)100 m, D)125 m, E)150 m",C, The length of the space shuttle is 125 m.,
23,"A special cereal mixture contains rice, wheat and corn in the ratio of 2:3:5. If a bag of the mixture contains 3 pounds of rice, how much corn does it contain?Answer Choices: A)6.5, B)7.5, C)7, D)6, E)None of the above",B," The ratio of rice to wheat to corn is 2:3:5. So if there are 3 pounds of rice, then there are 3 * (3/2) = 4.5 pounds of wheat, and 3 * (5/2) = 7.5 pounds of corn. The answer is B.",
24,"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?Answer Choices: A)62, 35, B)62, 34, C)34, 62, D)42, 62, E)62, 42",B," Let x be the amount of money Arjun has and y be the amount of money Sajal has.

If Arjun gives $30 to Sajal, then y = x + 30 and 2(y - 30) = x.

If Sajal gives $10 to Arjun, then x = y + 10 and 3(x - 10) = y.

Solving these two equations, we get x = 62 and y = 34.

The answer is c.",
25,"What is the largest integral value of 'k' for which the quadratic equation x2 - 5x + k = 0 will have two real and distinct roots?Answer Choices: A)9, B)7, C)3, D)8, E)12",C," The discriminant of the equation is b2 - 4ac. For the equation to have two real and distinct roots, the
discriminant must be positive. So b2 - 4ac > 0. In this case, b2 - 4ac = 52 - 4(1)(k) = 25 - 4k. So 25 - 4k > 0,
which means 4k < 25. The largest value of k for which this is true is k = 6. The answer is c.",
26,"If 10 is subtracted from 2/3 of a number the result is equal to sum of 40 and 1/3 of the number. Find the numberAnswer Choices: A)100, B)160, C)150, D)210, E)220",C," Let the number be x. Then,

2/3x - 10 = 40 + 1/3x

This simplifies to

8/3x = 50

So x = 150. The answer is c.",
27,"Two cars start at the same time from opposite ends of a highway that is 50 miles long. One car is riding at 12 mph and the second car is riding at 13 mph. How long after they begin will they meet?Answer Choices: A) 1, B) 1.25, C) 1.50, D) 1.75, E) 2",E, The two cars will meet after 1.5 hours.,
28,"The sum of k consecutive integers is 51. If the least integer is -50, then k =Answer Choices: A)40, B)62, C)82, D)92, E)102",E," The sum of k consecutive integers is 51. If the least integer is -50, then k = 51 + (-50) = 1. The answer is A.",
