,question,answer,response,mapping
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?A)5(√3 + 1), B)6(√3 + √2), C)7(√3 – 1), D)8(√3 – 2), E)None of these",A," The car is moving in a straight line, so the rate of change of the angle of elevation is constant. Since it takes 10 minutes for the angle of elevation to change from 45° to 60°, it will take 5 more minutes for the angle of elevation to change from 60° to 75°. So the car will reach the base of the tower in 15 minutes. The answer is A.",
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?A)$61, B)$65, C)$67.40, D)$70, E)$78.20",E," Let x be the original price of the item. Then the discounted price is 0.78x. The customer pays $20 less than this, so
the total cost is 0.78x - 20. The customer pays $1.90 more than half the original price, so 0.78x - 20 > 0.5x + 1.90.
This simplifies to 0.28x > 21.90. So x > 78.21. The closest option is 78.20, so the answer is e.",
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?A)36, B)15, C)17, D)5, E)7",A, The answer is A)36.,
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B, The probability that neither of these two events will occur is 1 - (0.56 + 0.74) = 1 - 1.3 = 0.37. The answer is c.,
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?A)270, B)300, C)280, D)320, E)315",B, The cost price of the article is Rs.300.,
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?A)40, B)200, C)380, D)400, E)3200",D," If the percentage of black marbles pulled out the second time represents their percentage in the bag, then the bag
currently holds 400 marbles. The answer is D.",
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?A)74453, B)64543, C)74325, D)65000, E)97656",D," There are 26 choices for the first letter, 25 choices for the second letter, 10 choices for the first number, and 9
choices for the second number. So the total number of possibilities is 26 * 25 * 10 * 9 = 97656. All of the letters need
to be distinct, so the answer is e.",
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?A)10, B)11.5, C)12.5, D)13.5, E)15",C, The total journey duration would be 12.5 hours.,
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?A)27, B)81, C)90, D)99, E)110",E," If x is the number of students who did not attend the prom and y is the number of students who did not take part in the debating session, then we have the following two inequalities:

x + y ≤ 200

0.45x + 0.35y ≥ 0.45(200) + 0.35(200)

Solving these two inequalities, we get

x + y ≤ 200

3.5x + 7y ≥ 315

From the first inequality, we know that x + y ≤ 200. From the second inequality, we know that 3.5x + 7y ≥ 315. So

3.5x + 7y + x + y ≥ 315 + 200

4.5x + 8y ≥ 515

Since 4.5x + 8y is greater than or equal to 515, we know that 4.5x + 8y cannot be less than 515. So the maximum
number of students who could have neither attended the prom night nor the debating session is 200 - 515 = -315.
This is not a possible answer, so the correct answer must be E.",
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?A)15, B)24, C)25, D)40, E)52",D, The sales person must make at least 40 sales of $250 each to reach a salary of at least $1000. The answer is D.,
