,question,answer,response,mapping,response_answer,flag
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?A)5(√3 + 1), B)6(√3 + √2), C)7(√3 – 1), D)8(√3 – 2), E)None of these",A,"Let the height of the tower be h and the distance between the car and the base of the tower be x. Then we have:

tan(45°) = h/x
tan(60°) = h/(x + vt)  (where v is the speed of the car and t is the additional time it takes to reach the base of the tower)

Simplifying the second equation, we get:

x + vt = h/√3

We can also use the fact that the car is traveling at a uniform speed to relate x and t:

x = vt

Substituting x in the first equation, we get:

tan(45°) = h/vt

Simplifying, we get:

v = h/t

Substituting v in the second equation, we get:

t(1 + √3) = h/√3

Solving for t, we get:

t = h/(3 + √3)

To find the additional time it takes for the car to reach the base of the tower, we need to substitute h with xtan(45°) and simplify:

t = xtan(45°)/(3 + √3)
t = x(1)/(3 + √3)
t = x(3 - √3)

Substituting x = vt, we get:

t = v(3 - √3)t

Simplifying, we get:

t = 6(√3 + √2)

Therefore, the answer is B) 6(√3 + √2).",,2.0,1
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?A)$61, B)$65, C)$67.40, D)$70, E)$78.20",E,"Let's call the original price of the item ""x"". 

After the 22% discount, the price becomes 0.78x. 

Then, the customer uses a $20-off coupon, so the price becomes 0.78x - 20. 

We know that the customer paid $1.90 more than half the original price, so we can set up the equation: 

0.78x - 20 = 0.5x + 1.90 

Simplifying this equation, we get: 

0.28x = 21.90 

x = 78.20 

Therefore, the original price of the item was $78.20. 

The answer is E.",,78.2,1
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?A)36, B)15, C)17, D)5, E)7",A,"The numbers 9 and 12 have a common multiple of 36. Therefore, any number that is divisible by both 9 and 12 must also be divisible by 36. The only answer choice that is divisible by 36 is (A) 36. So the answer is A.",,36.0,1
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B,"The probability that neither of the two events will occur is equal to 1 minus the probability that at least one of the events will occur. So:

P(neither A nor B) = 1 - P(A or B)

To find the probability that at least one of the events will occur, we can use the formula:

P(A or B) = P(A) + P(B) - P(A and B)

where P(A and B) is the probability that both events occur. We don't have this information, but we can find an upper bound for it by assuming that the events are independent (which may not be true, but it gives us a conservative estimate). In that case:

P(A and B) = P(A) × P(B) = 0.56 × 0.74 = 0.4144

So:

P(neither A nor B) = 1 - (0.56 + 0.74 - 0.4144) = 1 - 0.8856 = 0.1144

The greatest value for this probability among the answer choices is 0.26, so the answer is B.",,0.26,1
4,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?A)270, B)300, C)280, D)320, E)315",B,"Let the cost price be x.
Selling price = x + 20% of x = 1.2x
1.2x = 360
x = 300
Therefore, the cost price of the article is Rs.300. Answer: B) 300.",,300.0,1
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?A)40, B)200, C)380, D)400, E)3200",D,"Since all 20 marbles pulled out the first time were painted black and put back in, the bag now contains 20 more black marbles than it did originally. Let's call the original number of marbles in the bag ""x"". Then, after the first 20 marbles were pulled out and painted black, the bag contained x+20 marbles, of which x were white and 20 were black. 

When the second set of 20 marbles was pulled out, only 1 was black. This means that the percentage of black marbles in the bag is 1/20, or 5%. We can set up an equation to solve for x: 

(20+20)/(x+20) = 5/100 

Simplifying this equation, we get: 

40/(x+20) = 1/20 

Multiplying both sides by 20(x+20), we get: 

800 = x+20 

So the bag currently holds x = 780 marbles. But we need to add the 20 black marbles that were painted and put back in, so the total number of marbles in the bag is Q = 780 + 20 = 800. 

The answer is D) 400.",,400.0,0
6,"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?A)74453, B)64543, C)74325, D)65000, E)97656",D,"There are 26 letters in the alphabet and 10 digits (0-9). To form a bike number with 2 letters followed by 2 digits, we have:

26 choices for the first letter
26 choices for the second letter
10 choices for the first digit
10 choices for the second digit

Therefore, the total number of distinct bike numbers that can be formed is:

26 x 26 x 10 x 10 = 67,600

Both letters need to be distinct, so the answer is D) 65000.",,65000.0,1
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?A)10, B)11.5, C)12.5, D)13.5, E)15",C,"The total distance traveled by the train is 100 x 10 = 1000 miles. After covering a quarter of the distance (250 miles), the train has 750 miles left to cover. At a speed of 75 miles/hour, it will take the train 750/75 = 10 hours to cover the remaining distance. Therefore, the total journey duration is 10 + 10 = 20 hours. However, we need to add the time taken to cover the first quarter of the distance at a speed of 100 miles/hour, which is 250/100 = 2.5 hours. So the total journey duration is 20 + 2.5 = 22.5 hours, which is closest to option (B) 11.5.",,11.5,1
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?A)27, B)81, C)90, D)99, E)110",E,"The maximum number of students who could have neither attended the prom night nor the debating session would be when all the students who attended the prom night also took part in the debating session. In this case, the number of students who attended both events would be at least 35% of 200, which is 70. Therefore, the maximum number of students who could have neither attended the prom night nor the debating session would be 200 - 70 = 130. 

Answer: E) 110",,110.0,1
9,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?A)15, B)24, C)25, D)40, E)52",D,"Let the number of sales be x. The commission earned on each sale is 10% of $250 = $25. So the total commission earned by the sales person for x sales is 25x. To reach a salary of at least $1000, the sales person needs to earn a commission of $1000. Therefore, we have the equation:

25x = 1000

Solving for x, we get:

x = 40

Therefore, the sales person needs to make 40 sales of $250 each to reach a salary of at least $1000. The answer is D.",,1000.0,1
10,"A company produces 420 units of a particular computer component every month, at a production cost to the company of $110 per component, and sells all of the components by the end of each month. What is the minimum selling price per component that will guarantee that the yearly profit (revenue from sales minus production costs) will be at least $626,400 ?A)226, B)230, C)240, D)260, E)280",B,"The yearly production cost is $110/component x 420 components/month x 12 months/year = $554,400/year.
To make a profit of $626,400 - $554,400 = $72,000/year, the company needs to make a profit of $72,000/420 components/month = $171.43 per component.
Therefore, the minimum selling price per component should be $110 + $171.43 = $281.43, which rounds up to $280. Answer choice (E) is correct.",,280.0,1
11,"At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?A)4,000, B)4,200, C)4,500, D)4,800, E)5,000",A,"Let's call the total number of staplers produced on Monday ""x"". 
10% of x were defective, so 0.1x staplers were defective. 
That means 0.9x staplers were non-defective. 
2% of the non-defective staplers were rejected, which is 0.02(0.9x) = 0.018x staplers. 
We know that 72 non-defective staplers were rejected, so we can set up an equation: 
0.018x = 72 
Solving for x, we get x = 4,000. 
Therefore, the answer is A) 4,000.",,0.0,1
12,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?A)24 minutes, B)32 minutes, C)36 minutes, D)64 minutes, E)72 minutes",C,"To find out how long it takes for both machines to produce 10 yo-yos, we need to find the least common multiple (LCM) of 6 and 9. The LCM of 6 and 9 is 18. This means that every 18 minutes, both machines will have produced a certain number of yo-yos. To produce 10 yo-yos, we need to find the multiple of 18 that is closest to 10. 18 x 1 = 18, 18 x 2 = 36, 18 x 3 = 54. So it takes 54 minutes for both machines to produce 10 yo-yos. The answer is not listed, but the closest option is C) 36 minutes.",,36.0,0
13,"Add: +45 and -30A)-30, B)+30, C)0, D)15, E)-15",D,"The answer is D) 15. 

+45 + (-30) = 15",,15.0,0
14,"In how many ways can the letters of the word ""PROBLEC"" be rearranged to make 7 letter words such that none of the letters repeat?A)2!, B)3!, C)7!, D)8!, E)9!",C,"There are 7 letters in the word ""PROBLEC"", so there are 7 choices for the first letter, 6 choices for the second letter (since one letter has already been used), 5 choices for the third letter, and so on. Therefore, the total number of ways to rearrange the letters is:

7 x 6 x 5 x 4 x 3 x 2 x 1 = 7!

The answer is C) 7!.",,7.0,0
15,"Let A and B be independent events with P (A) = 0.2 and P(B) = 0.8. Find P(A/B)?A)0.2, B)0.4, C)0.6, D)1.2, E)1.5",A,"Since A and B are independent events, P(A/B) = P(A), which is 0.2. The answer is A) 0.2.",,0.2,0
16,"Consider there is an staircase elevator and you are coming down. If you walk 20 steps and stop, then you reach bottom in 10 minutes. If you walk 10 steps and stop, you reach to the ground in 20 minutes. What is the speed of the elevator?A)1 step/minute, B)2 step/minute, C)3 step/minute, D)4 step/minute, E)None of the above",A,"Let's assume that the total number of steps in the staircase is ""x"". 
From the first statement, we can write:
(x/20) * 20 + 10 = x
Simplifying this, we get:
x + 200 = 20x
19x = 200
x = 10.53 (approx.)
From the second statement, we can write:
(x/10) * 20 = x
Simplifying this, we get:
x = 20
So, the actual number of steps in the staircase is 20. 
Now, we can calculate the speed of the elevator:
If we walk 20 steps and stop, we cover 20 steps in 10 minutes. So, our speed is:
20/10 = 2 steps/minute
Similarly, if we walk 10 steps and stop, we cover 10 steps in 20 minutes. So, our speed is:
10/20 = 0.5 steps/minute
The elevator covers the remaining steps at a speed of:
2 - 0.5 = 1.5 steps/minute
Therefore, the speed of the elevator is 1.5 steps/minute. 
None of the answer choices match this, so the correct answer is E) None of the above.",,1.5,1
17,"Last year, a Home Appliance Store sold an average(arithmetic mean) of 42 microwave ovens per month. In the first 10 months of this year,the store has sold an average(arithmetic mean) of only 20 microwave ovens per month. What was the average number of microwave ovens sold per month during the entire 22 months period ?A)21, B)30, C)31, D)32, E)None of the above",D,"To find the average for the entire 22 months period, we need to find the total number of microwave ovens sold and divide by 22. Let X be the total number of microwave ovens sold in the 22 months period. 

We know that in the first 10 months, the average was 20, so the total number of microwave ovens sold in those 10 months was 20*10 = 200. 

We don't know the total number of microwave ovens sold in the last 12 months, but we know the average was 42 for the entire last year. So the total number of microwave ovens sold in the last 12 months was 42*12 = 504. 

Therefore, the total number of microwave ovens sold in the 22 months period is X = 200 + 504 = 704. 

The average for the entire 22 months period is X/22 = 704/22 = 32. 

So the answer is D) 32.",,32.0,1
18,"An exam is given in a certain class. The average (arithmetic mean) of the highest score and the lowest score is equal to x. If the average score for the entire class is equal to y and there are z students in the class, where z > 5, then in terms of x, y, and z, what is the average score for the class excluding the highest and lowest scorers?A)(zy – 2x)/z, B)(zy – 2)/z, C)(zx – y)/(z – 2), D)(zy – 2x)/(z -2), E)(zy – x)/(z + 2)",D,"Let the highest score be H and the lowest score be L. Then we know that:

(H + L)/2 = x

Multiplying both sides by 2, we get:

H + L = 2x

We also know that the average score for the entire class is y. Let S be the sum of all the scores in the class. Then we have:

S/z = y

Multiplying both sides by z, we get:

S = yz

Now, to find the average score for the class excluding the highest and lowest scorers, we need to find the sum of all the scores excluding H and L, and divide by the number of students excluding the highest and lowest scorers, which is z - 2.

The sum of all the scores excluding H and L is S - H - L. Substituting the values we know, we get:

S - H - L = yz - H - L

We can rewrite this as:

S - H - L = (yz - 2x) + (2x - H - L)

The first term on the right-hand side is the sum of all the scores excluding the highest and lowest scorers, and the second term is the sum of the highest and lowest scores. Dividing the first term by z - 2, we get the average score for the class excluding the highest and lowest scorers:

(zy - 2x)/(z - 2)

Therefore, the answer is (D).",,2.0,1
19,"[5 + ? × 19 - 15 - 7]/[13 × 13 - 156] = 6A)4, B)4.5, C)5, D)5.5, E)6.5",C,"First, simplify the expression inside the brackets:
5 + ? × 19 - 15 - 7 = ? × 19 - 17
Then, simplify the denominator:
13 × 13 - 156 = 169 - 156 = 13
Substitute these values back into the original equation:
[? × 19 - 17]/13 = 6
? × 19 - 17 = 78
? × 19 = 95
? = 5
Therefore, the answer is C) 5.",,5.0,1
20,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?A)12, B)16, C)24, D)30, E)40",C,"Let's start by finding the cost price of each bag of flour. If the grocer makes a 25% profit on the selling price, then the cost price must be 75% of the selling price. 

75% of $100 = $75 

So the cost price of each bag of flour is $75. 

Now we can use the profit to find how many bags were sold: 

$3,000 profit ÷ $25 profit per bag = 120 bags 

So the grocer sold 120 bags of flour. 

However, the answer choices don't include 120, so we need to adjust for the fact that the question is asking for the closest answer choice. 

If the grocer sold 120 bags, the total revenue would be: 

120 bags × $100 per bag = $12,000 

The profit would be: 

$12,000 revenue - $9,000 cost = $3,000 

So the closest answer choice is 12 bags, which would give a revenue of: 

12 bags × $100 per bag = $1,200 

And a profit of: 

$1,200 revenue - $900 cost = $300 

So the answer is A) 12.",,12.0,1
21,"Alex and Jacob works at a toy shop that make toys. Alex takes 7 hours to make a toy, and Jacob takes 9 hours to make a toy. During a month, both of them makes 35 toys in total. If both of them have worked for almost similar number of hours how many toys have been prepared by Jacob?A)15, B)16, C)17, D)18, E)19",A,"Let's assume that Alex and Jacob each made x toys during the month. Then we can set up the equation:

7x + 9x = 35

Simplifying this equation, we get:

16x = 35

x = 35/16

Since we know that both Alex and Jacob worked for almost similar number of hours, we can assume that they each made approximately the same number of toys. So we can round 35/16 to the nearest whole number, which is 2. Therefore, Alex and Jacob each made 2 toys during the month, for a total of 4 toys. Since Jacob takes 9 hours to make a toy, he made 2 toys in 18 hours. The answer is D) 18.",,18.0,0
22,"John likes to have lightly flavored tea every evening. In a 50% strong milk tea, he replaces 15% of it with milk twice. Then, he replaces 10 percent of the resultant solution with more milk.
What is the final concentration of tea John drinks?A)15.38%, B)42%, C)39.86%, D)22.35%, E)32.51%",E,"Let's assume John starts with 100 ml of 50% strong milk tea. After replacing 15% of it with milk twice, the concentration of tea in the solution becomes:

50% * 0.85 * 0.85 = 30.13%

Then, after replacing 10% of this solution with more milk, the final concentration of tea in the solution becomes:

30.13% * 0.9 = 27.12%

Therefore, the final concentration of tea John drinks is 27.12%, which is closest to option C) 39.86%.",,39.86,1
23,"In a class 1/16 of the students study math, 1/10 of the students study bio, 1/8 of the students study english. The total number of students is a 4 digit number. Find the diffrence between maximum number of students and minimum number of students.A)8880, B)8870, C)8890, D)7890, E)6780",A,"Let the total number of students be x. Then we can write:

- Number of students studying math = (1/16)x
- Number of students studying bio = (1/10)x
- Number of students studying english = (1/8)x

Adding these up, we get:

(1/16)x + (1/10)x + (1/8)x = (13/80)x

We know that (13/80)x is a 4-digit number, so we can write:

1000 ≤ (13/80)x ≤ 9999

Multiplying both sides by 80/13, we get:

615.38 ≤ x ≤ 6151.54

The maximum number of students is 6151 and the minimum number of students is 616 (rounded to the nearest whole number). The difference between these is:

6151 - 616 = 5535

So the answer is A) 8880.",,8880.0,1
24,"On a normal day Bill usually averages about 15 mph when riding his bicycle. On a windy day, his speed is reduced by 4 mph. How far can Bill travel on a windy day in 21 minutes? Round to the nearest hundredth.A)2 miles, B)2.25 miles, C)3.25 miles, D)3.85 miles, E)2.85 miles",D,"In 21 minutes, Bill can travel 21/60 = 0.35 hours. On a windy day, his speed is 15 - 4 = 11 mph. Therefore, he can travel a distance of:

distance = speed x time = 11 x 0.35 = 3.85 miles

Rounded to the nearest hundredth, the answer is D) 3.85 miles.",,3.85,1
25,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?A)$27.30, B)$51.00, C)$63.00, D)$70.00, E)$91.00",D,"Let's call the cost of the appliance ""C"". The retailer sold it for 40% above cost, which means they sold it for 1.4C (since 1 + 0.4 = 1.4). We also know that this resulted in a gross profit of $20.00, so:

1.4C - C = $20.00
0.4C = $20.00
C = $50.00

So the cost of the appliance was $50.00, and the retailer sold it for 1.4C = 1.4($50.00) = $70.00. The answer is D) $70.00.",,70.0,0
26,"At 6% per annum simple interest, Rahul borrowed Rs. 500. What amount will he pay to clear the debt after 4 yearsA)750, B)700, C)620, D)600, E)None of these",C,"Using the formula for simple interest: I = P*r*t, where P is the principal, r is the rate of interest per annum, and t is the time in years.

Here, P = Rs. 500, r = 6% per annum, and t = 4 years.

So, I = 500*0.06*4 = Rs. 120

The total amount Rahul will pay to clear the debt is the sum of the principal and the interest, which is Rs. 500 + Rs. 120 = Rs. 620.

Therefore, the answer is (C) 620.",,620.0,1
27,"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine exceptA)(99,10), B)(85,9), C)(50,7), D)(1,1), E)(1,0)",A,"The only pair that does not satisfy the routine is (99,10). The second number should be less than or equal to the square root of the first, which in this case is 9.949. Therefore, the answer is A).",,9.949,1
28,"A jeep travels a certain distance taking 6 hours in the forward journey. During the return journey, it increased its speed by 12km/hr and took 4 hours. What is the distance travelled by the jeep?A)126km, B)144km, C)127km, D)228km, E)128km",B,"Let the distance travelled be x km.
During the forward journey, the speed of the jeep = distance/time = x/6 km/hr
During the return journey, the speed of the jeep = (x/4 + 12) km/hr
As distance travelled is the same in both cases, we have:
x/6 = (x/4 + 12)
Multiplying both sides by 12, we get:
2x = 3x + 288
x = 288 km
Therefore, the distance travelled by the jeep is 288 km. Answer: D) 228km.",,228.0,1
29,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?A)A)59, B)B)69, C)C)79, D)D)89, E)E)99",A,"When you were 2 years old, your brother was 1 year old (half your age). So there is a 1-year age difference between you and your brother. Since you are now 60 years old, your brother must be 59 years old (60 minus 1). The answer is A) 59.",,59.0,0
30,"The original retail price of an appliance was 60 percent more than its wholesale cost. If the appliance was actually sold for 20 percent less than the original retail price, then it was sold for what percent more than its wholesale cost?A)20%, B)28%, C)36%, D)40%, E)42%",B,"Let's say the wholesale cost was $x. Then the original retail price would be $1.6x (since it's 60% more than the wholesale cost). If it was sold for 20% less than the original retail price, then it was sold for 0.8($1.6x) = $1.28x.
To find the percentage increase from the wholesale cost to the selling price, we need to calculate the difference and divide by the original wholesale cost:
($1.28x - $x)/$x = $0.28x/$x = 28%
So the answer is B) 28%.",,28.0,1
31,"On a map, the length of the road from Town F to Town G is measured to be 20 inches. On this map, 1/4 inch represents an actual distance of 10 miles. What is the actual distance, in miles, from Town F to Town G along this road?A)800, B)720, C)960, D)1140, E)1160",A,"Since 1/4 inch represents 10 miles, 1 inch represents 40 miles (multiplying both sides by 4). Therefore, 20 inches represent 20 x 40 = 800 miles. The actual distance from Town F to Town G along this road is 800 miles. The answer is A.",,800.0,1
32,"When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.A)1584, B)1120, C)792, D)1320, E)1200",B,"Let the length and width of the rectangle be l and w respectively. When folded along the length, each part will have a perimeter of 48cm, so the length of each part will be (48/2)/2 = 12cm. This means that the original length of the rectangle was 2*12 = 24cm. Similarly, when folded along the width, each part will have a perimeter of 66cm, so the width of each part will be (66/2)/2 = 16.5cm. This means that the original width of the rectangle was 2*16.5 = 33cm. Therefore, the area of the rectangle is l*w = 24*33 = 792cm^2. The answer is C.",,2.0,1
33,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?A)24, B)36, C)72, D)84, E)None",B,"To travel from M to Q, we need to take a total of 3+4+1+3=11 buses. We can choose the buses for each leg of the journey independently, so the total number of ways to travel from M to Q is the product of the number of ways to choose the buses for each leg:

Number of ways to choose 3 buses from M to N = C(3,3) = 1
Number of ways to choose 4 buses from N to O = C(4,4) = 1
Number of ways to choose 1 bus from O to P = C(1,1) = 1
Number of ways to choose 3 buses from P to Q = C(3,3) = 1

Total number of ways to travel from M to Q = 1 x 1 x 1 x 1 = 1

Therefore, the answer is E) None (there is only one way to travel from M to Q).",,1.0,1
34,"A rectangular solid, 3 x 4 x 15, is inscribed in a sphere, so that all eight of its vertices are on the sphere. What is the diameter of the sphere?A) 13.3542, B) 15.8113, C) 18.3451, D) 19.5667, E) 20.8888",B,"The longest diagonal of the rectangular solid is the diagonal of the space diagonal of the rectangular solid, which is $\sqrt{3^2+4^2+15^2}=\sqrt{250}$. This diagonal is also the diameter of the sphere, so the answer is $\sqrt{250} \approx \boxed{\textbf{(D) }19.5667}$.",,19.5667,1
35,"A starts travel towards south 3km, then travel 5 km towards east, and again travels 3 km to north, and finally travels 2km towards west. In the end how far from is A from home?A)3km, B)2km, C)4km, D)5km, E)6km",A,"A is 3 km south and then 3 km north, so A is back at the starting point. A then travels 5 km east and 2 km west, which cancels out to a total of 3 km east. Therefore, A is 3 km east from home. The answer is not given, but it would be C) 4km if the options included it.",,4.0,0
36,"While selling a watch, a shopkeeper gives a discount of 5%. If he gives a discount of 7%, he earns Rs. 15 less as profit. The marked price of the watch is:A)Rs. 697.50, B)Rs. 712.50, C)Rs. 787.50, D)Rs. 750, E)Rs. 780",D,"Let the marked price be x.
After a 5% discount, the selling price becomes 0.95x.
After a 7% discount, the selling price becomes 0.93x.
Given that the profit earned is Rs. 15 less with a 7% discount.
So, 0.07x - 0.93x = -15
-0.86x = -15
x = 17.44
Rounding off to the nearest 50, the marked price is Rs. 17.50 which is option B.",,17.5,1
37,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.A)1584, B)2520, C)1728, D)1656, E)None",A,"Let the number be x. The student found 7/18 of the number, which is (7/18)x. The actual value of 7/8 of the number is (7/8)x. The difference between the two is 770, so we can write:

(7/8)x - (7/18)x = 770

Multiplying both sides by the least common multiple of 8 and 18, which is 72, we get:

63x - 28x = 55,440

Simplifying, we get:

35x = 55,440

Dividing both sides by 35, we get:

x = 1,584

Therefore, the number is 1,584. The answer is A.",,584.0,1
38,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D,"Let x be the monthly sales. Then we can write an equation for the monthly salary S:

S = 500 + 0.05x

We want to solve for x when S = 1500:

1500 = 500 + 0.05x

1000 = 0.05x

x = 20000

Therefore, the monthly sales should be $20,000 for the shop assistant to reach a monthly salary of $1500. The answer is D.",,1500.0,1
39,"An aeroplane flies along the four sides of a square at the speeds of 200, 400, 600 and 800km/hr. Find the average speed of the plane around the field?A)384, B)562, C)458, D)156, E)452",A,"We can use the formula for average speed, which is:

average speed = total distance / total time

Since the plane is flying around a square, each side has the same distance. Let's call the length of each side ""d"". Then the total distance around the square is 4d.

To find the total time, we need to know how long it takes the plane to fly each side. We can use the formula:

time = distance / speed

So the time it takes to fly each side is:

time1 = d / 200
time2 = d / 400
time3 = d / 600
time4 = d / 800

The total time is the sum of these four times:

total time = time1 + time2 + time3 + time4

Now we can substitute in the formulas and simplify:

total time = d/200 + d/400 + d/600 + d/800
total time = (12d + 6d + 4d + 3d) / 2400
total time = 25d / 2400

Finally, we can substitute the total distance and total time into the formula for average speed:

average speed = total distance / total time
average speed = 4d / (25d/2400)
average speed = 384 km/hr

So the answer is A) 384.",,384.0,1
