,question,answer,response,tokens,logprobs,mapping,response_answer,equations,,,,,,,,,,
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39," Debby and her sister had c0 + c1 pieces of candy in total. 
total_candy = c0 + c1

If they ate c2 pieces the first night, they would have total_candy - c2 pieces left. 
candy_left = total_candy - c2

The answer is candy_left.","[' Deb', 'by', ' and', ' her', ' sister', ' had', ' c', '0', ' +', ' c', '1', ' pieces', ' of', ' candy', ' in', ' total', '.', ' ', '\n', 'total', '_', 'c', 'andy', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' they', ' ate', ' c', '2', ' pieces', ' the', ' first', ' night', ',', ' they', ' would', ' have', ' total', '_', 'c', 'andy', ' -', ' c', '2', ' pieces', ' left', '.', ' ', '\n', 'c', 'andy', '_', 'left', ' =', ' total', '_', 'c', 'andy', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' candy', '_', 'left', '.']","[-0.748027, -0.0006780653, -0.45291874, -0.005782885000000001, -8.892534e-06, -0.17247089999999998, -0.08791992, -0.00059283763, -0.5920148, -0.00038566800000000004, -0.00026528694, -0.01937042, -0.008412921, -0.00049562723, -0.7520028999999999, -0.12653919, -0.024430767000000003, -0.8524163, -0.00048000526, -0.22898968, -0.0006256397499999999, -0.06760098, -1.0444119e-05, -0.002373847, -0.00021872611, -0.0002494275, -0.0010190536, -0.0007411717, -5.5983720000000005e-05, -0.022675341, -0.0067193885, -0.68293136, -0.0055221333, -0.026052363000000002, -5.037998e-05, -9.556288600000001e-05, -0.0610982, -0.8107492, -0.00023273456, -0.00014826158, -0.011457227, -0.68280524, -0.63098633, -0.009326381, -0.07249854, -5.1810483e-05, -0.00012417485, -2.3795494000000003e-05, -0.0011695428, -0.00012143587, -6.0633804e-05, -0.04382504, -0.38073245, -0.019554086000000002, -0.11658649, -1.6402679e-05, -0.92425364, -1.6207987e-06, -0.00015887116, -0.024936315, -0.0047354354, -6.408898e-05, -3.201996e-05, -1.5567284e-05, -1.9765537e-06, -0.00016626397, -0.00043414652, -8.535841499999999e-06, -0.0690313, -0.0005507898, -0.00038674276, -2.2126573000000002e-05, -0.0009624952, -1.4377073000000001e-05, -5.6102934e-05, -1.8841804e-07, -0.013465628]","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39,"['total_candy =  c0 + c1', 'candy_left =  total_candy - c2', 'answer = candy_left']",,,,,,,,,,1
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8," The pet store had c0 siamese cats and c1 house cats. They sold c2 cats. So they have c0 + c1 - c2 cats left. 
cats_left = c0 + c1 - c2

The answer is cats_left.","[' The', ' pet', ' store', ' had', ' c', '0', ' si', 'ames', 'e', ' cats', ' and', ' c', '1', ' house', ' cats', '.', ' They', ' sold', ' c', '2', ' cats', '.', ' So', ' they', ' have', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', ' cats', ' left', '.', ' ', '\n', 'cats', '_', 'left', ' =', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' cats', '_', 'left', '.']","[-0.77346694, -0.18781273, -0.0017893363, -0.80347365, -0.020486182000000002, -0.0008774196599999999, -0.36015815, -5.460492e-07, -2.8326363000000003e-05, -0.009486549, -0.056349963, -0.00010557922999999999, -0.002704002, -0.00028257692, -0.0017562592, -0.5430096999999999, -0.9981819, -0.009564234000000001, -0.0018538273, -0.009796787000000001, -0.028438750000000002, -0.90976375, -0.4330428, -0.044166803000000004, -0.060862783000000004, -0.2671175, -0.043603864000000006, -0.48279804, -0.00041166772, -0.00026314214, -0.00022528352999999997, -0.0010509772, -1.4020380000000002e-05, -0.10201967, -0.19694827, -0.04318095, -0.17508002, -0.0012001578000000001, -0.7486402999999999, -0.0015860999, -0.16453503, -0.0074657854, -0.0008283827299999999, -0.00022099297, -0.0012672929, -0.00035716866999999997, -0.00028353152, -0.00095354614, -0.0023418230000000003, -8.328439400000001e-05, -0.5284434, -0.18305661, -0.00026958034, -0.00011285096999999999, -0.00013431041, -6.337372e-05, -0.00011237507, -5.912312e-06, -0.054425508000000004]","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8,"['cats_left =  c0 + c1 - c2', 'answer = cats_left']",,,,,,,,,,1
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2,"  Luke started with c0 games. He bought c1 more at a garage sale. So he had c0 + c1 games. 
total_games = c0 + c1

If c2 of the games didn't work, then he had total_games - c2 good games. 
good_games = total_games - c2

The answer is good_games.","[' ', ' Luke', ' started', ' with', ' c', '0', ' games', '.', ' He', ' bought', ' c', '1', ' more', ' at', ' a', ' garage', ' sale', '.', ' So', ' he', ' had', ' c', '0', ' +', ' c', '1', ' games', '.', ' ', '\n', 'total', '_', 'games', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' c', '2', ' of', ' the', ' games', ' didn', ""'t"", ' work', ',', ' then', ' he', ' had', ' total', '_', 'games', ' -', ' c', '2', ' good', ' games', '.', ' ', '\n', 'good', '_', 'games', ' =', ' total', '_', 'games', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' good', '_', 'games', '.']","[-0.9401406999999999, -1.0541457, -0.7728723, -0.06691437, -0.00031179338, -0.00018200328, -0.0017354785, -0.38789582, -0.77351695, -0.13068069999999998, -3.9172486e-05, -0.0009043261, -0.03690197, -1.2090162, -0.12412967500000001, -0.0013078774, -0.0004964617, -0.09129745, -0.46410784, -0.17893484, -0.17173573, -0.015672209, -0.0047384305, -0.12750103000000002, -3.3809963e-05, -8.685972e-05, -0.0071315960000000005, -0.25415698000000003, -0.44569618, -0.00023392851, -0.11186443, -8.197403e-05, -0.00019046801999999998, -0.0072004544, -5.240840000000001e-05, -0.00037350404, -0.0008551662, -0.00011082348, -0.00010545908999999999, -0.009465729, -0.0018330455000000001, -0.9371035, -0.00016185326, -2.2843700000000003e-05, -0.43112472, -0.6330205999999999, -0.00093624304, -0.4227255, -3.8935006e-05, -2.4543265e-06, -0.00404678, -0.6994066999999999, -0.055965465000000006, -0.67308396, -0.10861669, -0.00011690406, -0.00013800588, -0.0002818626, -0.0001033124, -0.00017568239, -0.8330358, -0.0006470504000000001, -0.10346799999999999, -0.037067603000000005, -4.9586424e-06, -0.026886318000000003, -2.0935424000000002e-05, -1.1278585e-05, -0.0024734498000000002, -7.601266000000001e-05, -9.771052e-05, -9.008022600000001e-05, -0.00038960468, -0.00020107947, -2.6180607000000004e-05, -0.02730074, -0.0015090901, -0.0001856978, -2.8921473000000004e-05, -4.6206733e-05, -2.5583630000000002e-05, -0.0005190024399999999, -1.7400123999999997e-06, -0.0076310574]","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']",,,,,,,,,,1
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40," The school cafeteria ordered c0 red apples and c1 green apples. But if only c2 students wanted fruit, the cafeteria would have c0 + c1 - c2 apples left over. 

extra_apples = c0 + c1 - c2

The answer is extra_apples.","[' The', ' school', ' cafeteria', ' ordered', ' c', '0', ' red', ' apples', ' and', ' c', '1', ' green', ' apples', '.', ' But', ' if', ' only', ' c', '2', ' students', ' wanted', ' fruit', ',', ' the', ' cafeteria', ' would', ' have', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', ' apples', ' left', ' over', '.', ' ', '\n', '\n', 'extra', '_', 'app', 'les', ' =', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' extra', '_', 'app', 'les', '.']","[-0.89452595, -0.09702419999999999, -0.14409046, -0.12581077000000002, -0.0050635543, -0.0011808807, -0.107172504, -0.0009199555499999999, -0.03269355, -6.575884000000001e-05, -0.0004915713, -0.0015117184000000001, -3.643162000000001e-05, -0.8283413, -0.42618248000000003, -0.71322966, -0.21515945, -5.455227800000001e-05, -0.0009434031, -0.019901333, -0.0026133996, -0.20625119, -0.010333418, -1.0626165, -0.383146, -0.013369759, -0.059382353000000006, -0.026285477, -0.1248642, -0.29483518000000003, -6.408898e-05, -0.00044201897, -0.0020147148, -0.0013934070000000002, -8.7457636e-05, -0.20325474000000002, -0.34948394, -0.10426114, -0.00023929570999999997, -0.2983115, -0.0056376937, -0.67973834, -0.47695919999999997, -0.011124712, -0.030887568, -4.1232483e-06, -0.0027466763, -0.00049658, -0.0005889, -0.0007210723699999999, -0.00019905198, -0.0002494275, -0.00044440500000000004, -0.002244086, -4.9547390000000005e-05, -0.15750647, -0.024339093000000003, -0.00026505041999999997, -3.225932e-05, -0.00020561033999999997, -0.0002124071, -0.000967149, -1.5327929000000002e-05, -1.7400123999999997e-06, -0.084563]","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",,,,,,,,,,1
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3," Lana picked c0 tulips and c1 roses. In total, she picked c0 + c1 flowers. 
total_flowers = c0 + c1

If she only used c2 of the flowers, then she has extra_flowers = total_flowers - c2. 

The answer is extra_flowers.","[' Lana', ' picked', ' c', '0', ' tul', 'ips', ' and', ' c', '1', ' roses', '.', ' In', ' total', ',', ' she', ' picked', ' c', '0', ' +', ' c', '1', ' flowers', '.', ' ', '\n', 'total', '_', 'fl', 'owers', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' she', ' only', ' used', ' c', '2', ' of', ' the', ' flowers', ',', ' then', ' she', ' has', ' extra', '_', 'fl', 'owers', ' =', ' total', '_', 'fl', 'owers', ' -', ' c', '2', '.', ' ', '\n', '\n', 'The', ' answer', ' is', ' extra', '_', 'fl', 'owers', '.']","[-0.35108078, -0.2509608, -0.03721038, -0.0015515932, -0.01399063, -7.601266000000001e-05, -0.1731259, -0.00022266187, -0.00029366894, -0.0013084752, -0.53645825, -1.3254591, -0.0004324776, -0.12704998, -0.35249603, -0.12074621, -0.001200277, -0.012090792000000001, -0.1634628, -0.0008141856, -0.0012579252, -0.0035522687, -0.010174260000000001, -0.67683715, -0.00048489466999999996, -0.48582825, -0.00012894506999999998, -0.12611039999999998, -4.2433903e-06, -0.03646092, -6.742775400000001e-05, -0.00037624770000000004, -0.0011121368, -0.0007722504000000001, -9.568210000000002e-05, -0.011161721000000001, -0.003851461, -0.5093747, -0.20001155, -0.3444451, -0.003918475, -6.3134365e-05, -0.0026410099, -0.7759597300000001, -0.40944692, -0.0009236538299999999, -0.035763666, -0.8750897999999999, -0.54083836, -0.40428573, -0.47417378, -0.10294784, -7.648668e-05, 0.0, -0.013241221000000001, -0.0010768116, -7.589251600000001e-05, -0.00011607053599999999, 0.0, -0.00013311833, -0.0004920491, -0.00029271433999999996, -0.36112434, -0.028558278000000003, -0.00080977014, -0.10490087000000001, -0.0018788489000000001, -0.00029068594, -0.00010724721499999999, -0.00010784233, -0.00014229833, -5.288523200000001e-05, -3.076318e-07, -0.020273939]","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3,"['total_flowers =  c0 + c1', 'extra_flowers =  total_flowers - c2.', 'answer = extra_flowers']",,,,,,,,,,1
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7," Carol and her mom picked c0 + c1 carrots. If c2 of them were good, then that means they had (c0 + c1) - c2 bad carrots.

bad_carrots = (c0 + c1) - c2

The answer is bad_carrots.","[' Carol', ' and', ' her', ' mom', ' picked', ' c', '0', ' +', ' c', '1', ' carrots', '.', ' If', ' c', '2', ' of', ' them', ' were', ' good', ',', ' then', ' that', ' means', ' they', ' had', ' (', 'c', '0', ' +', ' c', '1', ')', ' -', ' c', '2', ' bad', ' carrots', '.', '\n', '\n', 'bad', '_', 'car', 'rots', ' =', ' (', 'c', '0', ' +', ' c', '1', ')', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' bad', '_', 'car', 'rots', '.']","[-0.41105992, -0.6788982, -0.00029629155, -0.15664674, -0.49725786, -0.46257883, -0.0014886144, -0.59041727, -0.00027363625, -0.0003210935, -0.007643012, -0.58820593, -0.79926217, -0.24978358, -4.716134000000001e-05, -0.47904673000000003, -0.1458267, -9.3535404e-05, -7.577424500000001e-05, -0.00064168224, -0.29574472, -0.25410554, -0.086047105, -0.08983575, -0.013780186000000002, -0.12809585, -0.00014671094, -0.00066148496, -0.20314716, -0.00021789164999999998, -0.00013562171, -0.0006098948699999999, -0.00015648510999999998, -7.613187e-05, -5.359767200000001e-05, -0.0025605133, -3.8935006e-05, -0.0011861325, -0.666119, -0.6894663, -0.41931593, -0.0003417842, -5.675771e-06, -2.3435998e-05, -0.00017627938, -0.00041625863999999996, -4.4539687e-05, -0.00010867960000000001, -0.0006460958, -0.00013812509, -7.732115000000001e-05, -0.00015314727, -0.00016483347, -0.0003506094, -7.958892000000001e-05, -0.010689948000000001, -0.009177007000000001, -0.00011595039499999999, -0.00015720222999999998, -3.690939e-05, -7.601266000000001e-05, -7.791906e-05, -7.854046699999999e-07, -2.5941252000000004e-05, -0.04986295]","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7,"['bad_carrots =  (c0 + c1) - c2', 'answer = bad_carrots']",,,,,,,,,,1
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19," Roger had c0 dollars. He got c1 more dollars, so he has c0 + c1 dollars. 
money_before = c0 + c1

He spent c2 dollars on a new game, so he has money_before - c2 dollars now. 
money_after = money_before - c2

The answer is money_after.","[' Roger', ' had', ' c', '0', ' dollars', '.', ' He', ' got', ' c', '1', ' more', ' dollars', ',', ' so', ' he', ' has', ' c', '0', ' +', ' c', '1', ' dollars', '.', ' ', '\n', 'money', '_', 'before', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'He', ' spent', ' c', '2', ' dollars', ' on', ' a', ' new', ' game', ',', ' so', ' he', ' has', ' money', '_', 'before', ' -', ' c', '2', ' dollars', ' now', '.', ' ', '\n', 'money', '_', 'after', ' =', ' money', '_', 'before', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' money', '_', 'after', '.']","[-0.41614017000000003, -0.5033458, -0.0052905716, -0.00010307304, -0.007014963000000001, -0.30842579999999997, -0.69436324, -0.024955748, -0.00010724721499999999, -0.0014075534000000001, -0.020336652, -0.10952756, -1.0455316, -0.034775015, -0.126001, -0.28083143, -0.002896589, -0.02632899, -0.10952916, -0.00015338662, -0.00031143386, -0.09334116, -0.44842058, -0.19639399999999999, -0.0001947586, -0.32174557, -0.0051997350000000005, -1.098706, -0.39303103, -5.5385808e-05, -0.00015422201, -0.0022784348, -0.00012799047, -0.00018700723, -0.08064385, -0.011057269000000002, -0.41026372, -0.04985305, -0.0018101772000000001, -0.0005770326, -0.5454882, -0.0396027, -0.046522748, -0.21936008, -2.141132e-05, -0.04358531, -0.0011367829000000001, -0.14336176, -0.0018400329, -0.016585065, -2.3556138e-05, -2.7967804e-05, -0.00016256850000000001, -6.9810994e-05, -0.00023631455999999999, -0.028086999999999997, -0.30032814, -0.0001283481, -0.025644273000000002, -6.5092986e-06, -0.018595595, -3.7505437e-05, -0.589532, -0.0012934953, -0.0007643751499999999, -0.00010665304999999999, -1.8601541999999999e-06, -0.00041852458, -0.00020155631, -7.350647e-05, -0.07058716, -0.0030246407, -0.0005190024399999999, -4.3465872000000003e-05, -0.00018867896999999998, -8.1256905e-05, -4.6086590000000006e-05, -2.0966954e-06, -0.008422902000000001]","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19,"['money_before =  c0 + c1', 'money_after =  money_before - c2', 'answer = money_after']",,,,,,,,,,1
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2," Megan took c0 pictures at the zoo and c1 at the museum. In total, she took c0 + c1 pictures. 
total_pictures = c0 + c1

If she later deleted c2 pictures, she would have total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2

The answer is remaining_pictures.","[' Megan', ' took', ' c', '0', ' pictures', ' at', ' the', ' zoo', ' and', ' c', '1', ' at', ' the', ' museum', '.', ' In', ' total', ',', ' she', ' took', ' c', '0', ' +', ' c', '1', ' pictures', '.', ' ', '\n', 'total', '_', 'pict', 'ures', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' she', ' later', ' deleted', ' c', '2', ' pictures', ',', ' she', ' would', ' have', ' total', '_', 'pict', 'ures', ' -', ' c', '2', ' pictures', ' remaining', '.', ' ', '\n', 'rem', 'aining', '_', 'pict', 'ures', ' =', ' total', '_', 'pict', 'ures', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' remaining', '_', 'pict', 'ures', '.']","[-0.36103225, -0.5390834, -0.008336105, -0.00011702421, -0.08784625, -0.020879580000000002, -0.00041095245999999997, -0.0017969798, -0.054924045000000005, -0.00023750477999999998, -0.0012305307, -0.3965188, -0.00017043720999999998, -0.0010801532, -0.49548775, -0.94498044, -2.6773841e-05, -0.25668818, -0.023836106000000003, -0.31089923, -0.00092079, -0.0027140416, -0.08336872000000001, -0.00023488216999999998, -0.00034047384, -0.0015330267, -0.045730226000000006, -0.24900793000000002, -0.00031990238, -0.136819, -4.1080762000000004e-05, -0.015451786, -5.3162735e-06, -0.016558884, -7.815842000000001e-05, -0.00021967978999999998, -0.0006008294, -0.00011022837999999999, -0.00010534082, -0.09137307, -0.005492227000000001, -0.712047, -0.035150055, -0.36936197, -0.002429952, -3.4089344e-06, -3.4167595e-05, -0.5970945999999999, -0.0014017049, -0.13482285, -0.0474017, -0.11718275, -0.26555052, -0.00016232914999999998, -7.1062755e-06, -3.4089344e-06, -0.0018577697, -5.3363005000000004e-05, -4.2988099999999996e-05, -0.12121440500000001, -0.26899981, -0.012645981, -0.0053352728000000006, -2.6936819999999996e-06, -0.24301253, -1.8907942e-05, -0.00011011010000000001, -1.6642034e-05, -3.142485e-05, -0.0011415560000000002, -0.00012131666, -1.6045058000000002e-05, -5.675771e-06, -3.0513029999999998e-06, -0.00039568717999999997, -0.00017186675999999998, -4.838501e-06, -0.114347324, -0.0011765836000000001, -0.00036062480000000004, -5.514926700000001e-05, -0.0004090442, -0.000120481265, -0.00011499579, -8.535841499999999e-06, -2.2159092999999997e-06, -0.021997266]","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']",,,,,,,,,,1
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11," Rachel bought two coloring books. One had c0 pictures and the other had c1. So in total she had c0 + c1 pictures. 
total_pictures = c0 + c1

After one week she had already colored c2 of the pictures. So she has total_pictures - c2 pictures left to color. 
pictures_left = total_pictures - c2

The answer is pictures_left.","[' Rachel', ' bought', ' two', ' coloring', ' books', '.', ' One', ' had', ' c', '0', ' pictures', ' and', ' the', ' other', ' had', ' c', '1', '.', ' So', ' in', ' total', ' she', ' had', ' c', '0', ' +', ' c', '1', ' pictures', '.', ' ', '\n', 'total', '_', 'pict', 'ures', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'After', ' one', ' week', ' she', ' had', ' already', ' colored', ' c', '2', ' of', ' the', ' pictures', '.', ' So', ' she', ' has', ' total', '_', 'pict', 'ures', ' -', ' c', '2', ' pictures', ' left', ' to', ' color', '.', ' ', '\n', 'pict', 'ures', '_', 'left', ' =', ' total', '_', 'pict', 'ures', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' pictures', '_', 'left', '.']","[-0.6811461, -0.5726388, -0.08103508, -0.042976342, -0.0009829568, -0.23419477, -0.20890418, -0.08080442, -3.3689823e-05, -3.6670972e-05, -0.0001754468, -0.08799997, -0.012981415000000001, -0.0005391018, -0.0027640685, -1.163433e-05, -0.00031703950000000003, -0.054484986000000006, -0.91682684, -0.7138348999999999, -3.6550830000000005e-05, -0.30419272, -0.687651, -0.0005393411000000001, -0.0028267107000000003, -0.09528479999999999, -0.0005585421499999999, -0.0021446238000000003, -0.0013631459, -0.4629795, -0.43772092, -0.0007547717499999999, -0.043195948000000005, -0.00013884035, -0.00025527156, -6.827631999999999e-08, -0.0025762292000000003, -3.702860300000001e-05, -0.0003748172, -0.0006174078, -0.00013228387, -8.495144000000001e-05, -0.008873518, -0.006163882000000001, -0.11112745, -0.42414483000000003, -9.370307e-06, -0.18997204, -0.057667624, -0.072683565, -0.0010753811, -8.653179e-06, -0.00024728084, -0.38648254, -0.01876946, -2.0098154e-05, -0.11032891, -0.08493332, -0.010375455, -0.24341488, -0.20836098, -4.9308033000000007e-05, -7.818712999999999e-06, -1.8601541999999999e-06, -0.0013103854, -5.157113e-05, -1.0681599e-05, -0.09624131, -0.5818930999999999, -0.20687781, -2.6419024000000005e-05, -0.0037683542000000003, -0.0077863870000000005, -9.490448999999999e-06, -0.19287267, -1.1430257999999999e-06, -1.0561456000000002e-05, -0.12272786000000001, -0.0015357721, -6.3134365e-05, -1.306671e-05, -1.2622394999999999e-06, -1.1430257999999999e-06, -0.000116546435, -8.411697500000001e-05, -6.8669196e-06, -0.009558699, -0.0016111122000000001, -7.052812000000001e-05, -4.406191e-05, -4.4896380000000005e-05, -0.00044130278, -1.7713980000000002e-05, -6.661909399999999e-07, -0.0075030173]","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11,"['total_pictures =  c0 + c1', 'pictures_left =  total_pictures - c2', 'answer = pictures_left']",,,,,,,,,,1
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts. In total, he had to wash c0 + c1 shirts. 
total_shirts = c0 + c1

If he only washed c2, then he did not wash total_shirts - c2 shirts. 
shirts_not_washed = total_shirts - c2

The answer is shirts_not_washed.","[' Ned', ' had', ' to', ' wash', ' c', '0', ' short', ' sleeve', ' shirts', ' and', ' c', '1', ' long', ' sleeve', ' shirts', '.', ' In', ' total', ',', ' he', ' had', ' to', ' wash', ' c', '0', ' +', ' c', '1', ' shirts', '.', ' ', '\n', 'total', '_', 'shirts', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' he', ' only', ' washed', ' c', '2', ',', ' then', ' he', ' did', ' not', ' wash', ' total', '_', 'shirts', ' -', ' c', '2', ' shirts', '.', ' ', '\n', 'shirts', '_', 'not', '_', 'washed', ' =', ' total', '_', 'shirts', ' -', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' shirts', '_', 'not', '_', 'washed', '.']","[-0.08989894400000001, -0.52377284, -0.40374666000000003, -0.004956564, -0.0079744095, -0.0030187808000000003, -0.38609156, -0.0057485340000000005, -0.0025441386000000002, -0.050418966, -2.9519388e-05, -0.0010944168, -0.00015112258999999998, -6.039538500000001e-05, -0.0012552998000000001, -0.69591445, -0.7860188, -0.0016299207, -0.14208981, -0.4448717, -0.018027686, -0.02933546, -0.00022385396999999999, -0.0003176346, -0.0029674273, -0.055626463, -0.00020262918, -0.0010921472, -0.0005608109, -0.07855298000000001, -0.15122591, -0.013212712000000001, -0.11091552, -0.00033594015999999997, -0.0032311624000000002, -0.006123458500000001, -0.00019130061, -0.00041279973999999996, -0.00040081408, -0.00010438714499999999, -0.00018665240000000002, -0.05292096, -0.004933203000000001, -0.6044984, -0.11473726000000001, -0.6683336999999999, -0.019605508, -4.838501e-06, -0.0013395718, -1.0768626000000001, -0.2522855, -0.040895607, -0.5380463999999999, -5.9321566000000005e-05, -0.000101643476, -0.11239705, -4.382537000000001e-05, -3.8103353e-05, -0.0006899354599999999, -1.6402679e-05, -0.00027542253, -0.027624765000000003, -0.01255393, -0.016331056, -2.1051823000000004e-05, -0.054363646, -6.031526e-06, -0.010610909, -0.0050946465, -0.0005999948499999999, -0.0027169710000000003, -0.00015648510999999998, -9.508793000000002e-05, -6.575884000000001e-05, -0.0005400564, -4.430127e-05, -8.268835e-05, -0.01278712, -0.004491122, -0.0004218633, -0.00015207719, -0.00016054007999999998, -7.946878e-05, -0.0007362795, -2.2159092999999997e-06, -2.7371756000000004e-05, -2.4152187000000003e-05, -0.02259029]","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1,"['total_shirts =  c0 + c1', 'shirts_not_washed =  total_shirts - c2', 'answer = shirts_not_washed']",,,,,,,,,,1
