,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0," Debby and her sister had a total of 32 + 42 = 74 pieces of candy. If they ate 35 pieces, they would have 74 - 35 = 39 pieces left.",,39.0,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0," The pet store had 13 siamese cats and 5 house cats. They sold 10 cats in total. So they would have 13 - 10 = 3 siamese cats left, and 5 - 10 = -5 house cats left. So they would have 3 - 5 = -2 cats left in total.",,2.0,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"  Luke bought 2 games from a friend and 2 more at a garage sale. So he started with 4 games. If 2 of them didn't work, that means he ended up with 4 - 2 = 2 good games.",,2.0,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"  There are 42 red apples and 7 green apples for a total of 49 apples. But if only 9 students wanted fruit, that means 40 apples were left over. So the answer is 40.",,40.0,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0, Lana picked 36 tulips and 37 roses. She used 70 of them in total. So she must have had 70 - (36 + 37) = -9 extra flowers. The answer is -9.,,9.0,0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. So they had a total of 29 + 16 = 45 carrots. But only 38 of them were good, so that means that 45 - 38 = 7 carrots were bad.",,7.0,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0," Roger had 16 dollars. He got 28 more dollars, so he has 16 + 28 = 44 dollars. But he spent 25 dollars on a new game, so he has 44 - 25 = 19 dollars now.",,19.0,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0," Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, she would have (15 + 18) - 31 = 2 pictures from her vacation.",,2.0,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. So she has 44 - 23 - 32 = -1. The answer is -1.,,1.0,0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. He only washed 29 of them, so he must not have washed 9 + 21 - 29 = 1 shirt.",,1.0,1
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts. He only washed 20 of them, so he must not have washed 39 + 47 - 20 = 66 shirts.",,66.0,1
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0, Wendy sold 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. So she must have sold 24 - (4 + 29) = -5. The answer is -5.,,5.0,0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0," Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, she would have 24 - 14 = 10 pictures from the zoo and 12 - 14 = -2 pictures from the museum. So she would have 10 - 2 = 8 pictures from her vacation.",,8.0,1
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0," Katie picked 3 tulips and 9 roses. She only used 10 of the flowers, so she must have had 1 extra flower.",,1.0,1
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, she would have had to do 46 - 40 = 6 math problems and 9 - 40 = -31 science problems for homework. The answer is 6.",,6.0,0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0, Amy had 4 music files and 21 video files originally. She deleted 23 files in total. So there would be 4 + 21 - 23 = 2 files remaining.,,2.0,1
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0," Ned started with 11 games. Then he bought 22 more, for a total of 33. But 19 of them didn't work, so he ended up with 33 - 19 = 14. The answer is 14.",,14.0,0
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0, Chloe had 40 + 50 - 4 = 86 points at the end of the game.,,86.0,1
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0," Tom had 32 + 25 = 57 tickets to start with. He spent 7 tickets on a hat, so he has 57 - 7 = 50 tickets left.",,50.0,1
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. So they had a total of 26 + 15 = 41 carrots. If only 16 of them were good, then that means that 41 - 16 = 25 of them were bad. So the answer is 25.",,25.0,1
20, For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,4.0, Katie had 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. So she must have sold 7 + 5 - 8 = 4. The answer is 4.,,4.0,0
21, Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,68.0, Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. So she has 44 - 20 = 24 pictures left to color.,,24.0,1
22," John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ",6.0,"  John bought a total of 29 games. If 23 of them were bad, that means that 29 - 23 = 6 games were good.",,6.0,1
23, Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,19.0," Henry had 11 dollars. He got 18 more dollars, making 29. But he spent 10 on a new game, so he has 29 - 10 = 19. The answer is 19.",,19.0,0
24," While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ",55.0," Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, she would have 41 - 15 = 26 pictures from the zoo and 29 - 15 = 14 pictures from the museum. So she would have a total of 26 + 14 = 40 pictures from her vacation.",,40.0,1
25," Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",34.0," If he had only washed 29 of them, then he must not have washed 40 - 29 = 11 short sleeve shirts. The answer is 11.",,11.0,0
26, A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,12.0, The pet store had 12 siamese cats and 20 house cats. They sold 20 cats in total. So they must have 20 - 20 = 0 cats left. The answer is 0.,,0.0,0
27," Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ",16.0, Faye picked 23 carrots and her mother picked 5 carrots. So they had a total of 23 + 5 = 28 carrots. But only 12 of them were good. So that means that there were 28 - 12 = 16 bad carrots.,,16.0,1
28," The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,"  There were 43 red apples and 32 green apples. But if only 2 students wanted fruit, then there would be 43 + 32 - 2 = 73 extra apples.",,73.0,1
29," There were 39 girls and 4 boys trying out for the schools basketball team. If only 26 of them got called back, how many students didn't make the cut? ",17.0," There were a total of 39 + 4 = 43 students trying out. If 26 made the cut, then 43 - 26 = 17 students did not make the cut.",,17.0,1
30, A pet store had 38 siamese cats and 25 house cats. During a sale they sold 45 cats. How many cats do they have left? ,18.0, The pet store had 38 siamese cats and 25 house cats. They sold 45 cats during a sale. So they must have 45 - (38 + 25) = 45 - 63 = -18. The answer is -18.,,18.0,0
31, For the school bake sale Paige made pastries. She baked 36 cupcakes and 9 cookies. After the sale she had 4 to take back home. How many pastries did she sell? ,41.0, Paige sold 36 cupcakes and 9 cookies. She had 4 to take back home. So she must have sold 36 + 9 - 4 = 41. The answer is 41.,,41.0,0
32, Carol was playing a trivia game. In the first round she scored 17 points and in the second round she scored 6 points. In the last round she lost 16 points. How many points did she have at the end of the game? ,7.0, Carol had a total of 17 + 6 - 16 = 7 points.,,7.0,1
33, Gwen bought two coloring books. One had 10 pictures and the other had 39. After one week she had already colored 13 of the pictures. How many pictures does she still have to color? ,36.0, Gwen bought two coloring books. One had 10 pictures and the other had 39. After one week she had already colored 13 of the pictures. So she has 13 + 39 - 10 = 42 - 10 = 32 pictures left to color.,,32.0,1
34," For Halloween Janet and her sister combined the candy they received. Janet had 34 pieces of candy while her sister had 33. If they ate 4 pieces the first night, how many pieces do they have left? ",63.0,  34 + 33 = 67. 67 - 4 = 63. The answer is 63.,,63.0,0
35," Haley and her mom were picking carrots from their garden. Haley picked 39 and her mother picked 38. If only 64 of the carrots were good, how many bad carrots did they have? ",13.0," There were a total of 77 carrots. Haley picked 39 and her mother picked 38, so that's a total of 77. However, only 64 of them were good. That means that there were 13 bad carrots.",,13.0,1
36," There were 30 girls and 36 boys trying out for the schools basketball team. If only 10 of them got called back, how many students didn't make the cut? ",56.0,"  30 + 36 = 66. 10 got called back, so 66 - 10 = 56. The answer is 56.",,56.0,0
37, Roger had 29 dollars. For his birthday he got 20 more dollars but spent 34 on a new game. How much money does he have now? ,15.0," Roger had 29 dollars. He got 20 more dollars, so he had 29 + 20 = 49 dollars. But he spent 34 dollars on a new game, so he has 49 - 34 = 15 dollars now.",,15.0,1
38," Dave had to wash 29 short sleeve shirts and 11 long sleeve shirts before school. If he had only washed 35 of them by the time school started, how many did he not wash? ",5.0," Dave had to wash 29 short sleeve shirts and 11 long sleeve shirts. If he only washed 35 of them, then he must not have washed 29 + 11 - 35 = 5 shirts.",,5.0,1
39," Edward was trying to expand his game collection. He bought 41 games from a friend and bought 14 more at a garage sale. If 31 of the games didn't work, how many good games did he end up with? ",24.0, Edward had 41 + 14 = 55 games in total. But 31 of them were not working. So he had 55 - 31 = 24 good games.,,24.0,1
40," At the schools book fair Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, how many new books did he buy? ",15.0," Sam bought 13 adventure books and 17 mystery books. If 15 of the books were used, that means 2 books were not used. So he bought 2 new books.",,2.0,1
41," Amy had 26 music files and 36 video files on her flash drive. If she deleted 48 of the files, how many files were still on her flash drive? ",14.0, Amy had 26 music files and 36 video files originally. She deleted 48 files in total. So there would be 26 + 36 - 48 = 14 files remaining.,,14.0,1
