,question,answer,response,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0,"Solve the problem step by step:

Information from question:

Debby_candy = c0
Sister_candy = c1
candy_eaten = c2

1. Add the number of candies Debby had and the number of candies her sister had to calculate the total number of candies. Let total_candies be the total number of candies,
total_candies = Debby_candy + Sister_candy

2. Subtract the number of candies eaten from the total number of candies to calculate how many candies are left.
candies_left = total_candies - candy_eaten

answer = candies_left","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39.0,"['Debby_candy = c0', 'Sister_candy = c1', 'candy_eaten = c2', 'total_candies = Debby_candy + Sister_candy', 'candies_left = total_candies - candy_eaten', 'answer = candies_left']"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0,"Solve the problem step by step:

Information from question:

siamese_cats = c0
house_cats = c1
cats_sold = c2

1. Add the number of siamese cats and the number of house cats to calculate the total number of cats. Let total_cats be the total number of cats,
total_cats = siamese_cats + house_cats

2. Subtract the number of cats sold from the total number of cats to calculate how many cats are left.
cats_left = total_cats - cats_sold

answer = cats_left","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0,"['siamese_cats = c0', 'house_cats = c1', 'cats_sold = c2', 'total_cats = siamese_cats + house_cats', 'cats_left = total_cats - cats_sold', 'answer = cats_left']"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0,"Solve the problem step by step:

Information from question:

games_from_friend = c0
games_from_garage_sale = c1
non_working_games = c2

1. Add the number of games Luke got from his friend and the number of games he bought at the garage sale to calculate the total number of games he had. Let total_games be the total number of games,
total_games = games_from_friend + games_from_garage_sale

2. Subtract the number of non-working games from the total number of games to calculate the number of good games he ended up with.
good_games = total_games - non_working_games

answer = good_games","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2.0,"['games_from_friend = c0', 'games_from_garage_sale = c1', 'non_working_games = c2', 'total_games = games_from_friend + games_from_garage_sale', 'good_games = total_games - non_working_games', 'answer = good_games']"
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"Solve the problem step by step:

Information from question:

red_apples_ordered = c0
green_apples_ordered = c1
students_want_fruit = c2

1. Add the number of red apples and the number of green apples to calculate the total number of apples ordered. Let total_apples_ordered be the total number of apples ordered,
total_apples_ordered = red_apples_ordered + green_apples_ordered

2. Subtract the number of students who wanted fruit from the total number of apples ordered to calculate the number of extra apples.
extra_apples = total_apples_ordered - students_want_fruit

answer = extra_apples","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40.0,"['red_apples_ordered = c0', 'green_apples_ordered = c1', 'students_want_fruit = c2', 'total_apples_ordered = red_apples_ordered + green_apples_ordered', 'extra_apples = total_apples_ordered - students_want_fruit', 'answer = extra_apples']"
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0,"Solve the problem step by step:

Information from question:

tulips_picked = c0
roses_picked = c1
flowers_used = c2

1. Add the number of tulips picked and the number of roses picked to calculate the total number of flowers picked. Let total_flowers be the total number of flowers,
total_flowers = tulips_picked + roses_picked

2. Subtract the number of flowers used from the total number of flowers to calculate the number of extra flowers picked.
extra_flowers = total_flowers - flowers_used

answer = extra_flowers","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3.0,"['tulips_picked = c0', 'roses_picked = c1', 'flowers_used = c2', 'total_flowers = tulips_picked + roses_picked', 'extra_flowers = total_flowers - flowers_used', 'answer = extra_flowers']"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0,"Solve the problem step by step:

Information from question:

carrots_picked_by_carol = c0
carrots_picked_by_mom = c1
good_carrots = c2

1. Add the number of carrots picked by Carol and the number of carrots picked by her mom to calculate the total number of carrots. Let total_carrots be the total number of carrots,
total_carrots = carrots_picked_by_carol + carrots_picked_by_mom

2. Subtract the number of good carrots from the total number of carrots to calculate the number of bad carrots.
bad_carrots = total_carrots - good_carrots

answer = bad_carrots","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0,"['carrots_picked_by_carol = c0', 'carrots_picked_by_mom = c1', 'good_carrots = c2', 'total_carrots = carrots_picked_by_carol + carrots_picked_by_mom', 'bad_carrots = total_carrots - good_carrots', 'answer = bad_carrots']"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"Solve the problem step by step:

Information from question:

original_money = c0
birthday_money = c1
game_cost = c2

1. Add the amount of money Roger got for his birthday to the amount of money he originally had to calculate his total money. Let total_money be the total amount of money he had,
total_money = original_money + birthday_money

2. Subtract the cost of the game from the total amount of money to calculate the answer.
current_money = total_money - game_cost

answer = current_money","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0,"['original_money = c0', 'birthday_money = c1', 'game_cost = c2', 'total_money = original_money + birthday_money', 'current_money = total_money - game_cost', 'answer = current_money']"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0,"Solve the problem step by step:

Information from question:

pictures_at_zoo = c0
pictures_at_museum = c1
pictures_deleted = c2

1. Add the number of pictures taken at the zoo and the number of pictures taken at the museum to calculate the total number of pictures taken. Let total_pictures be the total number of pictures taken,
total_pictures = pictures_at_zoo + pictures_at_museum

2. Subtract the number of pictures deleted from the total number of pictures taken to calculate the number of pictures Megan still has.
pictures_remaining = total_pictures - pictures_deleted

answer = pictures_remaining","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0,"['pictures_at_zoo = c0', 'pictures_at_museum = c1', 'pictures_deleted = c2', 'total_pictures = pictures_at_zoo + pictures_at_museum', 'pictures_remaining = total_pictures - pictures_deleted', 'answer = pictures_remaining']"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0,"Solve the problem step by step:

Information from question:

pictures_in_book1 = c0
pictures_in_book2 = c1
pictures_colored = c2

1. Add the number of pictures in both coloring books to calculate the total number of pictures. Let total_pictures be the total number of pictures,
total_pictures = pictures_in_book1 + pictures_in_book2

2. Subtract the number of pictures colored from the total number of pictures to calculate the number of pictures still left to color.
pictures_left = total_pictures - pictures_colored

answer = pictures_left","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0,"['pictures_in_book1 = c0', 'pictures_in_book2 = c1', 'pictures_colored = c2', 'total_pictures = pictures_in_book1 + pictures_in_book2', 'pictures_left = total_pictures - pictures_colored', 'answer = pictures_left']"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0,"Solve the problem step by step:

Information from question:

short_sleeve_shirts = c0
long_sleeve_shirts = c1
shirts_washed = c2

1. Add the number of short sleeve shirts and the number of long sleeve shirts to calculate the total number of shirts. Let total_shirts be the total number of shirts,
total_shirts = short_sleeve_shirts + long_sleeve_shirts

2. Subtract the number of shirts washed from the total number of shirts to calculate the number of shirts not washed.
shirts_not_washed = total_shirts - shirts_washed

answer = shirts_not_washed","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0,"['short_sleeve_shirts = c0', 'long_sleeve_shirts = c1', 'shirts_washed = c2', 'total_shirts = short_sleeve_shirts + long_sleeve_shirts', 'shirts_not_washed = total_shirts - shirts_washed', 'answer = shirts_not_washed']"
