,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,".
A: mapping:{x:pieces of candy left}
Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night,
Eq1: 32+42-35=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32+42-35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,39.0,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"
A: mapping:{x: cats they have left}
Eq1: x=13+5-10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,13+5-10)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,8.0,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"
A: mapping:{x:number of games he have}
Luke bought 2 games from a friend and 2 more from garage sale. 2 of them didn't work.
Eq1: x=2+2-2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2+2-2)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,".
A: mapping:{x:extra apples the cafeteria end up with}
The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit,
Eq1: 42+7-9=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,42+7-9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,40.0,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"
A: mapping:{x:extra flowers Lana picked}
Lana picked 36 tulips and 37 roses, but she only used 70 of them.
Eq1: 36+37-70=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,36+37-70)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0,1
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"
A: mapping:{x:number of bad carrots}
Carol picked 29 carrots, her mother picked 16 carrots, and 38 of them were good.
Eq1: 29+16-38=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,29+16-38)
print(solve(Eq1,x))
We got 17 from sympy, so the answer is 17.",,17.0,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"
A: mapping:{x:money Roger have now}
Roger had 16 dollars, got 28 more dollars, but spent 25 on a new game.
Eq1: 16+28-25=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,16+28-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,".
A: mapping:{x:pictures she still have}
Megan took 15 pictures at the zoo and 18 at the museum. She later deleted 31 pictures.
Eq1: 15+18-31=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15+18-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"
A: mapping:{x:number of pictures she still have to color}
Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures.
Eq1: 44-23-32=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,44-23-32)
print(solve(Eq1,x))
We got -1 from sympy, so the answer is -1.",,1.0,1
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"
A: mapping:{x: number of shirts Ned did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?
Eq1: 9+21-29=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,9+21-29)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,1.0,1
