,question,answer,response,mapping,response_answer,equations
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51.0,"Each pack of DVDs originally costs c0 dollars. There is a discount of c1 dollars on each pack, so the new cost is c0 - c1 dollars. 
new_cost = c0 - c1
The answer is new_cost.","{'c0': 76.0, 'c1': 25.0}",51.0,"['new_cost =  c0 - c1', 'answer = new_cost']"
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1.0,"Dan started with $ c1. After buying the candy bar, he had $ c0 left. So the candy bar cost c1 - c0 dollars. 
candy_bar_cost = c1 - c0
The answer is candy_bar_cost.","{'c0': 3.0, 'c1': 4.0}",1.0,"['candy_bar_cost =  c1 - c0', 'answer = candy_bar_cost']"
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17.0,"Paco started with c0 salty cookies and ate c3 of them, so he had c0 - c3 salty cookies left. 
salty_cookies_left = c0 - c3
He also started with c1 sweet cookies and ate c2 of them, so he had c1 - c2 sweet cookies left. 
sweet_cookies_left = c1 - c2
The answer is salty_cookies_left.","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",17.0,"['salty_cookies_left =  c0 - c3', 'sweet_cookies_left =  c1 - c2', 'answer = salty_cookies_left']"
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22.0,"There were originally c0 children on the bus. After some got off, there were c1 left. So c0 - c1 children got off the bus at the stop. 
children_off = c0 - c1
The answer is children_off.","{'c0': 43.0, 'c1': 21.0}",22.0,"['children_off =  c0 - c1', 'answer = children_off']"
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"Initially, there were c0 children on the bus. Then c1 more children got on, so there were c0 + c1 children on the bus. Some children got off, so the final number of children on the bus was c2. The difference between the number of children who got on and the number who got off is (c2 - c0 - c1).
more_children_on = c2 - c0 - c1
The answer is more_children_on.","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",-80.0,"['more_children_on =  c2 - c0 - c1', 'answer = more_children_on']"
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"Olivia started with c0 dollars and collected c1 more from an atm, so she had c0 + c1 dollars. After visiting the supermarket, she had c2 dollars left. So she spent c0 + c1 - c2 dollars at the supermarket. 
money_spent = c0 + c1 - c2
To find out how much more money she collected at the atm than she spent at the supermarket, we need to subtract the money spent from the money collected: 
money_collected - money_spent = (c0 + c1) - (c0 + c1 - c2) = c2
The answer is c2 dollars.","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",49.0,"['money_spent =  c0 + c1 - c2', 'money_spent =  (c0 + c1) - (c0 + c1 - c2) ', 'answer = c2 dollars']"
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"Jerry had some action figures on the shelf initially. Then he added c0 more action figures. The total number of action figures on the shelf now is c1. So initially, he must have had c1 - c0 action figures on the shelf.
initial_action_figures = c1 - c0
The answer is initial_action_figures.","{'c0': 7.0, 'c1': 10.0}",3.0,"['initial_action_figures =  c1 - c0', 'answer = initial_action_figures']"
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"Paco started with c0 cookies. He gave c1 cookies to his friend and ate c2 cookies. So he gave away c1 cookies and ate c2 cookies. 
cookies_given_away = c1
cookies_eaten = c2
To find out how many more cookies he ate than those he gave to his friend, we need to subtract cookies_given_away from cookies_eaten. 
more_cookies_eaten = cookies_eaten - cookies_given_away
The answer is more_cookies_eaten.","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9.0,"['cookies_given_away =  c1', 'cookies_eaten =  c2', 'more_cookies_eaten =  cookies_eaten - cookies_given_away', 'answer = more_cookies_eaten']"
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4.0,"The recipe calls for c1 cups of flour, and Mary has already put in c3 cups. So she needs to add c1 - c3 more cups of flour. 
flour_needed = c1 - c3
The answer is flour_needed.","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4.0,"['flour_needed =  c1 - c3', 'answer = flour_needed']"
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21.0,"The waiter had some customers at the start. After c0 customers left, he still had c1 customers. So he must have had c0 + c1 customers at the start. 
initial_customers = c0 + c1
The answer is initial_customers.","{'c0': 9.0, 'c1': 12.0}",21.0,"['initial_customers =  c0 + c1', 'answer = initial_customers']"
10,c0 birds were sitting on the fence. c1 more storks and c2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"Initially, there were c0 birds on the fence. Then c1 more storks and c2 more birds joined them. So the total number of storks on the fence is c1 and the total number of birds is c0 + c2. 
total_storks = c1
total_birds = c0 + c2
To find the difference between the number of storks and birds, we subtract the number of birds from the number of storks. 
storks_minus_birds = total_storks - total_birds
The answer is storks_minus_birds.","{'c0': 3.0, 'c1': 6.0, 'c2': 2.0}",1.0,"['total_storks =  c1', 'total_birds =  c0 + c2', 'storks_minus_birds =  total_storks - total_birds', 'answer = storks_minus_birds']"
11,They decided to hold the party in their backyard. If they have c0 sets of tables and each set has c1 chairsHow many chairs do they have in the backyard?,143.0,"If they have c0 sets of tables and each set has c1 chairs, then the total number of chairs is c0 x c1. 
total_chairs = c0 x c1
The answer is total_chairs.","{'c0': 11.0, 'c1': 13.0}",143.0,"['total_chairs =  c0 x c1', 'answer = total_chairs']"
