,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0,"def Problem(c0, c1, c2):
    #Debby had c0 pieces of candy
    debby_candy = c0

    #Debby's sister had c1 pieces of candy
    sister_candy = c1

    #They ate c2 pieces of candy the first night
    eaten = c2

    #The total number of candy they have left can be calculated by subtracting the number of candy eaten from the total number of candy they had
    total_candy_left = debby_candy + sister_candy - eaten

    return total_candy_left","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39.0
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0,"def Problem(c0, c1, c2):
    #there are originally c0 siamese cats and c1 house cats
    total_cats = c0 + c1

    #during the sale, they sold c2 cats
    sold_cats = c2

    #The number of cats left can be calculated by subtracting the number of sold cats from the total number of cats
    cats_left = total_cats - sold_cats

    return cats_left","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0,"def good_games(c0, c1, c2):
    #Luke bought c0 games from a friend and c1 more at a garage sale
    total_games = c0 + c1

    #c2 of the games didn't work
    bad_games = c2

    #The number of good games Luke ended up with can be calculated by subtracting the number of bad games from the total number of games
    good_games = total_games - bad_games

    return good_games","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2.0
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"def Problem(c0, c1, c2):
    #the cafeteria ordered c0 red apples and c1 green apples
    total_apples = c0 + c1

    #if only c2 students wanted fruit, the cafeteria ended up with extra apples
    extra_apples = total_apples - c2

    return extra_apples","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40.0
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0,"def Problem(c0, c1, c2):
    #Lana picked c0 tulips and c1 roses
    total_picked = c0 + c1

    #she only used c2 of the flowers
    used = c2

    #The number of extra flowers Lana picked can be calculated by subtracting the number of flowers used from the total number of flowers picked
    extra = total_picked - used

    return extra","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3.0
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0,"def Problem(c0, c1, c2):
    #total number of carrots picked
    total = c0 + c1

    #number of bad carrots
    bad = total - c2

    return bad","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"def Problem(c0, c1, c2):
    #Roger originally had c0 dollars
    money_before = c0

    #He got c1 more dollars for his birthday
    birthday_money = c1

    #He spent c2 dollars on a new game
    spent_money = c2

    #The amount of money he has now can be calculated by adding the birthday money and subtracting the spent money from the original amount of money
    money_after = money_before + birthday_money - spent_money

    return money_after","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0,"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining = total_pictures - deleted_pictures

    return remaining","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0,"def Problem(c0, c1, c2):
    #Rachel has c0 pictures in the first coloring book and c1 pictures in the second coloring book
    total_pictures = c0 + c1

    #After one week, she has colored c2 pictures
    colored_pictures = c2

    #The number of pictures she still has to color can be calculated by subtracting the number of colored pictures from the total number of pictures
    remaining_pictures = total_pictures - colored_pictures

    return remaining_pictures","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0,"def Problem(c0, c1, c2):
    #Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school
    total_shirts = c0 + c1

    #If he had only washed c2 of them by the time school started
    washed_shirts = c2

    #The number of shirts he did not wash can be calculated by subtracting the number of washed shirts from the total number of shirts
    not_washed = total_shirts - washed_shirts

    return not_washed","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0
10," Oliver had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",66.0,"def Problem(c0, c1, c2):
    #total number of shirts to wash
    total = c0 + c1

    #number of shirts washed before school
    washed = c2

    #number of shirts not washed
    not_washed = total - washed

    return not_washed","{'c0': 39.0, 'c1': 47.0, 'c2': 20.0}",66.0
11, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,9.0,"def Problem(c0, c1, c2):
    #Wendy baked c0 cupcakes and c1 cookies
    pastries_before = c0 + c1

    #After the sale, she had c2 pastries left
    pastries_after = c2

    #The number of pastries she sold can be calculated by subtracting the number of pastries left from the original number of pastries
    pastries_sold = pastries_before - pastries_after

    return pastries_sold","{'c0': 4.0, 'c1': 29.0, 'c2': 24.0}",9.0
12," While on vacation, Debby took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",22.0,"def remaining_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining
    remaining_pictures = total_pictures - deleted_pictures

    return remaining_pictures","{'c0': 24.0, 'c1': 12.0, 'c2': 14.0}",22.0
13," Katie picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Katie pick? ",2.0,"def Problem(c0, c1, c2):
    #Katie picked c0 tulips and c1 roses
    total_picked = c0 + c1

    #Katie only used c2 of the flowers
    used = c2

    #The number of extra flowers Katie picked can be calculated by subtracting the number of flowers used from the total number of flowers picked
    extra = total_picked - used

    return extra","{'c0': 3.0, 'c1': 9.0, 'c2': 10.0}",2.0
14," Faye had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",15.0,"def homework_problems(c0, c1, c2):
    # Faye had c0 math problems and c1 science problems for homework
    total_homework = c0 + c1

    # If she finished c2 of the problems at school
    completed_at_school = c2

    # How many problems did she have to do for homework?
    remaining_homework = total_homework - completed_at_school

    return remaining_homework","{'c0': 46.0, 'c1': 9.0, 'c2': 40.0}",15.0
15," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",2.0,"def remaining_files(c0, c1, c2):
    #total number of files before deletion
    total_files = c0 + c1

    #number of files deleted
    deleted_files = c2

    #number of files remaining after deletion
    remaining_files = total_files - deleted_files

    return remaining_files","{'c0': 4.0, 'c1': 21.0, 'c2': 23.0}",2.0
16," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",14.0,"def good_games(c0, c1, c2):
    #total number of games Ned had
    total_games = c0 + c1

    #number of good games
    good_games = total_games - c2

    return good_games","{'c0': 11.0, 'c1': 22.0, 'c2': 19.0}",14.0
17, Chloe was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,86.0,"def total_points(c0, c1, c2):
    # Chloe's total points can be calculated by adding her points from the first and second rounds and then subtracting the points she lost in the last round
    total = c0 + c1 - c2
    return total","{'c0': 40.0, 'c1': 50.0, 'c2': 4.0}",86.0
18," At the arcade, Tom won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Tom have left? ",50.0,"def tickets_left(c0, c1, c2):
    #Tom won c0 tickets playing 'whack a mole'
    whack_a_mole_tickets = c0

    #Tom won c1 tickets playing 'skee ball'
    skee_ball_tickets = c1

    #Tom spent c2 tickets on a hat
    spent_tickets = c2

    #The number of tickets Tom has left can be calculated by adding the number of tickets he won from both games and then subtracting the number of tickets he spent on the hat
    tickets_left = whack_a_mole_tickets + skee_ball_tickets - spent_tickets

    return tickets_left","{'c0': 32.0, 'c1': 25.0, 'c2': 7.0}",50.0
19," Bianca and her mom were picking carrots from their garden. Bianca picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",25.0,"def Problem(c0, c1, c2):
    #Bianca picked c0 carrots
    bianca_picked = c0

    #Bianca's mom picked c1 carrots
    mom_picked = c1

    #Only c2 of the carrots were good
    good_carrots = c2

    #The total number of bad carrots can be calculated by adding the number of carrots picked by Bianca and her mom and then subtracting the number of good carrots
    bad_carrots = bianca_picked + mom_picked - good_carrots

    return bad_carrots","{'c0': 26.0, 'c1': 15.0, 'c2': 16.0}",25.0
20, For the school bake sale Katie made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,4.0,"def Problem(c0, c1, c2):
    #Katie baked c0 cupcakes and c1 cookies
    pastries_before = c0 + c1

    #After the sale, she had c2 pastries left
    pastries_after = c2

    #The number of pastries she sold can be calculated by subtracting the number of pastries left from the original number of pastries
    pastries_sold = pastries_before - pastries_after

    return pastries_sold","{'c0': 7.0, 'c1': 5.0, 'c2': 8.0}",4.0
21, Zoe bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,68.0,"def Problem(c0, c1, c2):
    #Zoe has c0 pictures in the first coloring book
    book1 = c0

    #Zoe has c1 pictures in the second coloring book
    book2 = c1

    #Zoe has colored c2 pictures in total
    colored = c2

    #The number of pictures Zoe still has to color can be calculated by subtracting the number of colored pictures from the total number of pictures
    remaining = book1 + book2 - colored

    return remaining","{'c0': 44.0, 'c1': 44.0, 'c2': 20.0}",68.0
22," John was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",6.0,"def good_games(c0, c1, c2):
    #total number of games John had
    total_games = c0 + c1

    #number of good games John has after removing c2 bad games
    good_games = total_games - c2

    return good_games","{'c0': 21.0, 'c1': 8.0, 'c2': 23.0}",6.0
23, Henry had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0,"def Problem(c0, c1, c2):
    #Henry originally had c0 dollars
    money_before = c0

    #He got c1 more dollars for his birthday
    birthday_money = c1

    #He spent c2 dollars on a new game
    spent_money = c2

    #The amount of money he has now can be calculated by adding the birthday money and subtracting the spent money from the original amount
    money_after = money_before + birthday_money - spent_money

    return money_after","{'c0': 11.0, 'c1': 18.0, 'c2': 10.0}",19.0
24," While on vacation, Gwen took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",55.0,"def vacation_pictures(c0, c1, c2):
    #total number of pictures taken
    total_pictures = c0 + c1

    #number of pictures deleted
    deleted_pictures = c2

    #number of pictures remaining after deletion
    remaining_pictures = total_pictures - deleted_pictures

    return remaining_pictures","{'c0': 41.0, 'c1': 29.0, 'c2': 15.0}",55.0
25," Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",34.0,"def Problem(c0, c1, c2):
    #Sam had to wash c0 short sleeve shirts and c1 long sleeve shirts before school
    total_shirts = c0 + c1

    #If he had only washed c2 of them by the time school started
    washed_shirts = c2

    #The number of shirts he did not wash can be calculated by subtracting the number of washed shirts from the total number of shirts
    not_washed = total_shirts - washed_shirts

    return not_washed","{'c0': 40.0, 'c1': 23.0, 'c2': 29.0}",34.0
26, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,12.0,"def Problem(c0, c1, c2):
    #there are originally c0 siamese cats and c1 house cats
    total_cats = c0 + c1

    #during the sale, they sold c2 cats
    sold_cats = c2

    #The number of cats left can be calculated by subtracting the number of sold cats from the total number of cats
    cats_left = total_cats - sold_cats

    return cats_left","{'c0': 12.0, 'c1': 20.0, 'c2': 20.0}",12.0
27," Faye and her mom were picking carrots from their garden. Faye picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",16.0,"def Problem(c0, c1, c2):
    #Faye picked c0 carrots
    faye_picked = c0

    #Faye's mom picked c1 carrots
    mom_picked = c1

    #Only c2 of the carrots were good
    good_carrots = c2

    #The number of bad carrots can be calculated by subtracting the number of good carrots from the total number of carrots picked
    bad_carrots = faye_picked + mom_picked - good_carrots

    return bad_carrots","{'c0': 23.0, 'c1': 5.0, 'c2': 12.0}",16.0
28," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,"def Problem(c0, c1, c2):
    #the cafeteria ordered c0 red apples and c1 green apples
    total_apples = c0 + c1

    #if only c2 students wanted fruit, the cafeteria ended up with extra apples
    extra_apples = total_apples - c2

    return extra_apples","{'c0': 43.0, 'c1': 32.0, 'c2': 2.0}",73.0
29," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",17.0,"def Problem(c0, c1, c2):
    #total number of students who tried out
    total = c0 + c1

    #number of students who made the cut
    made_cut = c2

    #number of students who didn't make the cut can be calculated by subtracting the number of students who made the cut from the total number of students who tried out
    not_made_cut = total - made_cut

    return not_made_cut","{'c0': 39.0, 'c1': 4.0, 'c2': 26.0}",17.0
30, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,18.0,"def Problem(c0, c1, c2):
    #there are originally c0 siamese cats and c1 house cats
    total_cats = c0 + c1

    #during the sale, they sold c2 cats
    sold_cats = c2

    #The number of cats left can be calculated by subtracting the number of sold cats from the total number of cats
    cats_left = total_cats - sold_cats

    return cats_left","{'c0': 38.0, 'c1': 25.0, 'c2': 45.0}",18.0
31, For the school bake sale Paige made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,41.0,"def Problem(c0, c1, c2):
    #Paige baked c0 cupcakes and c1 cookies
    pastries_before = c0 + c1

    #After the sale, she had c2 pastries left
    pastries_after = c2

    #The number of pastries she sold can be calculated by subtracting the number of pastries left from the original number of pastries
    pastries_sold = pastries_before - pastries_after

    return pastries_sold","{'c0': 36.0, 'c1': 9.0, 'c2': 4.0}",41.0
32, Carol was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,7.0,"def total_points(c0, c1, c2):
    # Carol's total points after the first round
    total = c0

    # Add the points she scored in the second round
    total += c1

    # Subtract the points she lost in the last round
    total -= c2

    return total","{'c0': 17.0, 'c1': 6.0, 'c2': 16.0}",7.0
33, Gwen bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,36.0,"def Problem(c0, c1, c2):
    #Gwen has c0 pictures in the first coloring book
    book1 = c0

    #Gwen has c1 pictures in the second coloring book
    book2 = c1

    #Gwen has colored c2 pictures in total
    colored = c2

    #The number of pictures she still has to color can be calculated by subtracting the number of colored pictures from the total number of pictures
    remaining = book1 + book2 - colored

    return remaining","{'c0': 10.0, 'c1': 39.0, 'c2': 13.0}",36.0
34," For Halloween Janet and her sister combined the candy they received. Janet had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",63.0,"def Problem(c0, c1, c2):
    #Janet had c0 pieces of candy
    janet_candy = c0

    #Janet's sister had c1 pieces of candy
    sister_candy = c1

    #They ate c2 pieces of candy the first night
    eaten = c2

    #The total number of candy they have left can be calculated by subtracting the number of candy eaten from the total number of candy they had
    total_candy_left = janet_candy + sister_candy - eaten

    return total_candy_left","{'c0': 34.0, 'c1': 33.0, 'c2': 4.0}",63.0
35," Haley and her mom were picking carrots from their garden. Haley picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",13.0,"def Problem(c0, c1, c2):
    #Haley picked c0 carrots
    haley_picked = c0

    #Haley's mom picked c1 carrots
    mom_picked = c1

    #Only c2 of the carrots were good
    good_carrots = c2

    #The number of bad carrots can be calculated by subtracting the number of good carrots from the total number of carrots picked
    bad_carrots = haley_picked + mom_picked - good_carrots

    return bad_carrots","{'c0': 39.0, 'c1': 38.0, 'c2': 64.0}",13.0
36," There were c0 girls and c1 boys trying out for the schools basketball team. If only c2 of them got called back, how many students didn't make the cut? ",56.0,"def Problem(c0, c1, c2):
    #total number of students who tried out
    total = c0 + c1

    #number of students who made the cut
    made_cut = c2

    #number of students who didn't make the cut can be calculated by subtracting the number of students who made the cut from the total number of students who tried out
    not_made_cut = total - made_cut

    return not_made_cut","{'c0': 30.0, 'c1': 36.0, 'c2': 10.0}",56.0
37, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,15.0,"def Problem(c0, c1, c2):
    #Roger originally had c0 dollars
    money_before = c0

    #He got c1 more dollars for his birthday
    birthday_money = c1

    #He spent c2 dollars on a new game
    spent_money = c2

    #The amount of money he has now can be calculated by adding the birthday money and subtracting the spent money from the original amount of money
    money_after = money_before + birthday_money - spent_money

    return money_after","{'c0': 29.0, 'c1': 20.0, 'c2': 34.0}",15.0
38," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",5.0,"def Problem(c0, c1, c2):
    #Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school
    total_shirts = c0 + c1

    #If he had only washed c2 of them by the time school started
    washed_shirts = c2

    #The number of shirts he did not wash can be calculated by subtracting the number of washed shirts from the total number of shirts
    not_washed = total_shirts - washed_shirts

    return not_washed","{'c0': 29.0, 'c1': 11.0, 'c2': 35.0}",5.0
39," Edward was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",24.0,"def good_games(c0, c1, c2):
    #total number of games Edward had
    total_games = c0 + c1

    #number of good games Edward has after removing c2 bad games
    good_games = total_games - c2

    return good_games","{'c0': 41.0, 'c1': 14.0, 'c2': 31.0}",24.0
40," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0,"def Problem(c0, c1, c2):
    #Sam bought c0 adventure books and c1 mystery books
    total_books = c0 + c1

    #c2 of the books were used
    used_books = c2

    #The number of new books Sam bought can be calculated by subtracting the number of used books from the total number of books he bought
    new_books = total_books - used_books

    return new_books","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15.0
41," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0,"def remaining_files(c0, c1, c2):
    #total number of files before deletion
    total_files = c0 + c1

    #number of files deleted
    deleted_files = c2

    #number of files remaining after deletion
    remaining_files = total_files - deleted_files

    return remaining_files","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0
42, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0,"def Problem(c0, c1, c2):
    #Oliver originally had c0 dollars
    money_before = c0

    #He got c1 more dollars for his birthday
    birthday_money = c1

    #He spent c2 dollars on a new game
    spent_money = c2

    #The amount of money he has now can be calculated by adding the birthday money and subtracting the spent money from the original amount of money
    money_after = money_before + birthday_money - spent_money

    return money_after","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0
43, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0,"def total_points(c0, c1, c2):
    # Emily scored c0 points in the first round
    round1 = c0

    # Emily scored c1 points in the second round
    round2 = c1

    # Emily lost c2 points in the last round
    lost = c2

    # The total points Emily had at the end of the game can be calculated by adding the points from the first two rounds and subtracting the lost points in the last round
    total = round1 + round2 - lost

    return total","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0
44," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0,"def homework_problems(c0, c1, c2):
    #total number of problems is the sum of math and science problems
    total_problems = c0 + c1

    #number of problems completed at school is c2
    completed_at_school = c2

    #number of problems left to do for homework is the difference between total problems and completed at school
    homework_problems = total_problems - completed_at_school

    return homework_problems","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11.0
45," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",35.0,"def Problem(c0, c1, c2):
    #the cafeteria ordered c0 red apples and c1 green apples
    total_apples = c0 + c1

    #if only c2 students wanted fruit, the cafeteria ended up with extra apples
    extra_apples = total_apples - c2

    return extra_apples","{'c0': 33.0, 'c1': 23.0, 'c2': 21.0}",35.0
46," Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",16.0,"def Problem(c0, c1, c2):
    #Dave had to wash c0 short sleeve shirts and c1 long sleeve shirts before school
    total_shirts = c0 + c1

    #If he had only washed c2 of them by the time school started
    washed_shirts = c2

    #The number of shirts he did not wash can be calculated by subtracting the number of washed shirts from the total number of shirts
    not_washed = total_shirts - washed_shirts

    return not_washed","{'c0': 9.0, 'c1': 27.0, 'c2': 20.0}",16.0
47," While on vacation, Rachel took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",4.0,"def vacation_pictures(c0, c1, c2):
    # Rachel took c0 pictures at the zoo and c1 at the museum
    total_pictures = c0 + c1

    # She later deleted c2 of the pictures
    remaining_pictures = total_pictures - c2

    return remaining_pictures","{'c0': 6.0, 'c1': 9.0, 'c2': 11.0}",4.0
48," Vanessa and her mom were picking carrots from their garden. Vanessa picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0,"def Problem(c0, c1, c2):
    #Vanessa picked c0 carrots
    vanessa_picked = c0

    #Vanessa's mom picked c1 carrots
    mom_picked = c1

    #Only c2 of the carrots were good
    good_carrots = c2

    #The total number of bad carrots can be calculated by adding the number of carrots picked by Vanessa and her mom and then subtracting the number of good carrots
    bad_carrots = vanessa_picked + mom_picked - good_carrots

    return bad_carrots","{'c0': 17.0, 'c1': 14.0, 'c2': 24.0}",7.0
49, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,54.0,"def Problem(c0, c1, c2):
    #there are originally c0 siamese cats and c1 house cats
    total_cats = c0 + c1

    #during the sale, they sold c2 cats
    sold_cats = c2

    #The number of cats left can be calculated by subtracting the number of sold cats from the total number of cats
    cats_left = total_cats - sold_cats

    return cats_left","{'c0': 41.0, 'c1': 28.0, 'c2': 15.0}",54.0
50," At the schools book fair Sam bought c0 adventure books and c1 mystery books. If c2 of the books were used, how many new books did he buy? ",15.0,"def Problem(c0, c1, c2):
    #Sam bought c0 adventure books and c1 mystery books
    total_books = c0 + c1

    #c2 of the books were used
    used_books = c2

    #The number of new books Sam bought can be calculated by subtracting the number of used books from the total number of books he bought
    new_books = total_books - used_books

    return new_books","{'c0': 13.0, 'c1': 17.0, 'c2': 15.0}",15.0
51," Amy had c0 music files and c1 video files on her flash drive. If she deleted c2 of the files, how many files were still on her flash drive? ",14.0,"def remaining_files(c0, c1, c2):
    #total number of files before deletion
    total_files = c0 + c1

    #number of files deleted
    deleted_files = c2

    #number of files remaining after deletion
    remaining_files = total_files - deleted_files

    return remaining_files","{'c0': 26.0, 'c1': 36.0, 'c2': 48.0}",14.0
52, Oliver had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,1.0,"def Problem(c0, c1, c2):
    #Oliver originally had c0 dollars
    money_before = c0

    #He got c1 more dollars for his birthday
    birthday_money = c1

    #He spent c2 dollars on a new game
    spent_money = c2

    #The amount of money he has now can be calculated by adding the birthday money and subtracting the spent money from the original amount of money
    money_after = money_before + birthday_money - spent_money

    return money_after","{'c0': 35.0, 'c1': 50.0, 'c2': 84.0}",1.0
53, Emily was playing a trivia game. In the first round she scored c0 points and in the second round she scored c1 points. In the last round she lost c2 points. How many points did she have at the end of the game? ,1.0,"def total_points(c0, c1, c2):
    # Emily scored c0 points in the first round
    round1 = c0

    # Emily scored c1 points in the second round
    round2 = c1

    # Emily lost c2 points in the last round
    lost = c2

    # The total points Emily had at the end of the game can be calculated by adding the points from the first two rounds and subtracting the lost points in the last round
    total = round1 + round2 - lost

    return total","{'c0': 16.0, 'c1': 33.0, 'c2': 48.0}",1.0
54," Paige had c0 math problems and c1 science problems for homework. If she finished c2 of the problems at school, how many problems did she have to do for homework? ",11.0,"def homework_problems(c0, c1, c2):
    #total number of problems is the sum of math and science problems
    total_problems = c0 + c1

    #number of problems Paige has to do for homework is the difference between total problems and the problems she finished at school
    homework_problems = total_problems - c2

    return homework_problems","{'c0': 43.0, 'c1': 12.0, 'c2': 44.0}",11.0
