,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"Debby had 32 pieces of candy and her sister had 42, so they had 32 + 42 = 74 pieces of candy in total. They ate 35 pieces the first night, so they have 74 - 35 = 39 pieces of candy left. The answer is 39.",,39.0,0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,The pet store had 13 + 5 = 18 cats in total. They sold 10 cats during the sale. So they have 18 - 10 = 8 cats left. The answer is 8.,,8.0,0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"Luke bought 2 games from a friend and 2 more at a garage sale, so he had 2 + 2 = 4 games in total. However, 2 of the games didn't work, so he ended up with 4 - 2 = 2 good games. The answer is 2.",,2.0,0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"The cafeteria ordered 42 red apples and 7 green apples, so they have 42 + 7 = 49 apples in total. If only 9 students wanted fruit, they would need 9 * 1 = 9 apples in total. So the cafeteria has 49 - 9 = 40 extra apples. The answer is 40.",,40.0,0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"Lana picked 36 tulips and 37 roses, so she picked a total of 36 + 37 = 73 flowers. She only used 70 of the flowers, so she had 73 - 70 = 3 extra flowers. The answer is 3.",,3.0,0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots. If only 38 of the carrots were good, then they had 45 - 38 = 7 bad carrots. The answer is 7.",,7.0,0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"Roger had 16 dollars. He got 28 more dollars for his birthday, so he had 16 + 28 = 44 dollars. He spent 25 dollars on a new game, so he has 44 - 25 = 19 dollars now. The answer is 19.",,19.0,0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"Megan took 15 pictures at the zoo and 18 at the museum, so she had 15 + 18 = 33 pictures in total. She deleted 31 pictures, so she still had 33 - 31 = 2 pictures from her vacation. The answer is 2.",,2.0,0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"Rachel bought two coloring books. One had 23 pictures and the other had 32. In total, she had 23 + 32 = 55 pictures. After one week, she had colored 44 of them. So she still has 55 - 44 = 11 pictures left to color. The answer is 11.",,11.0,0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"Ned had to wash 9 + 21 = 30 shirts in total. He washed 29 of them, so he did not wash 30 - 29 = 1 shirt. The answer is 1.",,1.0,0
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"Oliver had to wash 39 + 47 = 86 shirts in total. He had only washed 20 of them by the time school started, so he still had 86 - 20 = 66 shirts left to wash. The answer is 66.",,66.0,0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"Wendy baked 4 cupcakes and 29 cookies, so she made 4 + 29 = 33 pastries in total. She had 24 pastries left after the sale, so she sold 33 - 24 = 9 pastries. The answer is 9.",,9.0,0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,"Debby took 24 pictures at the zoo and 12 at the museum, so she had 24 + 12 = 36 pictures in total. She deleted 14 pictures, so she still had 36 - 14 = 22 pictures from her vacation. The answer is 22.",,22.0,0
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0,"Katie picked 3 tulips and 9 roses, so she picked a total of 3 + 9 = 12 flowers. She only used 10 of them, so she has 12 - 10 = 2 extra flowers. Katie picked 2 extra flowers. The answer is 2.",,2.0,0
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0,"Faye had 46 math problems and 9 science problems for homework, so she had a total of 46 + 9 = 55 problems. She finished 40 of them at school, so she had 55 - 40 = 15 problems left to do for homework. The answer is 15.",,15.0,0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0,"Amy had 4 + 21 = 25 files on her flash drive. She deleted 23 of them, so she had 25 - 23 = 2 files left on her flash drive. The answer is 2.",,2.0,0
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0,"Ned bought 11 games from a friend and 22 more at a garage sale, so he had 11 + 22 = 33 games in total. However, 19 of them didn't work, so he ended up with 33 - 19 = 14 good games. The answer is 14.",,14.0,0
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0,"Chloe scored 40 points in the first round and 50 points in the second round, so she had 40 + 50 = 90 points. In the last round, she lost 4 points, so she had 90 - 4 = 86 points at the end of the game. The answer is 86.",,86.0,0
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0,"Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. In total, he won 32 + 25 = 57 tickets. He spent 7 tickets on a hat, so he has 57 - 7 = 50 tickets left. The answer is 50.",,50.0,0
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0,"Bianca picked 26 carrots and her mother picked 15, so they picked a total of 26 + 15 = 41 carrots. If only 16 of the carrots were good, then they had 41 - 16 = 25 bad carrots. The answer is 25.",,25.0,0
20, For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,4.0,"Katie baked 7 cupcakes and 5 cookies, so she made 7 + 5 = 12 pastries in total. She had 8 pastries left after the sale, so she sold 12 - 8 = 4 pastries. The answer is 4.",,4.0,0
21, Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,68.0,"Zoe bought two coloring books, each with 44 pictures. So she has a total of 44 + 44 = 88 pictures. After one week, she colored 20 pictures. So she still has 88 - 20 = 68 pictures left to color. The answer is 68.",,68.0,0
22," John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ",6.0,"John bought 21 games from a friend and 8 more at a garage sale, so he had 21 + 8 = 29 games in total. However, 23 of them didn't work, so he ended up with 29 - 23 = 6 good games. The answer is 6.",,6.0,0
23, Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,19.0,"Henry had 11 dollars. He got 18 more dollars for his birthday, so he had 11 + 18 = 29 dollars. He spent 10 dollars on a new game, so he has 29 - 10 = 19 dollars now. The answer is 19.",,19.0,0
24," While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ",55.0,"Gwen took 41 pictures at the zoo and 29 at the museum, so she had 41 + 29 = 70 pictures in total. She deleted 15 pictures, so she still had 70 - 15 = 55 pictures from her vacation. The answer is 55.",,55.0,0
25," Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",34.0,"Sam had to wash 40 + 23 = 63 shirts in total. He had only washed 29 of them by the time school started, so he did not wash 63 - 29 = 34 shirts. The answer is 34.",,34.0,0
26, A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,12.0,"The pet store had 12 siamese cats and 20 house cats, so they had 12 + 20 = 32 cats in total. During the sale, they sold 20 cats, so they have 32 - 20 = 12 cats left. The answer is 12.",,12.0,0
27," Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ",16.0,"Faye picked 23 carrots and her mother picked 5, so they picked a total of 23 + 5 = 28 carrots. If only 12 of the carrots were good, then they had 28 - 12 = 16 bad carrots. The answer is 16.",,16.0,0
