,question,answer,response,mapping,response_answer
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51.0,"def calculate_price(c0, c1):
    #calculate the discounted price
    discounted_price = c0 - c1

    return discounted_price","{'c0': 76.0, 'c1': 25.0}",51.0
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1.0,"def candy_bar_cost(c0, c1):
    # Dan had c0 left after buying the candy bar
    # Dan had c1 at the start
    # The cost of the candy bar can be calculated by subtracting c0 from c1
    cost = c1 - c0
    return cost","{'c0': 3.0, 'c1': 4.0}",1.0
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17.0,"def remaining_salty_cookies(c0, c1, c2, c3):
    # Paco had c0 salty cookies and ate c3 salty cookies
    salty_cookies_before = c0
    salty_cookies_eaten = c3

    # Paco had c1 sweet cookies and ate c2 sweet cookies
    sweet_cookies_before = c1
    sweet_cookies_eaten = c2

    # Calculate the remaining salty cookies by subtracting the eaten salty cookies from the original number of salty cookies
    remaining_salty_cookies = salty_cookies_before - salty_cookies_eaten

    return remaining_salty_cookies","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",17.0
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22.0,"def children_on_bus(c0, c1):
    # c0 children were originally on the bus
    # c1 children were left on the bus after some got off at the bus stop
    # the number of children who got off the bus can be calculated by subtracting c1 from c0
    children_off = c0 - c1
    return children_off","{'c0': 43.0, 'c1': 21.0}",22.0
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"def children_on_bus(c0, c1, c2):
    #calculate the number of children who got off the bus
    got_off = c0 - (c2 - c1)
    
    #calculate the difference between the number of children who got on and off the bus
    difference = c1 - got_off
    
    return difference","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",2.0
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"def Problem(c0, c1, c2):
    #Olivia had c0 dollars in her wallet
    wallet_before = c0

    #She collected c1 more dollars from an atm
    collected = c1

    #After visiting the supermarket, she had c2 dollars left
    wallet_after = c2

    #The amount she spent at the supermarket can be calculated by subtracting the amount of money she had after visiting the supermarket from the amount she had before collecting money from the atm
    spent = wallet_before - wallet_after - collected

    #The amount she collected at the atm minus the amount she spent at the supermarket is the difference between the two
    difference = collected - spent

    return difference","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",144.0
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"def initial_figures(c0, c1):
    #initial number of action figures can be calculated by subtracting the added figures from the total number of figures
    initial = c1 - c0
    return initial","{'c0': 7.0, 'c1': 10.0}",3.0
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"def cookie_problem(c0, c1, c2):
    # Paco had c0 cookies
    cookies_before = c0

    # He gave c1 cookies to his friend
    cookies_given = c1

    # He ate c2 cookies
    cookies_eaten = c2

    # Calculate the difference between the cookies he ate and the cookies he gave to his friend
    difference = cookies_eaten - cookies_given

    return difference","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9.0
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4.0,"def remaining_flour(c0, c1, c2, c3):
    #calculate the remaining amount of flour needed by subtracting the amount already added from the total required amount
    remaining = c1 - c3
    return remaining","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4.0
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21.0,"def customers_at_start(c0, c1):
    # The waiter had c0 customers at the start
    # After some customers left, he had c1 customers
    # The number of customers who left can be calculated by subtracting the number of customers after from the number of customers before
    customers_left = c0 - c1

    # The number of customers at the start can be calculated by adding the number of customers who left to the number of customers after
    customers_at_start = c1 + customers_left

    return customers_at_start","{'c0': 9.0, 'c1': 12.0}",9.0
10,c0 birds were sitting on the fence. c1 more storks and c2 more birds came to join them.How many more storks than birds are sitting on the fence?,1.0,"def bird_count(c0, c1, c2):
    #total number of birds on the fence
    total_birds = c0 + c1 + c2

    #number of storks on the fence
    storks = c1

    #number of birds on the fence
    birds = c0 + c2

    #difference between number of storks and birds on the fence
    diff = storks - birds

    return diff","{'c0': 3.0, 'c1': 6.0, 'c2': 2.0}",1.0
