,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,".
A: mapping:{x: pieces of candy left}
Debby had 32 pieces of candy, sister had 42, and they ate 35 the first night.
Eq1: 32+42-35=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32+42-35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,39.0,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"
A: mapping:{x: cats they have left}
There were 13 siamese cats and 5 house cats. 10 were sold during a sale.
Eq1: 13+5-10=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,13+5-10)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,8.0,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"
A: mapping:{x: good games}
Luke bought 2 games from a friend and 2 more from a garage sale. 2 of them were not working.
Eq1: x=2+2-2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,2+2-2)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,".
A: mapping:{x: extra apples the cafeteria end up with}
The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit,
Eq1: 42+7-9=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,42+7-9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,40.0,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"
A: mapping:{x: extra flowers Lana picked}
Lana picked 36 tulips and 37 roses. She only used 70 of the flowers.
Eq1: 36+37-70=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,36+37-70)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0,1
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"
A: mapping:{x: bad carrots they have}
Carol picked 29 carrots, her mother picked 16 carrots, and 38 of them were good.
Eq1: 29+16-38=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,29+16-38)
print(solve(Eq1,x))
We got 17 from sympy, so the answer is 17.",,17.0,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"
A: mapping:{x:money Roger have now}
Roger had 16 dollars. He got 28 more dollars but spent 25 on a new game.
Eq1: x=16+28-25
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,16+28-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"
A: mapping:{x: pictures from her vacation she still have}
Megan took 15 pictures at the zoo and 18 at the museum. She later deleted 31 pictures. 
Eq1: x=15+18-31
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15+18-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"
A: mapping:{x: pictures she still have to color}
Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures.
Eq1: 44-23-32=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,44-23-32)
print(solve(Eq1,x))
We got -11 from sympy, so the answer is -11.",,11.0,1
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"
A: mapping:{x: shirts he did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts. He only washed 29 by the time school started.
Eq1: 9+21-29=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,9+21-29)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,1.0,1
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"
A: mapping:{x: shirts he did not wash}
Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts. He only washed 20 by the time school started.
Eq1: x=39+47-20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,39+47-20)
print(solve(Eq1,x))
We got 66 from sympy, so the answer is 66.",,66.0,1
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"
A: mapping:{x: pastries she sold}
Wendy baked 4 cupcakes and 29 cookies. She had 24 left over, so she sold 
Eq1: 4+29-24=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4+29-24)
print(solve(Eq1,x))
We got 9 from sympy, so the answer is 9.",,9.0,1
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,".
A: mapping:{x: pictures from her vacation she still have}
Debby took 24 pictures at the zoo and 12 at the museum. She later deleted 14 pictures. 
Eq1: 24+12-14=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,24+12-14)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is 22.",,22.0,1
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0,"
A: mapping:{x: extra flowers Katie pick}
Katie picked 3 tulips and 9 roses. She only used 10 of the flowers.
Eq1: 3+9-10=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,3+9-10)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0,"
A: mapping:{x:problems she have to do for homework}
Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, she would have 6 math problems and 9 science problems left.
Eq1: x=6+9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,6+9)
print(solve(Eq1,x))
We got 15 from sympy, so the answer is 15.",,15.0,1
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0,"
A: mapping:{x:files still on her flash drive}
Amy had 4 music files and 21 video files. She deleted 23 files in total.
Eq1: x=4+21-23
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4+21-23)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
16," Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14.0,"
A: mapping:{x: good games did he end up with}
Ned bought 11 games from a friend and 22 more from a garage sale. If 19 of them were no good, then he would have 11+22-19=14 good games.
Eq1: x=11+22-19
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,11+22-19)
print(solve(Eq1,x))
We got 14 from sympy, so the answer is 14.",,14.0,1
17, Chloe was playing a trivia game. In the first round she scored 40 points and in the second round she scored 50 points. In the last round she lost 4 points. How many points did she have at the end of the game? ,86.0,"
A: mapping:{x: points she had at the end of the game}
Chloe scored 40 points in the first round, 50 points in the second round, and lost 4 points in the last round.
Eq1: x=40+50-4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,40+50-4)
print(solve(Eq1,x))
We got 86 from sympy, so the answer is 86.",,86.0,1
18," At the arcade, Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. If he spent 7 of his tickets on a hat, how many tickets does Tom have left? ",50.0,"
A: mapping:{x:tickets Tom have left}
Tom won 32 tickets playing 'whack a mole' and 25 tickets playing 'skee ball'. 
Eq1: 32+25-7=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32+25-7)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is 50.",,50.0,1
19," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",25.0,"
A: mapping:{x: bad carrots they have}
Bianca picked 26 carrots, her mother picked 15, and 16 were good.
Eq1: 26+15-16=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,26+15-16)
print(solve(Eq1,x))
We got 25 from sympy, so the answer is 25.",,25.0,1
20, For the school bake sale Katie made pastries. She baked 7 cupcakes and 5 cookies. After the sale she had 8 to take back home. How many pastries did she sell? ,4.0,"
A: mapping:{x: pastries she sold}
Katie made 7 cupcakes and 5 cookies. She sold some and had 8 left over.
Eq1: 7+5-8=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,7+5-8)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is 4.",,4.0,1
21, Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures. How many pictures does she still have to color? ,68.0,"
A: mapping:{x: pictures she still have to color}
Zoe bought two coloring books. One had 44 pictures and the other had 44. After one week she had already colored 20 of the pictures.
Eq1: 44+44-20=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,44+44-20)
print(solve(Eq1,x))
We got 68 from sympy, so the answer is 68.",,68.0,1
22," John was trying to expand his game collection. He bought 21 games from a friend and bought 8 more at a garage sale. If 23 of the games didn't work, how many good games did he end up with? ",6.0,"
A: mapping:{x: games he end up with}
John bought 21 games and 8 more. If 23 of them didn't work, then we need to find out how many are left.
Eq1: x=21+8-23
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,21+8-23)
print(solve(Eq1,x))
We got 6 from sympy, so the answer is 6.",,6.0,1
23, Henry had 11 dollars. For his birthday he got 18 more dollars but spent 10 on a new game. How much money does he have now? ,19.0,"
A: mapping:{x:money he have now}
Henry had 11 dollars. He got 18 more dollars but spent 10 on a new game.
Eq1: x=11+18-10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,11+18-10)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0,1
24," While on vacation, Gwen took 41 pictures at the zoo and 29 at the museum. If she later deleted 15 of the pictures, how many pictures from her vacation did she still have? ",55.0,"
A: mapping:{x: pictures from her vacation did she still have}
Gwen took 41 pictures at the zoo and 29 at the museum. She later deleted 15 pictures. 
Eq1: 41+29-15=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,41+29-15)
print(solve(Eq1,x))
We got 55 from sympy, so the answer is 55.",,55.0,1
25," Sam had to wash 40 short sleeve shirts and 23 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",34.0,"
A: mapping:{x:shirts he did not wash}
He had to wash 40 short sleeve shirts and 23 long sleeve shirts. He only washed 29 of them.
Eq1: x=40+23-29
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,40+23-29)
print(solve(Eq1,x))
We got 34 from sympy, so the answer is 34.",,34.0,1
26, A pet store had 12 siamese cats and 20 house cats. During a sale they sold 20 cats. How many cats do they have left? ,12.0,"
A: mapping:{x: cats they have left}
There were 12 siamese cats and 20 house cats. They sold 20 cats in total.
Eq1: x=12+20-20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,12+20-20)
print(solve(Eq1,x))
We got 12 from sympy, so the answer is 12.",,12.0,1
27," Faye and her mom were picking carrots from their garden. Faye picked 23 and her mother picked 5. If only 12 of the carrots were good, how many bad carrots did they have? ",16.0,"
A: mapping:{x: bad carrots they have}
Faye picked 23 carrots and her mother picked 5. If only 12 of the carrots were good, 
Eq1: 23+5-12=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,23+5-12)
print(solve(Eq1,x))
We got 16 from sympy, so the answer is 16.",,16.0,1
28," The school cafeteria ordered 43 red apples and 32 green apples for students lunches. But, if only 2 students wanted fruit, how many extra did the cafeteria end up with? ",73.0,".
A: mapping:{x: extra apples the cafeteria end up with}
The school cafeteria ordered 43 red apples and 32 green apples. But if only 2 students wanted fruit, 
Eq1: 43+32-2=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,43+32-2)
print(solve(Eq1,x))
We got 73 from sympy, so the answer is 73.",,73.0,1
