,question,answer,response,mapping,response_answer
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,"Debby had 32 pieces of candy and her sister had 42, so they had a total of 32 + 42 = 74 pieces of candy. After eating 35 pieces, they have 74 - 35 = 39 pieces of candy left. 

The answer is 39.",,39.0
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"The pet store had 13 siamese cats and 5 house cats, for a total of 13 + 5 = 18 cats. They sold 10 cats during the sale, so they have 18 - 10 = 8 cats left. 

The answer is 8.",,8.0
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"Luke started with 2 games from his friend and bought 2 more at the garage sale, so he had a total of 4 games. If 2 of them didn't work, he was left with 4 - 2 = 2 good games. 

The answer is 2.",,2.0
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,"The cafeteria ordered 42 red apples and 7 green apples, for a total of 42 + 7 = 49 apples. If only 9 students wanted fruit, they only needed 9 apples. 

So the cafeteria ended up with 49 - 9 = 40 extra apples. 

The answer is 40.",,40.0
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"Lana picked 36 tulips and 37 roses, so she picked a total of 36 + 37 = 73 flowers. 
If she only used 70 of the flowers, then she had 73 - 70 = 3 extra flowers. 

The answer is 3.",,3.0
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"Carol picked 29 carrots and her mother picked 16, so they had a total of 29 + 16 = 45 carrots. If only 38 of them were good, then they had 45 - 38 = 7 bad carrots. 

The answer is 7.",,7.0
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"Roger started with 16 dollars. He got 28 more dollars for his birthday, so he had 16 + 28 dollars. 
total_money = 16 + 28
total_money = 44

After spending 25 dollars on a new game, he had 44 - 25 dollars left. 
money_left = 44 - 25
money_left = 19

The answer is 19.",,19.0
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures. After deleting 31 pictures, she was left with 33 - 31 = 2 pictures. 

The answer is 2.",,2.0
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"Rachel had 23 + 32 = 55 pictures in total. After coloring 44, she still has 55 - 44 pictures left to color. 
pictures_left = 55 - 44
pictures_left = 11

The answer is 11.",,11.0
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"Ned had to wash a total of 9 + 21 shirts, which is 30 shirts in total. If he only washed 29 of them, then he did not wash 30 - 29 shirts. 
shirts_not_washed = 30 - 29
shirts_not_washed = 1

The answer is 1.",,1.0
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"Oliver had to wash 39 + 47 shirts in total, which is 86 shirts. He washed 20 of them, so he still had to wash 86 - 20 shirts. 
shirts_not_washed = 86 - 20
shirts_not_washed = 66

The answer is 66.",,66.0
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"Wendy made 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries. If she took 24 pastries back home, then she must have sold 33 - 24 = 9 pastries. 

The answer is 9.",,9.0
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,"Debby took 24 pictures at the zoo and 12 at the museum, so she had a total of 24 + 12 = 36 pictures. After deleting 14 pictures, she had 36 - 14 = 22 pictures left. 

The answer is 22.",,22.0
13," Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2.0,"Katie picked 3 tulips and 9 roses, so she picked a total of 3 + 9 = 12 flowers. 
If she only used 10 of the flowers, then she had 12 - 10 = 2 extra flowers. 

The answer is 2.",,2.0
14," Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15.0,"Faye had 46 math problems and 9 science problems for homework. So she had a total of 46 + 9 problems. 
total_problems = 46 + 9
total_problems = 55

If she finished 40 of the problems at school, she still had 55 - 40 problems left to do for homework. 
homework_problems = 55 - 40
homework_problems = 15

The answer is 15.",,15.0
15," Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2.0,"Amy had 4 music files and 21 video files, so she had a total of 4 + 21 = 25 files on her flash drive. After deleting 23 files, she was left with 25 - 23 = 2 files on her flash drive. 

The answer is 2.",,2.0
