,question,answer,response,mapping,response_answer,equations,correct
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39,"Debby had c0 pieces of candy and her sister had c1. In total, they had c0 + c1 pieces of candy. After eating c2 pieces, they have c0 + c1 - c2 pieces left. 
remaining_candy = c0 + c1 - c2
The answer is remaining_candy.","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39,"['remaining_candy =  c0 + c1 - c2', 'answer = remaining_candy']",1
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8,"The pet store had c0 siamese cats and c1 house cats, so they had a total of c0 + c1 cats. After selling c2 cats, they have c0 + c1 - c2 cats left. 
cats_remaining = c0 + c1 - c2
The answer is cats_remaining.","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8,"['cats_remaining =  c0 + c1 - c2', 'answer = cats_remaining']",1
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2,"Luke started with c0 games. He bought c1 more, so he had c0 + c1 games in total. But c2 of them didn't work, so he had c0 + c1 - c2 good games left. 
good_games = c0 + c1 - c2
The answer is good_games.","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2,"['good_games =  c0 + c1 - c2', 'answer = good_games']",1
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40,"The cafeteria ordered c0 red apples and c1 green apples, for a total of c0 + c1 apples. But only c2 students wanted fruit, so they only needed c2 apples. 
apples_needed = c2
The cafeteria ended up with extra apples, which is the difference between the total ordered and the amount needed. 
extra_apples = (c0 + c1) - apples_needed
The answer is extra_apples.","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40,"['apples_needed =  c2', 'extra_apples =  (c0 + c1) - apples_needed', 'answer = extra_apples']",1
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3,"Lana picked c0 tulips and c1 roses, so she picked a total of c0 + c1 flowers. If she only used c2 of them, then she had c0 + c1 - c2 extra flowers. 
extra_flowers = c0 + c1 - c2
The answer is extra_flowers.","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3,"['extra_flowers =  c0 + c1 - c2', 'answer = extra_flowers']",1
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7,"Carol picked c0 carrots and her mother picked c1. So they had c0 + c1 carrots in total. If only c2 of them were good, then the rest must be bad. 
bad_carrots = c0 + c1 - c2
The answer is bad_carrots.","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7,"['bad_carrots =  c0 + c1 - c2', 'answer = bad_carrots']",1
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19,"Roger started with c0 dollars. He got c1 more dollars for his birthday, so he had c0 + c1 dollars. After spending c2 on a new game, he had c0 + c1 - c2 dollars left. 
money_remaining = c0 + c1 - c2
The answer is money_remaining.","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19,"['money_remaining =  c0 + c1 - c2', 'answer = money_remaining']",1
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2,"Megan took c0 pictures at the zoo and c1 at the museum, so she had a total of c0 + c1 pictures. After deleting c2 pictures, she had c0 + c1 - c2 pictures left. 
remaining_pictures = c0 + c1 - c2
The answer is remaining_pictures.","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2,"['remaining_pictures =  c0 + c1 - c2', 'answer = remaining_pictures']",1
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11,"Rachel had c0 + c1 pictures in total. After coloring c2, she still has c0 + c1 - c2 pictures left to color. 
pictures_left = c0 + c1 - c2
The answer is pictures_left.","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11,"['pictures_left =  c0 + c1 - c2', 'answer = pictures_left']",1
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1,"Ned had to wash c0 + c1 shirts in total. If he only washed c2 of them, then he did not wash c0 + c1 - c2 shirts. 
shirts_not_washed = c0 + c1 - c2
The answer is shirts_not_washed.","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1,"['shirts_not_washed =  c0 + c1 - c2', 'answer = shirts_not_washed']",1
