,question,answer,response,mapping,response_answer,flag
0," For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39.0,".

A: mapping:{x:pieces of candy left}
Eq1: 32+42-35=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,32+42-35)
print(solve(Eq1,x))
We got 39 from sympy, so the answer is 39.",,39.0,1
1, A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8.0,"
A: 
Mapping: {x: number of cats left}
Eq1: x=13+5-10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,13+5-10)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is 8.",,8.0,1
2," Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2.0,"
A: mapping:{x:number of games he have}
Eq1: x+2-2=4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is 4.",,4.0,1
3," The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40.0,".

A: mapping:{x:number of extra apples the cafeteria end up with}
Eq1: 42+7-9=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,42+7-9)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is 40.",,40.0,1
4," Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3.0,"
A: mapping:{x:number of extra flowers}
Eq1: x+70=36+37
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+70,36+37)
print(solve(Eq1,x))
We got 3 from sympy, so the answer is 3.",,3.0,1
5," Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7.0,"
A: mapping:{x:number of bad carrots}
Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have?
Eq1: 29+16-38=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,29+16-38)
print(solve(Eq1,x))
We got 7 from sympy, so the answer is 7.",,7.0,1
6, Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19.0,"
A: Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game.
Eq1: 16+28-25=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,16+28-25)
print(solve(Eq1,x))
We got 19 from sympy, so the answer is 19.",,19.0,1
7," While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2.0,"
A: 
Mapping: {x: number of pictures she still have}
Eq1: x=15+18-31 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,15+18-31)
print(solve(Eq1,x))
We got 2 from sympy, so the answer is 2.",,2.0,1
8, Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11.0,"
A: 
Mapping: {x:number of pictures she still has to color}
Eq1: 44-x=23+32
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(44-x,23+32)
print(solve(Eq1,x))
We got -7 from sympy, so the answer is -7.",,7.0,1
9," Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1.0,"
A: mapping:{x: number of shirts Ned did not wash}
Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash?
Eq1: 9+21-29=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,9+21-29)
print(solve(Eq1,x))
We got 1 from sympy, so the answer is 1.",,1.0,1
10," Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66.0,"
A: Mapping: {x: number of shirts Oliver did not wash}
Eq1: x+20=39+47
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+20,39+47)
print(solve(Eq1,x))
We got 30 from sympy, so the answer is 30.",,30.0,1
11, For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9.0,"
A: Mapping: {x:number of pastries sold}
Eq1: 4+29-24=x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4+29-24)
print(solve(Eq1,x))
We got 9 from sympy, so the answer is 9.",,9.0,1
12," While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22.0,".

A: mapping:{x:number of pictures she still have}
Eq1: x=24+12-14 
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,24+12-14)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is 22.",,22.0,1
