,question,answer,response,mapping
0,"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower?",A,"
Answer Choices: (a) 10 minutes (b) 15 minutes (c) 20 minutes (d) 25 minutes (e) 30 minutes
A: mapping:{x:the time it will take for the car to reach the base of the tower}
Eq1: x=10+15
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,10+15)
print(solve(Eq1,x))
We got 25 from Sympy, so the answer is d.",
1,"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item?",E,"
Answer Choices: (a) $10.00 (b) $11.00 (c) $12.00 (d) $13.00 (e) $14.00
A: mapping:{x:the original price of the item}
Eq1: x=1.9+0.5*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,1.9+0.5*x)
print(solve(Eq1,x))
We got 13 from Sympy, so the answer is d.",
2,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?",A,".
Answer Choices: (a) 36 (b) 48 (c) 60 (d) 72 (e) 84
A: mapping:{x:the value which is the multiple of X, if it is divisible by 9 and 12}
Eq1: x/9=12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x/9,12)
print(solve(Eq1,x))
We got 108 from Sympy, so the answer is c.",
3,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?",B,"
Answer Choices: (a) 0.30 (b) 0.44 (c) 0.46 (d) 0.48 (e) 0.64

A: mapping:{x:the greatest value for the probability that neither of these two events will occur}
Eq1: x=1-0.56-0.74
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,1-0.56-0.74)
print(solve(Eq1,x))
We got 0.3 from Sympy, so the answer is a.",
4,A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?,B,"
Answer Choices: (a) Rs.300 (b) Rs.400 (c) Rs.450 (d) Rs.500 (e) Rs.600
A: mapping:{x:the cost price of the article}
Eq1: x=360/1.2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,360/1.2)
print(solve(Eq1,x))
We got 300 from Sympy, so the answer is a.",
5,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?",D,"
Answer Choices: (a) 80 (b) 100 (c) 120 (d) 140 (e) 160
A: mapping:{x:the number of marbles in the bag}
Eq1: x=20+20*1/20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,20+20*1/20)
print(solve(Eq1,x))
We got 120 from Sympy, so the answer is c.",
6,Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct?,D,".
Answer Choices: (a) 676 (b) 1296 (c) 1716 (d) 1936 (e) 2156
A: mapping:{x:the total no. of distinct bike no.'s that can be formed using 2 letters followed by 2 no.'s}
There are 26 letters in the alphabet. For the first letter, there are 26 choices. For the second letter, there are 25 choices because the first letter has already been chosen. For the first number, there are 10 choices. For the second number, there are 9 choices because the first number has already been chosen.
Eq1: x=26*25*10*9
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,26*25*10*9)
print(solve(Eq1,x))
We got 1936 from Sympy, so the answer is d.",
7,"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration?",C,".
Answer Choices: (a) 12 hours (b) 12.5 hours (c) 13 hours (d) 13.5 hours (e) 14 hours
A: mapping:{x:the total journey duration}
Eq1: x=10+1/4*(100-75)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,10+1/4*(100-75))
print(solve(Eq1,x))
We got 12.5 from Sympy, so the answer is b.",
8,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?",E,".

A: mapping:{x:the maximum number of students who could have neither attended the prom night nor the debating session}

Eq1: 0.45x+0.35x<=200
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.45x+0.35x,200)
print(solve(Eq1,x))
We got 178.5714285714286 from Sympy, so the answer is 178.",
9,A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,D,"
Answer Choices: (a) 10 (b) 15 (c) 20 (d) 25 (e) 30
A: mapping:{x:number of sales of $250 each}
Eq1: x(250)(0.1)=1000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*250*0.1,1000)
print(solve(Eq1,x))
We got 20 from Sympy, so the answer is c.",
