,question,answer,response,tokens,logprobs,mapping,response_answer,equations
0," For Halloween Debby and her sister combined the candy they received. Debby had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",39.0," Debby and her sister had c0 + c1 pieces of candy. 
total_candy = c0 + c1
If they ate c2 pieces, then they have total_candy - c2 pieces left. 
candy_left = total_candy - c2
The answer is candy_left.","[' Deb', 'by', ' and', ' her', ' sister', ' had', ' c', '0', ' +', ' c', '1', ' pieces', ' of', ' candy', '.', ' ', '\n', 'total', '_', 'c', 'andy', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' they', ' ate', ' c', '2', ' pieces', ',', ' then', ' they', ' have', ' total', '_', 'c', 'andy', ' -', ' c', '2', ' pieces', ' left', '.', ' ', '\n', 'c', 'andy', '_', 'left', ' =', ' total', '_', 'c', 'andy', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' candy', '_', 'left', '.']","[-0.40701889999999996, -0.00044309095, -0.7126454999999999, -0.00888446, -1.2231317e-05, -0.15720691, -0.07974094, -0.00027482552, -0.28402406, -0.00018307801999999999, -0.00013335767999999998, -0.018563895, -0.025549918, -0.0006101332000000001, -1.2595857, -0.4958626, -0.00016244835999999999, -0.31446209999999997, -0.00034524406999999997, -0.037841536, -1.2351458e-05, -0.0009284268599999999, -0.000106295425, -7.732115000000001e-05, -0.000431523, -0.00023845844999999998, -4.4181128000000006e-05, -0.0010689354, -0.6666575, -0.0021560332, -0.030654736000000002, -3.9411840000000004e-05, -0.00013276069, -0.09418276, -0.8162467999999999, -0.4205176, -0.0033420338, -0.2573969, -0.24326701, -0.00015040732999999998, -5.675771e-06, -1.3306066e-05, -0.0005592584, -0.000101643476, -2.7371756000000004e-05, -0.023662154, -0.2746646, -0.024831643, -0.0467412, -5.912312e-06, -0.34612465000000003, -7.854046699999999e-07, -0.00022891893, -0.122317225, -0.004050131, -7.887273400000001e-05, -2.9041616000000004e-05, -1.7595703000000003e-05, -6.746777999999999e-06, -0.0002202777, -0.00028043021999999996, -5.675771e-06, -0.0380594, -0.0018830296, -1.6999666000000003e-05, -0.0007366371, -6.8669196e-06, -1.9980816e-05, -6.661909399999999e-07, -0.0128004]","{'c0': 32.0, 'c1': 42.0, 'c2': 35.0}",39.0,"['total_candy =  c0 + c1', 'candy_left =  total_candy - c2', 'answer = candy_left']"
1, A pet store had c0 siamese cats and c1 house cats. During a sale they sold c2 cats. How many cats do they have left? ,8.0," The pet store had c0 siamese cats and c1 house cats. They sold c2 cats. So they have c0 + c1 - c2 cats left. 
cats_left = c0 + c1 - c2
The answer is cats_left.","[' The', ' pet', ' store', ' had', ' c', '0', ' si', 'ames', 'e', ' cats', ' and', ' c', '1', ' house', ' cats', '.', ' They', ' sold', ' c', '2', ' cats', '.', ' So', ' they', ' have', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', ' cats', ' left', '.', ' ', '\n', 'cats', '_', 'left', ' =', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' cats', '_', 'left', '.']","[-0.6333143999999999, -0.18862894, -0.0014857479, -0.6578082, -0.007179141500000001, -0.00020096028, -0.41542923, -1.8841804e-07, -2.045765e-05, -0.026496857000000002, -0.059029974000000006, -3.643162000000001e-05, -0.00044392727, -0.00016364138, -0.0007197601399999999, -0.59679854, -0.9706469, -0.0033499880000000004, -0.0008064295399999999, -0.0068207450000000005, -0.022659428000000002, -0.8681363999999999, -0.435083, -0.034187175, -0.06719164, -0.34708714, -0.04734939, -0.28567544, -0.000111301255, -0.00013478724999999999, -0.00018033247, -0.00040487, -1.3542607e-05, -0.061620936, -0.1472904, -0.023857653000000003, -0.16451894, -4.716134000000001e-05, -0.37523994, -0.00038531228, -0.14465918, -0.0013238739, -0.0004386802, -0.0001287076, -0.0009034315000000001, -0.00015410187, -0.00014241754, -0.00075214735, -0.00061215885, -0.00010188282999999999, -0.11658254, -0.0016769067000000002, -3.4642555e-05, -0.00018426635, -4.0246297000000006e-05, -5.944078000000001e-05, -1.7400123999999997e-06, -0.062155485]","{'c0': 13.0, 'c1': 5.0, 'c2': 10.0}",8.0,"['cats_left =  c0 + c1 - c2', 'answer = cats_left']"
2," Luke was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",2.0," Luke started with c0 games. He bought c1 more. So he had c0 + c1 games. 
total_games = c0 + c1
However, c2 of them didn't work. So he had total_games - c2 games left. 
good_games = total_games - c2
The answer is good_games.","[' Luke', ' started', ' with', ' c', '0', ' games', '.', ' He', ' bought', ' c', '1', ' more', '.', ' So', ' he', ' had', ' c', '0', ' +', ' c', '1', ' games', '.', ' ', '\n', 'total', '_', 'games', ' =', ' c', '0', ' +', ' c', '1', '\n', 'However', ',', ' c', '2', ' of', ' them', ' didn', ""'t"", ' work', '.', ' So', ' he', ' had', ' total', '_', 'games', ' -', ' c', '2', ' games', ' left', '.', ' ', '\n', 'good', '_', 'games', ' =', ' total', '_', 'games', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' good', '_', 'games', '.']","[-0.83769995, -0.7697331, -0.024639556, -0.00044440500000000004, -0.00010665304999999999, -0.0022772400000000003, -0.33017948, -0.7853388, -0.07363591, -4.0603925e-05, -0.00044857733999999997, -0.019600462000000003, -1.056959, -0.2060928, -0.18788147, -0.080287255, -0.004475914, -0.0045226766, -0.06981982, -2.6419024000000005e-05, -6.158372e-05, -0.007854734, -0.12991038, -0.21238503, -1.3823811999999999e-06, -0.354263, -1.6642034e-05, -0.0002570597, -0.0012211048, -2.5225998000000003e-05, -0.00013013717, -0.0005575876, -3.7266083000000006e-05, -6.826223000000001e-05, -0.0020776633, -1.4056197, -1.7713980000000002e-05, -0.00020775703999999999, -3.1185496000000004e-05, -0.062022799999999996, -0.38225709999999996, -0.23212118, -2.5744682e-06, -7.854046699999999e-07, -0.013909517000000001, -0.002629475, -0.033083208, -0.6897928999999999, -0.9015076, -3.1781543000000005e-05, -6.6829845e-05, -6.993020000000002e-05, -0.00013168594, -8.852958e-05, -0.4663921, -0.15315151, -0.06526882, -0.0035017843, -3.6482896999999998e-06, -0.40611909999999996, -2.9311613999999997e-06, -8.4157e-06, -0.0012107797, -3.6074933e-05, -4.3941770000000005e-05, -0.00011523514999999999, -0.00048012445999999996, -0.00020918753999999998, -9.606849e-06, -0.062197164000000006, -0.0026636005, -3.1901687000000004e-05, -4.0843282e-05, -2.6893982e-05, -0.00034106892, -1.8601541999999999e-06, -0.013372838500000001]","{'c0': 2.0, 'c1': 2.0, 'c2': 2.0}",2.0,"['total_games =  c0 + c1', 'good_games =  total_games - c2', 'answer = good_games']"
3," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",40.0," The school cafeteria ordered c0 red apples and c1 green apples. But if only c2 students wanted fruit, then the cafeteria would have c0 + c1 - c2 apples left over. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","[' The', ' school', ' cafeteria', ' ordered', ' c', '0', ' red', ' apples', ' and', ' c', '1', ' green', ' apples', '.', ' But', ' if', ' only', ' c', '2', ' students', ' wanted', ' fruit', ',', ' then', ' the', ' cafeteria', ' would', ' have', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', ' apples', ' left', ' over', '.', ' ', '\n', 'extra', '_', 'app', 'les', ' =', ' c', '0', ' +', ' c', '1', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' extra', '_', 'app', 'les', '.']","[-0.6173607999999999, -0.13140088, -0.12529582, -0.06906534, -0.0014108961, -0.00030582916, -0.04922046, -0.0024752398, -0.014858987, -2.6298881e-05, -0.00016983930000000002, -0.0007612757000000001, -2.0098154e-05, -0.51017374, -0.6058679, -0.8126133, -0.20593762000000002, -1.9503042e-05, -0.0002113333, -0.016713789, -0.0021817202, -0.1355547, -0.0067443500000000005, -0.9249334300000001, -0.65653133, -0.6684338999999999, -0.38969418, -0.033933714000000004, -0.066951275, -0.07419964, -0.19016026, -6.933416000000001e-05, -0.00057786715, -0.00033260232999999997, -0.0012352474, -3.8103353e-05, -0.19967876, -0.38223508, -0.14498909999999998, -0.000803209, -0.23658341, -7.6726035e-05, -0.8043859600000001, -0.0031510966, -0.012364969, -5.912312e-06, -0.0018179390000000002, -0.00051995704, -0.00039556794, -0.0007078308000000001, -0.00015911050999999998, -0.00013025544, -0.00021526907, -0.0015820393, -2.462996e-05, -0.11035633, -0.0022817822, -7.255186000000001e-05, -0.0009509207000000001, -0.0002124071, -0.00027709146, -0.00013991416, -3.170517e-06, -0.06836598]","{'c0': 42.0, 'c1': 7.0, 'c2': 9.0}",40.0,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']"
4," Lana picked c0 tulips and c1 roses to make flower bouquets. If she only used c2 of the flowers though, how many extra flowers did Lana pick? ",3.0," Lana picked c0 tulips and c1 roses. In total, she picked c0 + c1 flowers. 
total_flowers = c0 + c1
If she only used c2 of the flowers, then she has extra_flowers = total_flowers - c2. 
extra_flowers = total_flowers - c2
The answer is extra_flowers.","[' Lana', ' picked', ' c', '0', ' tul', 'ips', ' and', ' c', '1', ' roses', '.', ' In', ' total', ',', ' she', ' picked', ' c', '0', ' +', ' c', '1', ' flowers', '.', ' ', '\n', 'total', '_', 'fl', 'owers', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' she', ' only', ' used', ' c', '2', ' of', ' the', ' flowers', ',', ' then', ' she', ' has', ' extra', '_', 'fl', 'owers', ' =', ' total', '_', 'fl', 'owers', ' -', ' c', '2', '.', ' ', '\n', 'extra', '_', 'fl', 'owers', ' =', ' total', '_', 'fl', 'owers', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' extra', '_', 'fl', 'owers', '.']","[-0.15252198, -0.18640612, -0.009771085, -0.00057190296, -0.01262069, -2.9519388e-05, -0.13680212, -9.949678000000001e-05, -0.00018260023999999998, -0.0010770509, -0.32079482, -1.397663, -0.00023881793, -0.098744914, -0.3550586, -0.13417093, -0.0013669662000000001, -0.0066748657, -0.09276927, -0.00056426885, -0.0006474089499999999, -0.004838209, -0.011442697, -0.3678126, -5.0617460000000005e-05, -0.5488447, -8.018216000000001e-05, -0.06578578, -3.0513029999999998e-06, -0.033009283, -5.896488e-05, -0.0002491891, -0.00077642646, -0.00034953653999999997, -5.8247755000000005e-05, -0.0042246594000000005, -0.5081593, -0.14819995, -0.46486157, -0.0030218915000000002, -3.5835580000000005e-05, -0.0018406298000000001, -0.8087691, -0.42281923, -0.0010240660000000001, -0.037012614, -1.0494196, -0.36276838, -0.5380182, -0.39910766000000003, -0.05207706, -3.690939e-05, 0.0, -0.03439567, -0.0011833869000000001, -5.562516000000001e-05, -0.00022158711999999999, 0.0, -0.00021753215999999997, -0.00045132102, -0.00024561098, -0.7267445, -0.19675116, -1.5006569e-06, -0.3712697, -4.9427246000000006e-05, -2.1171965e-05, 0.0, -0.00021324158, -0.00016995942999999998, -1.3661821000000001e-05, -3.1065356e-05, 0.0, -0.0003871004, -0.0005553226, -7.040798e-05, -0.013627125, -0.0061984872, -0.00014110811999999999, -0.0001754468, -0.00010617528499999999, -5.7891062e-05, -1.2946569000000003e-05, -1.8841804e-07, -0.02859931]","{'c0': 36.0, 'c1': 37.0, 'c2': 70.0}",3.0,"['total_flowers =  c0 + c1', 'extra_flowers =  total_flowers - c2. ', 'extra_flowers =  total_flowers - c2', 'answer = extra_flowers']"
5," Carol and her mom were picking carrots from their garden. Carol picked c0 and her mother picked c1. If only c2 of the carrots were good, how many bad carrots did they have? ",7.0," Carol picked c0 carrots. Her mother picked c1 carrots. In total, they had c0 + c1 carrots. 
total_carrots = c0 + c1
If c2 of the carrots were good, then that means they had c2 - bad carrots. 
bad_carrots = total_carrots - c2
The answer is bad_carrots.","[' Carol', ' picked', ' c', '0', ' carrots', '.', ' Her', ' mother', ' picked', ' c', '1', ' carrots', '.', ' In', ' total', ',', ' they', ' had', ' c', '0', ' +', ' c', '1', ' carrots', '.', ' ', '\n', 'total', '_', 'car', 'rots', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' c', '2', ' of', ' the', ' carrots', ' were', ' good', ',', ' then', ' that', ' means', ' they', ' had', ' c', '2', ' -', ' bad', ' carrots', '.', ' ', '\n', 'bad', '_', 'car', 'rots', ' =', ' total', '_', 'car', 'rots', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' bad', '_', 'car', 'rots', '.']","[-0.13466918, -0.5674144600000001, -2.5344274000000003e-05, -5.8367895999999996e-05, -0.24384257, -0.6539015, -0.051184494000000004, -0.24387018, -0.0010571234, -6.9861335e-06, -0.00039652257999999997, -0.5136377999999999, -0.018750144, -1.0389674, -0.00010080994999999999, -0.24516933000000002, -0.002852055, -0.049867027, -0.0006870716, -0.008169516, -0.06043573, -0.00027876132, -0.00037708215, -0.0029314402, -0.0016017996, -0.3013656, -3.5290759999999996e-06, -0.18658835000000001, -0.00016483347, -0.0006752024, -1.0561456000000002e-05, -0.0062449110000000006, -6.325358e-05, -0.0002164621, -0.0006676894, -0.00011082348, -9.556288600000001e-05, -0.0067376285000000005, -0.859487, -0.47668275, -0.00010235965999999999, -0.40804579999999996, -0.7628800000000001, -0.00027625792, -0.0054152757000000004, -0.00032634057999999996, -0.009179234000000001, -0.60885197, -0.08881507, -0.10290059400000001, -0.57621557, -0.00063064747, -0.042586405, -0.004442564, -0.00012119651999999999, -0.57705796, -0.0067831776, -0.00021526907, -0.03759649, -2.9311613999999997e-06, -0.001985805, -1.0204763e-05, -1.2622394999999999e-06, -0.00010998995999999999, -0.00014563711, -0.0010253792, -1.4497215500000001e-05, -4.1232483e-06, -0.0001722244, -4.838501e-06, -7.97072e-05, -5.3162735e-06, -0.007375471000000001, -0.0010102238, -0.00015434122, -8.2807564e-05, -0.00016244835999999999, -4.072407e-05, -1.9765537e-06, -4.3227457e-05, -0.021946756]","{'c0': 29.0, 'c1': 16.0, 'c2': 38.0}",7.0,"['total_carrots =  c0 + c1', 'bad_carrots =  total_carrots - c2', 'answer = bad_carrots']"
6, Roger had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,19.0," Roger had c0 dollars. He got c1 more dollars for his birthday. So he has c0 + c1 dollars. 
money_before_spending = c0 + c1
But he spent c2 dollars on a new game. So he has money_before_spending - c2 dollars now. 
money_after_spending = money_before_spending - c2
The answer is money_after_spending.","[' Roger', ' had', ' c', '0', ' dollars', '.', ' He', ' got', ' c', '1', ' more', ' dollars', ' for', ' his', ' birthday', '.', ' So', ' he', ' has', ' c', '0', ' +', ' c', '1', ' dollars', '.', ' ', '\n', 'money', '_', 'before', '_', 'sp', 'ending', ' =', ' c', '0', ' +', ' c', '1', '\n', 'But', ' he', ' spent', ' c', '2', ' dollars', ' on', ' a', ' new', ' game', '.', ' So', ' he', ' has', ' money', '_', 'before', '_', 'sp', 'ending', ' -', ' c', '2', ' dollars', ' now', '.', ' ', '\n', 'money', '_', 'after', '_', 'sp', 'ending', ' =', ' money', '_', 'before', '_', 'sp', 'ending', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' money', '_', 'after', '_', 'sp', 'ending', '.']","[-0.15257947, -0.5100992, -0.0025690568, -2.8326363000000003e-05, -0.0040210485, -0.1314531, -0.9349242999999999, -0.015278194, -4.9187893000000005e-05, -0.0012970762, -0.016073724, -0.1651779, -1.0846299, -0.01888565, -3.869565e-05, -0.548223, -0.4240348, -0.08161513000000001, -0.7049476, -0.0023131473, -0.013467743, -0.03735441, -8.065993000000001e-05, -0.00038328386, -0.03655402, -0.55593437, -0.23847716, -2.0337510000000004e-05, -0.21694684, -0.01216325, -0.60415155, -0.6574161, -0.08388164000000001, -0.0011371415, -0.004905111, -0.00020238983, -0.00016709937, -0.0009363632, -3.4523340000000005e-05, -3.142485e-05, -0.031603064, -0.93675727, -0.034111626, -0.04171769, -0.0015934401, -0.00011106283999999999, -0.6915226600000001, -0.007849989, -0.005450871, -0.039206766000000004, -3.01145e-05, -0.024991864000000003, -0.011115852, -0.3532941, -0.0018476772000000001, -0.0039128545, -1.1398727e-05, -5.657977e-05, -1.3185924000000001e-05, -8.352281000000001e-05, -4.4818075000000005e-06, -0.0001599459, -6.742775400000001e-05, -0.00010414778999999999, -0.049099933000000005, -0.18840845, -0.0006123982000000001, -0.042066004000000004, -2.4543265e-06, -0.014919245000000001, -1.3306066e-05, -0.15348794, -3.2855354000000005e-05, -0.00023440627999999998, -4.2777349999999996e-07, -0.0042005390000000005, -0.0012316054000000001, -7.854046699999999e-07, -1.3823811999999999e-06, -2.5744682e-06, -8.535841499999999e-06, -3.076318e-07, -9.782879e-05, -0.00017949800000000002, -6.480610000000001e-05, -0.05932315, -0.0016840714, -3.0947078e-05, -0.0002603966, -4.3108244e-05, -5.729314600000001e-05, -4.601021399999999e-06, -9.012677e-06, -2.582111e-05, -1.022884e-06, -0.031371728]","{'c0': 16.0, 'c1': 28.0, 'c2': 25.0}",19.0,"['money_before_spending =  c0 + c1', 'money_after_spending =  money_before_spending - c2', 'answer = money_after_spending']"
7," While on vacation, Megan took c0 pictures at the zoo and c1 at the museum. If she later deleted c2 of the pictures, how many pictures from her vacation did she still have? ",2.0," Megan took c0 pictures at the zoo and c1 at the museum. So she took c0 + c1 pictures in total. 
total_pictures = c0 + c1
After deleting c2 pictures, she had total_pictures - c2 pictures remaining. 
remaining_pictures = total_pictures - c2
The answer is remaining_pictures.","[' Megan', ' took', ' c', '0', ' pictures', ' at', ' the', ' zoo', ' and', ' c', '1', ' at', ' the', ' museum', '.', ' So', ' she', ' took', ' c', '0', ' +', ' c', '1', ' pictures', ' in', ' total', '.', ' ', '\n', 'total', '_', 'pict', 'ures', ' =', ' c', '0', ' +', ' c', '1', '\n', 'After', ' deleting', ' c', '2', ' pictures', ',', ' she', ' had', ' total', '_', 'pict', 'ures', ' -', ' c', '2', ' pictures', ' remaining', '.', ' ', '\n', 'rem', 'aining', '_', 'pict', 'ures', ' =', ' total', '_', 'pict', 'ures', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' remaining', '_', 'pict', 'ures', '.']","[-0.23514193, -0.35167325, -0.005115377, -2.6893982e-05, -0.1040121, -0.01583008, -0.0007510726000000001, -0.00041947915, -0.06803831, -0.00015767907, -0.00013788574, -0.20082882, -0.00010355082, -0.0003216896, -0.2728825, -0.9817393, -0.15842447, -0.8431177, -0.17144667, -0.002655653, -0.04563415, -0.0001459938, -0.0001351458, -0.013252032, -0.7471118999999999, -0.0002875865, -0.0031276566, -0.19547781, -1.7119806e-05, -0.19582357, -1.0681599e-05, -0.006831007, -3.2906587e-06, -0.0077607986, -2.1649737e-05, -0.00025276537, -0.00029521772999999997, -1.8788729e-05, -0.00012727616, -0.007997723, -1.135488, -0.18780719, -0.00020775703999999999, -3.01145e-05, -0.04443995, -0.0014407423, -0.031755812, -0.49922514, -0.023143344, -0.0001835511, -1.0920954000000002e-05, -3.5290759999999996e-06, -0.0013803964, -4.775551000000001e-05, -1.8668587e-05, -0.036873452, -0.5845774, -0.0091290055, -0.04564207, -4.838501e-06, -0.24617474, -8.296486e-06, -0.00014575632, -2.8206221000000002e-05, -8.535841499999999e-06, -0.0015989340000000002, -8.793259600000001e-05, -1.7595703000000003e-05, -5.79217e-06, -2.2159092999999997e-06, -0.00037982491999999997, -0.00011523514999999999, -7.937927e-06, -0.12938000000000002, -0.0014452788, -2.0935424000000002e-05, -0.00045179878, -9.699527000000001e-05, -6.826223000000001e-05, -2.9311613999999997e-06, -2.6936819999999996e-06, -0.017956624]","{'c0': 15.0, 'c1': 18.0, 'c2': 31.0}",2.0,"['total_pictures =  c0 + c1', 'remaining_pictures =  total_pictures - c2', 'answer = remaining_pictures']"
8, Rachel bought two coloring books. One had c0 pictures and the other had c1. After one week she had already colored c2 of the pictures. How many pictures does she still have to color? ,11.0," Rachel bought two coloring books. One had c0 pictures and the other had c1. So in total she had c0 + c1 pictures. 
total_pictures = c0 + c1
After one week she had already colored c2 of the pictures. So she has total_pictures - c2 pictures left to color. 
pictures_left = total_pictures - c2
The answer is pictures_left.","[' Rachel', ' bought', ' two', ' coloring', ' books', '.', ' One', ' had', ' c', '0', ' pictures', ' and', ' the', ' other', ' had', ' c', '1', '.', ' So', ' in', ' total', ' she', ' had', ' c', '0', ' +', ' c', '1', ' pictures', '.', ' ', '\n', 'total', '_', 'pict', 'ures', ' =', ' c', '0', ' +', ' c', '1', '\n', 'After', ' one', ' week', ' she', ' had', ' already', ' colored', ' c', '2', ' of', ' the', ' pictures', '.', ' So', ' she', ' has', ' total', '_', 'pict', 'ures', ' -', ' c', '2', ' pictures', ' left', ' to', ' color', '.', ' ', '\n', 'pict', 'ures', '_', 'left', ' =', ' total', '_', 'pict', 'ures', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' pictures', '_', 'left', '.']","[-0.86317027, -0.6439469, -0.12303519, -0.04199079, -0.00081561797, -0.14458494, -0.22858845, -0.06795352, -6.206056000000001e-05, -5.20489e-05, -0.00034095067999999996, -0.14390406, -0.0039664097, -0.00028734808, -0.0034553690000000002, -4.0040345e-06, -0.0001740144, -0.090056695, -0.83275926, -0.8667959, -2.1051823000000004e-05, -0.3004996, -0.64608973, -0.00028257692, -0.0017816329, -0.04851162, -0.00019940869, -0.0009794951, -0.0006590998399999999, -0.41105035, -0.191127, -3.4403198000000004e-05, -0.04450438, -0.00016912498, -0.00013335767999999998, -6.827631999999999e-08, -0.0019640068, -2.5464416000000003e-05, -0.000108559456, -0.0006542085299999999, -7.124244000000001e-05, -5.300351e-05, -0.004091787, -0.19851722, -0.27414668000000003, -1.1278585e-05, -0.24835108, -0.08057006400000001, -0.09397000000000001, -0.0007414092, -1.163433e-05, -7.827482e-05, -0.60119665, -0.047780816000000004, -3.7505437e-05, -0.08223294, -0.038372315000000004, -0.008838155, -0.25406867, -0.17948031, -3.881579e-05, -7.818712999999999e-06, -1.3823811999999999e-06, -0.0022801077, -6.0993300000000004e-05, -5.3162735e-06, -0.05705571, -0.20189698, -0.21973534, -2.5344274000000003e-05, -0.0043710237, -0.015224393000000001, -1.9765537e-06, -0.106185, -9.055464e-07, -1.4974988000000002e-05, -0.16346315, -0.0050774547, -4.1558535e-05, -1.8310955e-05, -1.1159372000000002e-05, -5.460492e-07, -0.00019428364, -7.291136e-05, -5.436415399999999e-06, -0.052590888, -0.0009016396399999999, -3.702860300000001e-05, -0.00012226657, -0.00034762823, -7.577424500000001e-05, -1.6207987e-06, -0.0034368280000000003]","{'c0': 23.0, 'c1': 32.0, 'c2': 44.0}",11.0,"['total_pictures =  c0 + c1', 'pictures_left =  total_pictures - c2', 'answer = pictures_left']"
9," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts before school. If he had only washed c2 of them by the time school started, how many did he not wash? ",1.0," Ned had to wash c0 short sleeve shirts and c1 long sleeve shirts. In total, he had to wash c0 + c1 shirts. 
total_shirts = c0 + c1
If he only washed c2, then he did not wash total_shirts - c2 shirts. 
shirts_not_washed = total_shirts - c2
The answer is shirts_not_washed.","[' Ned', ' had', ' to', ' wash', ' c', '0', ' short', ' sleeve', ' shirts', ' and', ' c', '1', ' long', ' sleeve', ' shirts', '.', ' In', ' total', ',', ' he', ' had', ' to', ' wash', ' c', '0', ' +', ' c', '1', ' shirts', '.', ' ', '\n', 'total', '_', 'shirts', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' he', ' only', ' washed', ' c', '2', ',', ' then', ' he', ' did', ' not', ' wash', ' total', '_', 'shirts', ' -', ' c', '2', ' shirts', '.', ' ', '\n', 'shirts', '_', 'not', '_', 'washed', ' =', ' total', '_', 'shirts', ' -', ' c', '2', '\n', 'The', ' answer', ' is', ' shirts', '_', 'not', '_', 'washed', '.']","[-0.06751259400000001, -0.38726747, -0.33915609999999996, -0.0022949850000000003, -0.0032837868, -0.0015280105, -0.29136196000000003, -0.007903941000000001, -0.0034030965, -0.045764737, -3.237946e-05, -0.0006761561000000001, -8.566857e-05, -5.991855000000001e-05, -0.005361581000000001, -0.45364612, -0.9566815999999999, -0.0027520540000000003, -0.11404265000000001, -0.61205065, -0.023494149000000002, -0.030370403, -0.00019559305999999999, -0.00028066957, -0.0013774115, -0.026153559000000003, -0.00022731101, -0.00076532975, -0.00048728072, -0.05434728, -0.17901112, -9.449002000000001e-05, -0.1225811, -7.124244000000001e-05, -0.0024958572000000003, -0.0038692916, -0.000110467736, -0.00019463846, -0.00026862667, -6.0276172e-05, -8.841036500000001e-05, -0.005230412, -0.4570469, -0.06103896, -0.78476197, -0.0114721805, -4.361666e-06, -0.0004644415, -0.9833572500000001, -0.17202474, -0.041962814, -0.5893826999999999, -4.7041198e-05, -8.662224000000002e-05, -0.16201788, -1.3781962500000002e-05, -1.7356348e-05, -0.0003906776, -2.3912831e-05, -0.00014694747999999998, -0.04797896, -0.009403994, -0.036439776, -8.7733215e-06, -0.08792493, -3.5290759999999996e-06, -0.010436285, -0.0039024418000000003, -0.00040391631999999995, -0.0023152977000000003, -0.00020441732, -2.3556138e-05, -0.00021121503999999998, -0.00065778574, -4.2153635e-05, -5.5269407e-05, -0.03449086, -0.0042779353, -0.00014182150000000002, -0.00041721327999999996, -6.528106e-05, -0.00023690965999999998, -2.2159092999999997e-06, -1.2708151000000002e-05, -3.4287736000000006e-05, -0.03128667]","{'c0': 9.0, 'c1': 21.0, 'c2': 29.0}",1.0,"['total_shirts =  c0 + c1', 'shirts_not_washed =  total_shirts - c2', 'answer = shirts_not_washed']"
