,question,answer,response,mapping
0,"A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?A)7, B)8, C)10, D)11, E)12",D,"
Mapping: {x: days it will take Mr.Blue to complete the contract}
‘Eq1:6+8+x=3*12’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(6+8+x,3*12)
solve(Eq1,x)
# end of Python Sympy
Answer: D",
1,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?A)2% Profit, B)3% Profit, C)2% Loss, D)3% Loss, E)4% Loss",B,"
Mapping: {x: percentage of profit and loss}
‘Eq1: (25.75-27.50)/27.50=x’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((25.75-27.50)/27.50,x)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
2,"Printer A and Printer B can each print 1⁄2 page per second. How long will it take both printers working together to print 100 pages?A)25 seconds, B)50 seconds, C)100 seconds, D)200 seconds, E)400 seconds",C,"
Mapping: {x: time taken for both printers to print 100 pages}
‘Eq1:1/2 + 1/2 = x/100’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1/2 + 1/2, x/100)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
3,"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:A)15 kmph, B)6 kmph, C)12 kmph, D)14 kmph, E)6 kmph",E,"
Mapping: {x: rate along the current}
‘Eq1:x=4+2’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,4+2)
solve(Eq1,x)
# end of Python Sympy
Answer: C",
4,"The monthly salary S of a shop assistant is the sum of a fixed salary of $500 plus 5% of all monthly sales. What should the monthly sales be so that her monthly salary reaches $1500?A)$50000, B)$40000, C)$30000, D)$20000, E)None of these",D,"
Mapping: {x: monthly sales, S: monthly salary}
‘Eq1:S=500+0.05*x’
# using Python Sympy to solve for unknowns
from sympy import *
x,S = symbols('x, S')
Eq1 = Eq(S,500+0.05*x)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
5,"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?A)1 hour and 31 minutes, B)2 hour and 31 minutes, C)3 hour and 31 minutes, D)4 hour and 31 minutes, E)5 hour and 31 minutes",A,"
Mapping: {x: time for both balls to be at the same starting point again}
‘Eq1:2/26 + 5/35 = x/60’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2/26 + 5/35, x/60)
solve(Eq1,x)
# end of Python Sympy
Answer: A",
6,"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?A)11, B)10, C)9, D)8, E)7",A,"
Mapping: {x: value of n}
‘Eq1:x*(x-1)/2=45’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*(x-1)/2,45)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
7,"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?A)0.22, B)0.26, C)0.37, D)0.46, E)0.63",B,"
Mapping: {x: probability that neither of these two events will occur}
‘Eq1:x=1-(0.56+0.74)’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,1-(0.56+0.74))
solve(Eq1,x)
# end of Python Sympy
Answer: B",
8,"900 + 5 × 12 = ?A)820, B)202, C)420, D)209, E)960",E,"
Mapping: {x: 900 + 5 × 12}
Eq1:x=900+5*12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,900+5*12)
solve(Eq1,x)
# end of Python Sympy
Answer: E",
9,"Mr.Sam takes 17 hours to go by train to a certain city and return by car. He loses 4 hours if he goes both ways by train. How long would he have taken if he had traveled by car in both ways?A)22 hrs, B)18 hrs, C)16 hrs, D)20 hrs, E)13 hrs",E,"
Mapping: {x: time taken by Mr.Sam if he had traveled by car in both ways}
‘Eq1:x=17+4’
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,17+4)
solve(Eq1,x)
# end of Python Sympy
Answer: B",
