,question,answer,response,mapping,response_answer
0,Each pack of dvds costs c0 dollars. If there is a discount of c1 dollars on each packHow much do you have to pay to buy each pack?,51.0,"def Problem(c0, c1):
    #Each pack of dvds costs c0 dollars
    original_price = c0

    #There is a discount of c1 dollars on each pack
    discount = c1

    #The price to buy each pack after the discount can be calculated by subtracting the discount from the original price
    price_after_discount = original_price - discount

    return price_after_discount","{'c0': 76.0, 'c1': 25.0}",51.0
1,Dan had $ c0 left with him after he bought a candy bar. If he had $ c1 at the startHow much did the candy bar cost?,1.0,"def candy_bar_cost(c0, c1):
    # Dan had c1 dollars at the start
    start = c1

    # Dan had c0 dollars left after buying the candy bar
    left = c0

    # The cost of the candy bar can be calculated by subtracting the amount left from the amount at the start
    cost = start - left

    return cost","{'c0': 3.0, 'c1': 4.0}",1.0
2,Paco had c0 salty cookies and c1 sweet cookies. He ate c2 sweet cookies and c3 salty cookies.How many salty cookies did Paco have left?,17.0,"def Problem(c0, c1, c2, c3):
    #Paco had c0 salty cookies
    salty_cookies = c0

    #Paco had c1 sweet cookies
    sweet_cookies = c1

    #Paco ate c2 sweet cookies
    ate_sweet = c2

    #Paco ate c3 salty cookies
    ate_salty = c3

    #The number of salty cookies Paco has left can be calculated by subtracting the number of salty cookies he ate from the original number of salty cookies he had
    salty_left = salty_cookies - ate_salty

    return salty_left","{'c0': 26.0, 'c1': 17.0, 'c2': 14.0, 'c3': 9.0}",17.0
3,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many children got off the bus at the bus stop?,22.0,"def Problem(c0, c1):
    #c0 children were originally on the bus
    original = c0

    #c1 children were left on the bus after some got off
    left = c1

    #The number of children who got off the bus can be calculated by subtracting the number of children left on the bus from the original number of children
    got_off = original - left

    return got_off","{'c0': 43.0, 'c1': 21.0}",22.0
4,c0 children were riding on the bus. At the bus stop c1 children got on the bus while some got off the bus. Then there were c2 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"def Problem(c0, c1, c2):
    #c0 children were originally on the bus
    original = c0

    #c1 children got on the bus
    got_on = c1

    #some children got off the bus
    got_off = original + got_on - c2

    #the difference between the number of children who got on and off the bus can be calculated by subtracting the number of children who got off from the number of children who got on
    difference = got_on - got_off

    return difference","{'c0': 28.0, 'c1': 82.0, 'c2': 30.0}",2.0
5,There were c0 dollars in Olivia's wallet. She collected c1 more dollars from an atm. After she visited a supermarket there were c2 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"def Problem(c0, c1, c2):
    #Olivia originally had c0 dollars in her wallet
    original_money = c0

    #She collected c1 more dollars from an atm
    collected_money = c1

    #After visiting the supermarket, she had c2 dollars left
    remaining_money = c2

    #The amount of money she spent at the supermarket can be calculated by subtracting the remaining money from the total money she had after collecting from the atm
    spent_money = collected_money - remaining_money

    #The amount of money she collected at the atm more than she spent at the supermarket can be calculated by subtracting the spent money from the collected money
    difference = collected_money - spent_money

    return difference","{'c0': 3.0, 'c1': 49.0, 'c2': 49.0}",49.0
6,Jerry had some action figures on a shelf in his room. Later he added c0 more action figures to the shelf. If there are a total of c1 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"Let's think about it step by step:

def initial_figures(c0, c1):
    # Jerry added c0 more action figures to the shelf
    added_figures = c0
    
    # There are a total of c1 action figures on his shelf now
    total_figures = c1
    
    # The number of action figures Jerry had initially on the shelf can be calculated by subtracting the added figures from the total figures
    initial_figures = total_figures - added_figures
    
    return initial_figures","{'c0': 7.0, 'c1': 10.0}",3.0
7,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,"def Problem(c0, c1, c2):
    #Paco originally had c0 cookies
    paco_original = c0

    #Paco gave c1 cookies to his friend
    gave = c1

    #Paco ate c2 cookies
    ate = c2

    #The difference between the number of cookies Paco ate and the number of cookies he gave to his friend can be calculated by subtracting the number of cookies he gave from the number of cookies he ate
    difference = ate - gave

    return difference","{'c0': 41.0, 'c1': 9.0, 'c2': 18.0}",9.0
8,Mary is baking a cake. The recipe calls for c0 cups of sugar c1 cups of flour and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,4.0,"def Problem(c0, c1, c2, c3):
    #The recipe calls for c1 cups of flour
    flour_needed = c1

    #Mary already put in c3 cups of flour
    flour_added = c3

    #The number of cups of flour Mary still needs to add can be calculated by subtracting the amount of flour she already added from the amount of flour needed
    flour_remaining = flour_needed - flour_added

    return flour_remaining","{'c0': 3.0, 'c1': 10.0, 'c2': 15.0, 'c3': 6.0}",4.0
9,A waiter had some customers. After c0 customers left he still had c1 customers.How many customers did he have at the start?,21.0,"def Problem(c0, c1):
    #After c0 customers left, the waiter had c1 customers
    customers_after = c1

    #The number of customers the waiter had at the start can be calculated by adding the number of customers who left to the number of customers the waiter had after they left
    customers_before = customers_after + c0

    return customers_before","{'c0': 9.0, 'c1': 12.0}",21.0
