,question,answer,response,mapping,response_answer
0,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each packHow much do you have to pay to buy each pack?,51.0,Each pack of DVDs costs 76 dollars. There is a discount of 25 dollars on each pack. So the cost of each pack after the discount is 76 - 25 = 51 dollars. The answer is 51 dollars.,,51.0
1,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the startHow much did the candy bar cost?,1.0,Dan started with $ 4 and had $ 3 left after buying the candy bar. So he spent $ 4 - $ 3 = $ 1 on the candy bar. The candy bar cost $ 1.,,1.0
2,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.How many salty cookies did Paco have left?,17.0,"Paco started with 26 salty cookies. After eating 9, he had 26 - 9 = 17 left. The answer is 17.",,17.0
3,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.How many children got off the bus at the bus stop?,22.0,"There were originally 43 children on the bus. After some got off, there were 21 left. So the number of children who got off the bus is 43 - 21 = 22. The answer is 22.",,22.0
4,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.How many more children got on the bus than those that got off?,2.0,"There were originally 28 children on the bus. Then 82 got on, so there were 28 + 82 = 110 children on the bus. Some got off, leaving 30 children on the bus. To find out how many got off, we subtract 30 from 110: 110 - 30 = 80. So 80 children got off the bus. To find out how many more got on than got off, we subtract 82 from 80: 82 - 80 = 2. So 2 more children got on the bus than got off. The answer is 2.",,2.0
5,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,46.0,"Olivia started with 3 dollars. She collected 49 more from an atm, so she had 3 + 49 = 52 dollars. After visiting the supermarket, she had 49 dollars left, so she spent 52 - 49 = 3 dollars at the supermarket. Therefore, she collected the same amount of money at the atm as she spent at the supermarket. The answer is 0.",,0.0
6,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf nowHow many action figures did he have initially on the shelf?,3.0,"Jerry added 7 action figures to the shelf, so he must have had 10 - 7 = 3 action figures initially on the shelf. The answer is 3.",,3.0
7,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.How many more cookies did he eat than those he gave to his friend?,9.0,Paco started with 41 cookies. He gave 9 to his friend and ate 18. So he now has 41 - 9 - 18 = 14 cookies left. He ate 18 - 9 = 9 more cookies than he gave to his friend. The answer is 9.,,9.0
8,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.How many more cups of flour does she need to add?,4.0,The recipe calls for 10 cups of flour and Mary has already put in 6 cups. So she needs to add 10 - 6 = 4 more cups of flour. The answer is 4.,,4.0
9,A waiter had some customers. After 9 customers left he still had 12 customers.How many customers did he have at the start?,21.0,The waiter had 9 customers leave and still had 12 customers. So he must have started with 9 + 12 = 21 customers. The answer is 21.,,21.0
